seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,adjust,inserted
1755016037,5,0.2,2710.4,2593.5448153882758,0.9568863693138562,safe,0.13,False,False
1755016038,5,0.2,2378.2,2244.0891148447217,0.9436082393594828,safe,0.13,False,False
1755016039,5,0.2,136.39999999999998,125.81597594172854,0.9224045157018222,safe,0.13,False,False
1755016040,5,0.2,2738.123034627169,2604.9880053507823,0.9513772655236016,safe,0.13,False,False
1755016041,5,0.2,259.6,246.183156280993,0.9483172429930392,safe,0.13,False,False
1755016042,5,0.2,239.8,234.22168301851343,0.976737627266528,safe,0.13,False,False
1755016043,5,0.2,3975.866812369652,3908.440190876712,0.9830410261019904,safe,0.13,True,False
1755016044,5,0.2,3586.8409964279103,3570.059366720263,0.995321334365153,safe,0.13,False,False
1755016045,5,0.2,3619.7481853407353,3561.244366882136,0.983837599892852,safe,0.13,False,False
1755016046,5,0.2,600.6,544.4384724080326,0.9064909630503372,safe,0.13,False,False
1755016047,5,0.2,251.48846838273164,238.7745830626716,0.9494454540925064,safe,0.13,False,False
1755016048,5,0.2,2237.4,2222.0711351560312,0.9931488044855776,safe,0.13,False,False
1755016049,5,0.2,2765.4,2555.2869585469275,0.9240207415010224,safe,0.13,False,False
1755016050,5,0.2,238.83656616748107,228.4872892017362,0.9566679544434264,safe,0.13,False,False
1755016051,5,0.2,627.0,582.4903445876407,0.9290117138558864,safe,0.13,False,False
1755016052,5,0.2,2263.8,2166.2610127023017,0.9569136022185272,safe,0.13,False,False
1755016053,5,0.2,138.6,131.94406666880786,0.9519773929928418,safe,0.13,False,False
1755016054,5,0.2,215.75307789166175,205.6439132318062,0.953144748808952,safe,0.13,,False
1755016055,5,0.2,268.40000000000003,249.1389590029393,0.928237552171905,safe,0.13,False,False
1755016056,5,0.2,440.6724957452288,427.1796834807534,0.9693813151609166,safe,0.13,,False
1755016057,5,0.2,4216.383827783902,4019.083018867557,0.953206155564816,safe,0.13,False,False
1755016058,5,0.2,602.8,560.7767151759945,0.930286521526202,safe,0.13,False,False
1755016059,5,0.2,129.8,122.04501939544949,0.9402543867137862,safe,0.13,False,False
1755016060,5,0.2,2268.2,2236.530440457165,0.9860375806618312,safe,0.13,False,False
1755016061,5,0.2,0.0,120.3343582138766,,,0.13,False,False
1755016062,5,0.2,0.0,769.0805082099369,,,0.13,False,False
1755016063,5,0.2,2820.566591528039,2614.843864099328,0.927063332577707,safe,0.13,False,False
1755016064,5,0.2,0.0,811.0117639147521,,,0.13,False,False
1755016065,5,0.2,164.03004612987849,155.01124713813647,0.9450173964799048,safe,0.13,False,False
1755016066,5,0.2,830.7516153662364,800.5608419792461,0.9636584836808524,safe,0.13,True,False
1755016067,5,0.2,3086.6000000000004,2819.588601560245,0.9134933588933598,safe,0.13,False,False
1755016068,5,0.2,2537.554591155992,2356.5743530378686,0.928679273049382,safe,0.13,False,False
1755016069,5,0.2,920.802994577888,898.7504848616805,0.9760507841025032,safe,0.13,False,False
1755016070,5,0.2,3911.033643437072,3829.3344155340633,0.979110579107366,safe,0.13,False,False
1755016071,5,0.2,1029.07335726223,968.8290774413858,0.9414577402128848,safe,0.13,False,False
1755016072,5,0.2,665.8050209255022,627.0429241720249,0.9417816094273423,safe,0.13,False,False
1755016073,5,0.2,2457.4,2302.779160159626,0.9370794987220746,safe,0.13,False,False
1755016074,5,0.2,2247.829528357247,1812.5647178922773,0.8063621796164103,safe,0.13,False,False
1755016075,5,0.2,268.7749364443462,259.59421520188107,0.9658423461505824,safe,0.13,False,False
1755016076,5,0.2,3973.680383340359,3789.131448126776,0.9535571768712696,safe,0.13,False,False
1755016077,5,0.2,0.0,234.80061919551736,,,0.13,False,False
1755016078,5,0.2,0.0,76.98567893301879,,,0.13,False,False
1755016079,5,0.2,257.4,235.7327345782857,0.9158225896592296,safe,0.13,False,False
1755016080,5,0.2,0.0,784.3102879016669,,,0.13,False,False
1755016081,5,0.2,0.0,84.03747665565425,,,0.13,False,False
1755016082,5,0.2,675.4000000000001,587.6326353280965,0.8700512812083158,safe,0.13,False,False
1755016083,5,0.2,2490.4,2415.853314564345,0.9700663807277328,safe,0.13,False,False
1755016084,5,0.2,2437.6,2023.1334597512512,0.8299694206396666,safe,0.13,False,False
1755016085,5,0.2,0.0,747.5371919160243,,,0.13,False,False
1755016086,5,0.2,2477.2,2386.4323987938697,0.963358791697832,safe,0.13,False,False
1755016087,5,0.2,4205.632029545584,3980.45729469134,0.9464587645156928,safe,0.13,,False
1755016088,5,0.2,2578.4,2373.548894001674,0.9205510758616484,safe,0.13,False,False
1755016089,5,0.2,2435.4,2301.573113226619,0.945049319712006,safe,0.13,False,False
1755016090,5,0.2,4182.947265697319,4101.215410187549,0.9804607014341252,safe,0.13,False,False
1755016091,5,0.2,668.8,636.3571795389507,0.95149099811446,safe,0.13,False,False
1755016092,5,0.2,2618.0,2439.0647204862544,0.9316519176800054,safe,0.13,False,False
1755016093,5,0.2,501.6,487.41090290358807,0.9717123263628152,safe,0.13,False,False
1755016094,5,0.2,2387.0,2320.45732266318,0.9721228833947132,safe,0.13,False,False
1755016095,5,0.2,845.0,802.768619532073,0.9500220349491988,safe,0.13,False,True
1755016096,5,0.2,4866.415360366348,4596.005390778693,0.9444334382572518,safe,0.13,False,False
1755016097,5,0.2,844.766192168471,842.003452103585,0.9967295802193572,safe,0.13,True,False
1755016098,5,0.2,299.2,276.1291995546934,0.9228917097416224,safe,0.13,False,False
1755016099,5,0.2,2279.2,2201.4271259470734,0.965877117386396,safe,0.13,False,False
1755016100,5,0.2,1118.9530845206614,1001.446530348716,0.8949852716816246,safe,0.13,False,False
1755016101,5,0.2,2697.2000000000003,2147.3765327850247,0.7961502790987041,safe,0.13,False,False
1755016102,5,0.2,2884.2,2687.1476637741703,0.9316786851723772,safe,0.13,False,False
1755016103,5,0.2,171.59999999999997,162.6089287863615,0.947604480107002,safe,0.13,False,False
1755016104,5,0.2,2692.8,2566.706361062752,0.9531737823316816,safe,0.13,False,False
1755016105,5,0.2,785.4,664.7314039762387,0.8463603310112537,safe,0.13,False,False
