seeds,num_tasks,per_jitter,final_e2e_max,letG2023,R,exceed,false_percentage,adjust,inserted
1756823550,3,0,320,310,0.96875,safe,0.0,False,False
1756823551,3,0,2014,2008,0.997020854021847,safe,0.0,False,False
1756823552,3,0,2600,2300,0.8846153846153846,safe,0.0,False,False
1756823553,3,0,16,14,0.875,safe,0.0,False,False
1756823554,3,0,442,421,0.9524886877828054,safe,0.0,False,False
1756823555,3,0,34,28,0.8235294117647058,safe,0.0,False,False
1756823556,3,0,350,300,0.8571428571428571,safe,0.0,False,False
1756823557,3,0,460,430,0.9347826086956522,safe,0.0,False,False
1756823558,3,0,2110,2055,0.9739336492890995,safe,0.0,False,False
1756823559,3,0,2024,2012,0.9940711462450593,safe,0.0,False,False
1756823560,3,0,80,60,0.75,safe,0.0,False,False
1756823561,3,0,414,408,0.9855072463768116,safe,0.0,False,False
1756823562,3,0,800,610,0.7625,safe,0.0,,False
1756823563,3,0,2014,2008,0.997020854021847,safe,0.0,False,False
1756823564,3,0,310,305,0.9838709677419355,safe,0.0,False,False
1756823565,3,0,302,251,0.8311258278145696,safe,0.0,False,False
1756823566,3,0,2210,2105,0.9524886877828054,safe,0.0,False,False
1756823567,3,0,130,115,0.8846153846153846,safe,0.0,False,False
1756823568,3,0,224,212,0.9464285714285714,safe,0.0,False,False
1756823569,3,0,2006,2003,0.9985044865403788,safe,0.0,False,False
1756823570,3,0,304,252,0.8289473684210527,safe,0.0,False,False
1756823571,3,0,610,505,0.8278688524590164,safe,0.0,False,False
1756823572,3,0,124,112,0.9032258064516129,safe,0.0,False,False
1756823573,3,0,620,610,0.9838709677419355,safe,0.0,,False
1756823574,3,0,4,4,1.0,safe,0.0,,False
1756823575,3,0,240,220,0.9166666666666666,safe,0.0,False,False
1756823576,3,0,20,16,0.8,safe,0.0,,False
1756823577,3,0,304,252,0.8289473684210527,safe,0.0,False,False
1756823578,3,0,400,320,0.8,safe,0.0,,False
1756823579,3,0,2600,2400,0.9230769230769231,safe,0.0,False,False
1756823580,3,0,520,460,0.8846153846153846,safe,0.0,False,False
1756823581,3,0,2006,2003,0.9985044865403788,safe,0.0,False,False
1756823582,3,0,2210,2105,0.9524886877828054,safe,0.0,False,False
1756823583,3,0,304,252,0.8289473684210527,safe,0.0,False,False
1756823584,3,0,540,480,0.8888888888888888,safe,0.0,False,False
1756823585,3,0,206,203,0.9854368932038835,safe,0.0,False,False
1756823586,3,0,24,22,0.9166666666666666,safe,0.0,False,False
1756823587,3,0,222,211,0.9504504504504504,safe,0.0,False,False
1756823588,3,0,2040,2020,0.9901960784313726,safe,0.0,False,False
1756823589,3,0,46,43,0.9347826086956522,safe,0.0,False,False
1756823590,3,0,640,620,0.96875,safe,0.0,,False
1756823591,3,0,400,300,0.75,safe,0.0,False,False
1756823592,3,0,204,202,0.9901960784313726,safe,0.0,False,False
1756823593,3,0,142,131,0.9225352112676056,safe,0.0,False,False
1756823594,3,0,2140,2080,0.9719626168224299,safe,0.0,False,False
1756823595,3,0,32,26,0.8125,safe,0.0,False,False
1756823596,3,0,2440,2220,0.9098360655737705,safe,0.0,False,False
1756823597,3,0,150,135,0.9,safe,0.0,False,False
1756823598,3,0,4,4,1.0,safe,0.0,,False
1756823599,3,0,2202,2101,0.9541326067211626,safe,0.0,False,False
1756823600,3,0,2012,2006,0.9970178926441352,safe,0.0,False,False
1756823601,3,0,3002,3001,0.9996668887408394,safe,0.0,False,False
1756823602,3,0,17,16,0.9411764705882353,safe,0.0,,False
1756823603,3,0,34,28,0.8235294117647058,safe,0.0,False,False
1756823604,3,0,2600,2300,0.8846153846153846,safe,0.0,False,False
1756823605,3,0,3004,3002,0.9993342210386151,safe,0.0,False,False
1756823606,3,0,2042,2021,0.9897159647404505,safe,0.0,False,False
1756823607,3,0,70,55,0.7857142857142857,safe,0.0,False,False
1756823608,3,0,4000,3050,0.7625,safe,0.0,,False
1756823609,3,0,310,305,0.9838709677419355,safe,0.0,False,False
1756823610,3,0,400,310,0.775,safe,0.0,,False
1756823611,3,0,244,222,0.9098360655737705,safe,0.0,False,False
1756823612,3,0,422,411,0.9739336492890995,safe,0.0,False,False
1756823613,3,0,502,451,0.898406374501992,safe,0.0,False,False
1756823614,3,0,26,23,0.8846153846153846,safe,0.0,False,False
1756823615,3,0,20,16,0.8,safe,0.0,,False
1756823616,3,0,70,60,0.8571428571428571,safe,0.0,False,False
1756823617,3,0,520,460,0.8846153846153846,safe,0.0,False,False
1756823618,3,0,2240,2120,0.9464285714285714,safe,0.0,False,False
1756823619,3,0,2600,2300,0.8846153846153846,safe,0.0,False,False
1756823620,3,0,520,460,0.8846153846153846,safe,0.0,False,False
1756823621,3,0,46,43,0.9347826086956522,safe,0.0,False,False
