seeds,num_tasks,per_jitter,final_e2e_max,letG2023,R,exceed,false_percentage,adjust,inserted,run_time_G,run_time_our
1756826707,3,0,212,206,0.9716981132075472,safe,0.0,False,False,0.00043407315388321877,1.877499744296074e-05
1756826708,3,0,260,230,0.8846153846153846,safe,0.0,False,False,5.064811557531357e-05,1.0840827599167824e-05
1756826709,3,0,800,610,0.7625,safe,0.0,,False,6.568897515535355e-05,1.0367017239332199e-05
1756826710,3,0,52,46,0.8846153846153846,safe,0.0,False,False,6.354786455631256e-05,1.0198913514614105e-05
1756826711,3,0,70,55,0.7857142857142857,safe,0.0,False,False,3.575091250240803e-05,1.146993599832058e-05
1756826712,3,0,2210,2105,0.9524886877828054,safe,0.0,False,False,0.0006465499754995108,1.2916047126054764e-05
1756826713,3,0,430,415,0.9651162790697675,safe,0.0,False,False,0.00015682214871048927,1.1054100468754768e-05
1756826714,3,0,142,131,0.9225352112676056,safe,0.0,False,False,0.0004698790144175291,1.5452038496732712e-05
1756826715,3,0,3002,3001,0.9996668887408394,safe,0.0,,False,0.00254756398499012,1.3283919543027878e-05
1756826716,3,0,520,460,0.8846153846153846,safe,0.0,False,False,8.42660665512085e-05,1.1980999261140823e-05
1756826707,5,0,3002,2501,0.8331112591605596,safe,0.0,False,False,0.005082129035145044,2.9043061658740044e-05
1756826708,5,0,562,491,0.8736654804270463,safe,0.0,False,False,0.0010546890553086996,1.743086613714695e-05
1756826709,5,0,2342,2181,0.9312553373185312,safe,0.0,False,False,0.009202050045132637,2.5295885279774666e-05
1756826710,5,0,2480,2240,0.9032258064516129,safe,0.0,False,False,0.00044562690891325474,2.065300941467285e-05
1756826711,5,0,2308,2204,0.9549393414211439,safe,0.0,False,False,0.020517711993306875,3.6945100873708725e-05
1756826712,5,0,2162,2091,0.9671600370027752,safe,0.0,False,False,0.014932160964235663,2.7046073228120804e-05
1756826713,5,0,630,515,0.8174603174603174,safe,0.0,False,False,0.00021726707927882671,1.5407102182507515e-05
1756826714,5,0,542,471,0.8690036900369004,safe,0.0,False,False,0.0022513510193675756,2.6144087314605713e-05
1756826715,5,0,326,264,0.8098159509202454,safe,0.0,False,False,0.0003425208851695061,1.777196303009987e-05
1756826716,5,0,2704,2452,0.9068047337278107,safe,0.0,False,False,0.0030938799027353525,2.3722881451249123e-05
1756826707,8,0,3460,3231,0.9338150289017341,safe,0.0,False,False,0.0935805831104517,3.6378856748342514e-05
1756826708,8,0,2718,2460,0.9050772626931567,safe,0.0,False,False,0.12995339883491397,4.253489896655083e-05
1756826709,8,0,2846,2439,0.8569922698524245,safe,0.0,False,False,0.06661032512784004,4.3489038944244385e-05
1756826710,8,0,1455.3999999999999,1060,0.7283221107599286,safe,0.0,False,False,0.0003617240581661463,0.00055649783462286
1756826711,8,0,3302,2751,0.8331314354936402,safe,0.0,False,False,0.01529977610334754,7.721292786300182e-05
1756826712,8,0,5050,4036,0.7992079207920793,safe,0.0,False,False,0.05884269205853343,4.3926993384957314e-05
1756826713,8,0,526,463,0.8802281368821293,safe,0.0,False,False,0.0034935821313410997,2.5941990315914154e-05
1756826714,8,0,662,636,0.9607250755287009,safe,0.0,False,False,0.005587342893704772,4.2550964280962944e-05
1756826715,8,0,2920,2461,0.8428082191780822,safe,0.0,False,False,0.10458773095160723,3.938213922083378e-05
1756826716,8,0,4202,3324,0.7910518800571157,safe,0.0,,False,0.14348101196810603,5.3560128435492516e-05
1756826707,10,0,2602,2301,0.8843197540353575,safe,0.1,False,False,0.0548963169567287,4.626298323273659e-05
1756826708,10,0,276,211,0.7644927536231884,safe,0.1,False,False,0.0021678670309484005,3.13660129904747e-05
1756826709,10,0,0,721,,,0.1,False,False,0.002731755143031478,0.0002995098475366831
1756826710,10,0,2487,2246,0.9030960997185364,safe,0.1,False,False,0.06790450285188854,5.0626927986741066e-05
1756826711,10,0,3604,2804,0.7780244173140954,safe,0.1,False,False,0.14770407509058714,5.5339885875582695e-05
1756826712,10,0,1202,833,0.6930116472545758,safe,0.1,False,False,0.0029733781702816486,3.6289915442466736e-05
1756826713,10,0,8000,6520,0.815,safe,0.1,,False,0.0010259379632771015,5.27980737388134e-05
1756826714,10,0,4862,3492,0.7182229535170712,safe,0.1,,False,0.10514167882502079,4.121614620089531e-05
1756826715,10,0,2508,2274,0.9066985645933014,safe,0.1,False,False,0.15220492403022945,5.414406768977642e-05
1756826716,10,0,6630,4635,0.6990950226244343,safe,0.1,,False,0.004103215178474784,3.9368169382214546e-05
