seeds,num_tasks,mrt,let
1756827092,3,300.6887272614394,623
1756827093,3,156.08510166197198,297
1756827094,3,165.63173467718093,259
1756827095,3,1358.2759788151538,2161
1756827096,3,24.380159109157084,42
1756827097,3,1944.694316162118,3720
1756827098,3,1037.5894148004797,2087
1756827099,3,1262.6833544622482,3200
1756827100,3,25.570982247025967,46
1756827101,3,68.29205735812229,134
1756827092,5,187.2377011363041,324
1756827093,5,1272.1988470916551,3151
1756827094,5,375.8215636239106,908
1756827095,5,1252.4633759255769,2554
1756827096,5,1265.2533385545528,2145
1756827097,5,213.25993903991503,486
1756827098,5,1429.8698143987563,2495
1756827099,5,1304.142542771467,2161
1756827100,5,1173.976263897145,2116
1756827101,5,288.6846747098989,539
1756827092,8,1508.2201716540949,4488
1756827093,8,1175.9636689947192,2141
1756827094,8,1280.7689849032506,2579
1756827095,8,394.87855323035694,1102
1756827096,8,1373.8554720832472,2502
1756827097,8,246.53983529568973,506
1756827098,8,277.78081159442036,580
1756827099,8,1070.6568303917456,2298
1756827100,8,240.5400640461821,504
1756827101,8,277.6549023625032,595
1756827092,10,1268.8181276341375,2424
1756827093,10,293.94406846049236,767
1756827094,10,348.5626358298955,928
1756827095,10,359.0756120959267,941
1756827096,10,162.8559937231796,343
1756827097,10,2314.834475123491,6838
1756827098,10,1300.6169309978625,2871
1756827099,10,1880.8505845277473,4094
1756827100,10,1823.7825438432012,4332
1756827101,10,354.7137285202167,842
