seeds,num_tasks,per_jitter,max_reaction_time,final_e2e_max_write,R_write,exceed_write,false_percentage_write,final_e2e_max_read,R_read,exceed_read,false_percentage_read
1753194907,3,0.02,3974.261705214856,4067.2691402101286,0.9771327070353482,safe,0.03,4067.2691402101286,0.9771327070353482,safe,0.01
1753194908,3,0.02,2186.652625885288,2224.0200000000004,0.9831982742445157,safe,0.03,2224.0200000000004,0.9831982742445157,safe,0.01
1753194909,3,0.02,750.5945651446455,750.7824511145793,0.9997497464549752,safe,0.03,750.7824511145793,0.9997497464549752,safe,0.01
1753194910,3,0.02,606.6306491131452,626.2,0.9687490404234192,safe,0.03,626.2,0.9687490404234192,safe,0.01
1753194911,3,0.02,2010.7028067780625,2032.1200000000003,0.9894606651074062,safe,0.03,2032.1200000000001,0.9894606651074063,safe,0.01
1753194912,3,0.02,106.88481521309836,108.18770131007723,0.9879571699814135,safe,0.03,108.18770131007723,0.9879571699814135,safe,0.01
1753194913,3,0.02,1526.0674608649229,2026.06,0.7532192831727209,safe,0.03,2026.06,0.7532192831727209,safe,0.01
1753194914,3,0.02,211.36303418721008,214.12,0.9871242022567255,safe,0.03,214.12,0.9871242022567255,safe,0.01
1753194915,3,0.02,718.5946805969797,718.6736429029048,0.9998901277280656,safe,0.03,718.6736429029046,0.999890127728066,safe,0.01
1753194916,3,0.02,2222.1928571442622,2262.4,0.9822281016373153,safe,0.03,2262.4,0.9822281016373153,safe,0.01
1753194917,3,0.02,2283.5728867423313,2323.0,0.9830275018262296,safe,0.03,2323.0,0.9830275018262296,safe,0.01
1753194918,3,0.02,214.2277622977391,216.14000000000001,0.9911527819826922,safe,0.03,216.14,0.9911527819826923,safe,0.01
1753194919,3,0.02,708.0596726996337,808.0,0.876311476113408,safe,0.03,808.0,0.876311476113408,safe,0.01
1753194920,3,0.02,43.06988279917664,44.44,0.9691692799094653,safe,0.03,44.44,0.9691692799094653,safe,0.01
1753194921,3,0.02,344.9282848321818,392.10374381521314,0.8796862827066917,safe,0.03,392.1037438152131,0.8796862827066919,safe,0.01
