seeds,num_tasks,final_e2e_max,let,R,exceed,false_percentage,adjusted,inserted,run_time_G,run_time_our
1755021037,3,80,70,0.875,safe,0.0,False,False,8.206197526305914e-05,4.67479694634676e-05
1755021038,3,2030,2020,0.9950738916256158,safe,0.0,False,False,0.0032296489807777107,0.0002077289973385632
1755021039,3,2104,2052,0.9752851711026616,safe,0.0,False,False,0.006609389034565538,3.789999755099416e-05
1755021040,3,520,460,0.8846153846153846,safe,0.0,False,False,0.00020847900304943323,3.315502544865012e-05
1755021041,3,19,18,0.9473684210526315,safe,0.0,,False,6.364501314237714e-05,3.0821014661341906e-05
1755021042,3,114,108,0.9473684210526315,safe,0.0,False,False,0.0002518790424801409,3.180996282026172e-05
1755021043,3,130,120,0.9230769230769231,safe,0.0,False,False,6.532197585329413e-05,2.957601100206375e-05
1755021044,3,2004,2002,0.999001996007984,safe,0.0,False,False,0.2996582849882543,5.9461977798491716e-05
1755021045,3,320,260,0.8125,safe,0.0,False,False,0.000120385957416147,3.078201552852988e-05
1755021046,3,130,115,0.8846153846153846,safe,0.0,False,False,0.00011386099504306912,3.3378018997609615e-05
1755021047,3,106,104,0.9811320754716981,safe,0.0,False,False,0.0003152290009893477,3.447796916589141e-05
1755021048,3,34,32,0.9411764705882353,safe,0.0,,False,7.390999235212803e-05,3.182899672538042e-05
1755021049,3,150,135,0.9,safe,0.0,False,False,0.00019833201076835394,3.118504537269473e-05
1755021050,3,62,51,0.8225806451612904,safe,0.0,False,False,0.000187243043910712,3.541400656104088e-05
1755021051,3,2200,2100,0.9545454545454546,safe,0.0,False,False,0.00029904500115662813,3.0911993235349655e-05
1755021052,3,2204,2102,0.9537205081669692,safe,0.0,False,False,0.00549415301065892,3.421597648411989e-05
1755021053,3,160,140,0.875,safe,0.0,False,False,0.00011160899884998798,3.041099989786744e-05
1755021054,3,260,230,0.8846153846153846,safe,0.0,False,False,0.00011580996215343475,3.0773982871323824e-05
1755021055,3,620,510,0.8225806451612904,safe,0.0,False,False,0.00019307504408061504,2.9663031455129385e-05
1755021056,3,2440,2220,0.9098360655737705,safe,0.0,False,False,0.0005021329852752388,3.289501182734966e-05
1755021057,3,2102,2051,0.9757373929590866,safe,0.0,False,False,0.013122388976626098,3.7589052226394415e-05
1755021058,3,502,451,0.898406374501992,safe,0.0,False,False,0.0017032769974321127,3.510795067995787e-05
1755021059,3,18,15,0.8333333333333334,safe,0.0,False,False,4.920398350805044e-05,1.828401582315564e-05
1755021060,3,800,700,0.875,safe,0.0,,False,5.5032025557011366e-05,3.701698733493686e-05
1755021061,3,442,421,0.9524886877828054,safe,0.0,False,False,0.0009307380532845855,2.0145962480455637e-05
1755021062,3,310,255,0.8225806451612904,safe,0.0,False,False,0.0002057559904642403,3.371195634827018e-05
1755021063,3,34,28,0.8235294117647058,safe,0.0,False,False,5.606102058663964e-05,2.489896724000573e-05
1755021064,3,700,550,0.7857142857142857,safe,0.0,False,False,7.418298628181219e-05,3.34350042976439e-05
1755021065,3,604,602,0.9966887417218543,safe,0.0,False,False,0.0008155000396072865,3.2347976230084896e-05
1755021066,3,444,422,0.9504504504504504,safe,0.0,False,False,0.0009753950289450586,3.173999721184373e-05
1755021067,3,550,500,0.9090909090909091,safe,0.0,False,False,7.799302693456411e-05,3.4352007787674665e-05
1755021068,3,160,155,0.96875,safe,0.0,False,False,0.00010056601604446769,3.178900806233287e-05
1755021069,3,2022,2011,0.9945598417408507,safe,0.0,False,False,0.02998173498781398,4.473200533539057e-05
1755021070,3,2410,2205,0.9149377593360996,safe,0.0,False,False,0.0018545949715189636,3.6555982660502195e-05
1755021071,3,2024,2012,0.9940711462450593,safe,0.0,False,False,0.015053104027174413,3.888597711920738e-05
1755021072,3,2008,2004,0.99800796812749,safe,0.0,False,False,0.06361835601273924,4.250102210789919e-05
1755021073,3,8,7,0.875,safe,0.0,,False,5.0870003178715706e-05,3.252498572692275e-05
1755021074,3,48,44,0.9166666666666666,safe,0.0,False,False,0.00011859898222610354,3.271701280027628e-05
1755021075,3,34,32,0.9411764705882353,safe,0.0,,False,7.303600432351232e-05,3.914401168003678e-05
1755021076,3,190,180,0.9473684210526315,safe,0.0,False,False,7.023598300293088e-05,3.219797508791089e-05
1755021077,3,16,14,0.875,safe,0.0,False,False,0.00011121697025373578,3.139401087537408e-05
1755021078,3,2014,2008,0.997020854021847,safe,0.0,False,False,0.026877812983002514,4.221597919240594e-05
1755021079,3,2120,2060,0.9716981132075472,safe,0.0,False,False,0.0013021869817748666,3.50800110027194e-05
1755021080,3,124,112,0.9032258064516129,safe,0.0,False,False,0.00022487802198156714,3.170396666973829e-05
1755021081,3,430,415,0.9651162790697675,safe,0.0,False,False,0.000490083999466151,3.164500230923295e-05
1755021082,3,2120,2060,0.9716981132075472,safe,0.0,False,False,0.0013364529586397111,3.673398168757558e-05
1755021083,3,460,430,0.9347826086956522,safe,0.0,False,False,0.00022464303765445948,3.183603985235095e-05
1755021084,3,2240,2120,0.9464285714285714,safe,0.0,False,False,0.0005605699843727052,4.423398058861494e-05
1755021085,3,222,211,0.9504504504504504,safe,0.0,False,False,0.0008986590546555817,3.169098636135459e-05
1755021086,3,212,206,0.9716981132075472,safe,0.0,False,False,0.001141846994869411,3.2381038181483746e-05
1755021087,3,2200,2100,0.9545454545454546,safe,0.0,False,False,0.0002949089976027608,3.316695801913738e-05
1755021088,3,2120,2060,0.9716981132075472,safe,0.0,False,False,0.0013428240199573338,3.2727024517953396e-05
1755021089,3,610,505,0.8278688524590164,safe,0.0,False,False,0.000354489020537585,3.221898805350065e-05
1755021090,3,2104,2052,0.9752851711026616,safe,0.0,False,False,0.006386074994225055,3.673700848594308e-05
1755021091,3,54,48,0.8888888888888888,safe,0.0,False,False,0.00010530400322750211,3.0010996852070093e-05
1755021092,3,424,412,0.9716981132075472,safe,0.0,False,False,0.001181424013338983,3.0423980206251144e-05
1755021093,3,424,412,0.9716981132075472,safe,0.0,False,False,0.0012092390097677708,3.754702629521489e-05
1755021094,3,130,115,0.8846153846153846,safe,0.0,False,False,0.0001264369930140674,3.3263000659644604e-05
1755021095,3,2420,2210,0.9132231404958677,safe,0.0,False,False,0.0009301470126956701,3.4926983062177896e-05
1755021096,3,610,605,0.9918032786885246,safe,0.0,,False,0.000317001948133111,3.4994969610124826e-05
1755021097,3,420,410,0.9761904761904762,safe,0.0,False,False,0.0006567270029336214,3.974599530920386e-05
1755021098,3,310,255,0.8225806451612904,safe,0.0,False,False,0.00018087797798216343,2.8568028938025236e-05
1755021099,3,2600,2300,0.8846153846153846,safe,0.0,False,False,0.00013952795416116714,3.6563025787472725e-05
1755021100,3,80,65,0.8125,safe,0.0,,False,6.189203122630715e-05,3.375299274921417e-05
1755021101,3,244,222,0.9098360655737705,safe,0.0,False,False,0.00041765900095924735,3.2325973734259605e-05
1755021102,3,28,24,0.8571428571428571,safe,0.0,False,False,7.265398744493723e-05,2.981000579893589e-05
1755021103,3,620,510,0.8225806451612904,safe,0.0,False,False,0.00020686700008809566,3.564305370673537e-05
1755021104,3,310,255,0.8225806451612904,safe,0.0,False,False,0.00017632299568504095,2.8816983103752136e-05
1755021105,3,52,46,0.8846153846153846,safe,0.0,False,False,0.00018799398094415665,3.321003168821335e-05
1755021106,3,2044,2022,0.9892367906066536,safe,0.0,False,False,0.0103246079524979,4.164199344813824e-05
1755021107,3,2008,2004,0.99800796812749,safe,0.0,False,False,0.06618272402556613,5.887000588700175e-05
1755021108,3,350,300,0.8571428571428571,safe,0.0,False,False,5.4872012697160244e-05,3.409100463613868e-05
1755021109,3,2050,2025,0.9878048780487805,safe,0.0,False,False,0.004441756987944245,4.39870054833591e-05
1755021110,3,2102,2051,0.9757373929590866,safe,0.0,False,False,0.013447474979329854,5.2574032451957464e-05
1755021111,3,2042,2021,0.9897159647404505,safe,0.0,False,False,0.02006745699327439,5.068804603070021e-05
1755021112,3,20,20,1.0,safe,0.0,,False,3.9048027247190475e-05,3.060599556192756e-05
1755021113,3,2030,2015,0.9926108374384236,safe,0.0,False,False,0.006893693003803492,5.5882963351905346e-05
1755021114,3,64,52,0.8125,safe,0.0,False,False,9.724701521918178e-05,2.8848997317254543e-05
1755021115,3,17,16,0.9411764705882353,safe,0.0,,False,5.875399801880121e-05,2.773897722363472e-05
1755021116,3,230,215,0.9347826086956522,safe,0.0,False,False,0.0002004859852604568,3.129802644252777e-05
1755021117,3,130,115,0.8846153846153846,safe,0.0,False,False,0.0001177910016849637,3.440800355747342e-05
1755021118,3,124,112,0.9032258064516129,safe,0.0,False,False,0.00023296696599572897,3.2535986974835396e-05
1755021119,3,2022,2011,0.9945598417408507,safe,0.0,False,False,0.030112759966868907,4.3014995753765106e-05
1755021120,3,480,440,0.9166666666666666,safe,0.0,False,False,0.00014210399240255356,3.303500125184655e-05
1755021121,3,700,650,0.9285714285714286,safe,0.0,False,False,7.27610313333571e-05,3.708101576194167e-05
1755021122,3,23,22,0.9565217391304348,safe,0.0,False,False,0.00012150302063673735,3.267201827839017e-05
1755021123,3,2240,2120,0.9464285714285714,safe,0.0,False,False,0.0005510449991561472,3.5539036616683006e-05
1755021124,3,540,480,0.8888888888888888,safe,0.0,False,False,0.00011447898577898741,4.059699131175876e-05
1755021125,3,2024,2012,0.9940711462450593,safe,0.0,False,False,0.007364702003542334,2.3991975467652082e-05
1755021126,3,46,43,0.9347826086956522,safe,0.0,False,False,0.00015884102322161198,3.1777017284184694e-05
1755021127,3,302,251,0.8311258278145696,safe,0.0,False,False,0.0006400410202331841,3.3661024644970894e-05
1755021128,3,800,800,1.0,safe,0.0,,False,3.353995271027088e-05,2.7331989258527756e-05
1755021129,3,260,230,0.8846153846153846,safe,0.0,False,False,8.222903124988079e-05,2.7030007913708687e-05
1755021130,3,2400,2200,0.9166666666666666,safe,0.0,False,False,0.0001125180278904736,2.7662026695907116e-05
1755021131,3,2102,2051,0.9757373929590866,safe,0.0,False,False,0.008478986972477287,3.326800651848316e-05
1755021132,3,610,505,0.8278688524590164,safe,0.0,False,False,0.00022951496066525578,2.5488028768450022e-05
1755021133,3,304,252,0.8289473684210527,safe,0.0,False,False,0.0002532589714974165,2.4575041607022285e-05
1755021134,3,16,14,0.875,safe,0.0,False,False,8.218100992962718e-05,2.996798139065504e-05
1755021135,3,610,505,0.8278688524590164,safe,0.0,False,False,0.00023976998636499047,2.785999095067382e-05
1755021136,3,510,455,0.8921568627450981,safe,0.0,False,False,0.00023886002600193024,2.5273009669035673e-05
1755021137,3,106,103,0.9716981132075472,safe,0.0,False,False,0.0004798860172741115,2.59499647654593e-05
1755021138,3,520,460,0.8846153846153846,safe,0.0,False,False,0.00013120798394083977,2.5196000933647156e-05
