seeds,num_tasks,final_e2e_max,mrt,R,exceed,false_percentage,adjust,inserted,run_time_our,run_time_G
1755017037,3,1463.478679831363,1425.6570189694025,0.9741563294476427,safe,0.0,False,False,3.8070000300649554e-05,0.000854026002343744
1755017038,3,31.065209573266557,29.103260460689427,0.9368441694252885,safe,0.0,False,False,5.978000262985006e-05,0.00020529100220301189
1755017039,3,1163.4069882677813,1061.4069882677793,0.9123264678409129,safe,0.0,False,False,2.8038000891683623e-05,0.0026084880009875633
1755017040,3,196.77700454481942,177.99997434281863,0.9045771113071092,safe,0.0,False,False,3.6523997550830245e-05,0.00045483000212698244
1755017041,3,184.7166146738371,147.91604967389165,0.8007728483714042,safe,0.0,False,False,2.8785998438252136e-05,0.00045673500062548555
1755017042,3,1538.4979006859026,1368.5496322388071,0.8895362363696901,safe,0.0,False,False,2.4369997845496982e-05,0.00026078800146933645
1755017043,3,1448.0762945292495,1437.788133497421,0.9928952907587145,safe,0.0,False,False,2.6743000489659607e-05,0.0001891430001705885
1755017044,3,33.84781029671337,32.84781029671327,0.9704559913556003,safe,0.0,,False,2.765400131465867e-05,9.271700037061237e-05
1755017045,3,1333.6376156302597,1316.3455307251243,0.9870338953382299,safe,0.0,False,False,3.144300353596918e-05,0.013498727999831317
1755017046,3,254.54000411119523,251.54000411112526,0.9882140333479391,safe,0.0,False,False,2.7915000828215852e-05,0.007157209001888987
1755017047,3,122.0000000000002,122.00000000000009,0.9999999999999991,safe,0.0,,False,0.00018541999816079624,1.6525998944416642e-05
1755017048,3,174.24546347135504,166.57605990484888,0.9559850603067955,safe,0.0,False,False,2.2050000552553684e-05,9.888099884847179e-05
1755017049,3,1107.06694830687,1051.1947756271134,0.9495313515002805,safe,0.0,False,False,4.240400085109286e-05,0.0014827089980826713
1755017050,3,237.253631687402,234.8567486307677,0.9898973809606744,safe,0.0,False,False,9.201400098390877e-05,0.00759131700033322
1755017051,3,364.08669218291413,315.13003827436825,0.865535722783434,safe,0.0,False,False,6.163099897094071e-05,6.449699867516756e-05
1755017052,3,1054.3380187312373,1043.623373289489,0.9898375613404875,safe,0.0,False,False,4.557800275506452e-05,0.05949514299936709
1755017053,3,24.731391075664913,22.767821715021604,0.9206041684175456,safe,0.0,False,False,0.0002106259998981841,0.0004919009988952894
1755017054,3,74.50546135858156,68.69637871263235,0.9220314519228179,safe,0.0,False,False,7.352499960688874e-05,0.00034292899727006443
1755017055,3,297.0711541390133,258.0287694690966,0.8685756455113546,safe,0.0,False,False,6.467500134021975e-05,0.00011593599992920645
1755017056,3,1467.5084058098907,1459.8042551017845,0.9947501829102952,safe,0.0,False,False,6.179200136102736e-05,0.015848347000428475
1755017057,3,1334.7065179876463,1263.3418521548374,0.9465315671490042,safe,0.0,False,False,5.486900045070797e-05,0.006828659999882802
1755017058,3,31.656890870420668,30.656890870420654,0.9684113009046512,safe,0.0,,False,3.55140000465326e-05,9.641900032875128e-05
1755017059,3,1469.2078592218602,1465.1410696204107,0.9972319848577428,safe,0.0,False,False,5.356499968911521e-05,0.09480614800122567
1755017060,3,35.62321258915088,27.82103435718442,0.7809804993740899,safe,0.0,False,False,6.26700020802673e-05,0.00013397600196185522
1755017061,3,1974.0576359397596,1969.0576359397587,0.9974671458882605,safe,0.0,,False,5.205699926591478e-05,0.002083526997012086
1755017062,3,32.930497213804166,29.549342632335893,0.897324520807693,safe,0.0,False,False,6.220599971129559e-05,0.00022073599757277407
1755017063,3,1429.2093523425901,1425.7060106187403,0.9975487553883498,safe,0.0,False,False,4.46720005129464e-05,0.04019813000195427
1755017064,3,62.50169022481456,59.37304443884871,0.9499430211453113,safe,0.0,False,False,0.00011865800115629099,0.000630211998213781
1755017065,3,4.1756861992188705,3.1756861992188705,0.7605184028945791,safe,0.0,,False,4.724499740405008e-05,3.4180997317889705e-05
1755017066,3,304.1491144531017,249.22923988414874,0.8194310883735244,safe,0.0,False,False,4.8638998123351485e-05,0.00022779600112698972
1755017067,3,76.66331160490685,75.6633116049068,0.986955950909691,safe,0.0,,False,4.4770000386051834e-05,0.0002927030000137165
1755017068,3,145.862660133811,143.3367719788501,0.9826831064739686,safe,0.0,False,False,4.370199894765392e-05,0.0015048919995024335
1755017069,3,271.57456346309186,256.94003415099894,0.9461122973909085,safe,0.0,False,False,0.0001119599983212538,0.0007293340022442862
1755017070,3,1214.2805253537938,1183.9745192254986,0.9750420059487777,safe,0.0,False,False,0.00010107799971592613,0.018370708003203617
1755017071,3,5.639884339929382,2.6398843399293814,0.46807419812485657,safe,0.0,,False,0.00011467700096545741,4.2077997932210565e-05
1755017072,3,1387.8850598370395,1384.8850598368035,0.9978384377157369,safe,0.0,False,False,0.00011812100274255499,0.5115425730000425
1755017073,3,89.25343930750695,84.23721723067217,0.9437979968530705,safe,0.0,False,False,6.643399683525786e-05,0.0016125559995998628
1755017074,3,147.06356937268433,134.6619862116285,0.9156719559170491,safe,0.0,False,False,7.704499876126647e-05,0.0004255919993738644
1755017075,3,68.07948808287861,59.31831935723878,0.8713097149764969,safe,0.0,False,False,6.07149995630607e-05,0.000744982000469463
1755017076,3,153.91119537690219,131.5978359880882,0.8550244552764834,safe,0.0,False,False,7.960400034789927e-05,0.00029473599715856835
1755017077,3,33.75440148099172,27.75440148099171,0.8222454039548348,safe,0.0,False,False,6.394299998646602e-05,0.0003165439993608743
1755017078,3,215.4106614772058,214.41066147720574,0.9953577042420165,safe,0.0,,False,0.00010378700244473293,0.0012521169992396608
1755017079,3,132.45160439865174,121.3544493017333,0.9162172844390898,safe,0.0,False,False,0.00011238000297453254,0.000296578997222241
1755017080,3,160.48586474926634,140.76957056149348,0.8771462258151119,safe,0.0,False,False,6.113999916124158e-05,0.0005091730017738882
1755017081,3,1042.5131396902289,1027.5131396902239,0.9856116921418735,safe,0.0,False,False,7.209500108729117e-05,0.030447368997556623
1755017082,3,2013.633538713701,1927.2587017317296,0.9571049869197416,safe,0.0,,False,5.990699719404802e-05,6.888099960633554e-05
1755017083,3,2407.771943134288,2405.7719431342866,0.9991693565473656,safe,0.0,,False,7.16459981049411e-05,0.004515674998401664
1755017084,3,117.11049865147677,112.92291414684566,0.9642424500548541,safe,0.0,False,False,6.628100163652562e-05,0.0008384719985770062
1755017085,3,30.86817701389667,28.65953377836326,0.9284491845910081,safe,0.0,False,False,6.920600208104588e-05,0.0003442919987719506
1755017086,3,72.0965923019228,69.09659230192246,0.9583891567657307,safe,0.0,False,False,5.7283999922219664e-05,0.0010655780024535488
1755017087,3,243.1821062749101,238.70031690240074,0.9815702337595398,safe,0.0,,False,7.48129968997091e-05,0.00021635399752995
1755017088,3,122.50140436146489,121.48799035910716,0.9917273274731818,safe,0.0,False,False,0.00015634100054739974,0.007076511999912327
1755017089,3,247.2434237232002,237.24342372320012,0.9595540303988206,safe,0.0,,False,5.4735999583499506e-05,0.00018411999917589128
1755017090,3,1248.7186173236764,1237.7029443995966,0.9911784186034728,safe,0.0,False,False,9.725499694468454e-05,0.018103918999258894
1755017091,3,1327.5270446922714,1195.66146983822,0.9006682572823829,safe,0.0,False,False,7.082199954311363e-05,0.0008619779982836917
1755017092,3,8.300599693671076,7.266232693697862,0.8753864734903571,safe,0.0,True,False,0.00016925900126807392,8.295199950225651e-05
1755017093,3,1113.4760784616549,1103.1416146088534,0.9907187374271397,safe,0.0,False,False,0.00010982199819409288,0.044000850000884384
1755017094,3,293.00000000000057,273.5113118070524,0.9334857058261156,safe,0.0,,False,6.67020030959975e-05,4.731300214189105e-05
1755017095,3,38.85295606845857,36.85295606845855,0.9485238653018825,safe,0.0,,False,7.108900172170252e-05,0.00014757000099052675
1755017096,3,35.5095206240261,27.31526897412562,0.7692378971639462,safe,0.0,False,False,6.0319998738123104e-05,0.00030504499954986386
1755017097,3,1396.003737797265,1339.6816232440767,0.9596547537601452,safe,0.0,False,False,6.639400089625269e-05,0.002344297998206457
1755017098,3,24.269046181615792,23.133532749683027,0.9532114520103004,safe,0.0,,False,6.128699897089973e-05,4.383300256449729e-05
1755017099,3,77.47124139845559,66.46472833137878,0.8579277565662421,safe,0.0,False,False,6.439400021918118e-05,0.00044785399950342253
1755017100,3,323.08351229736394,268.8636151009551,0.8321799314026733,safe,0.0,False,False,6.493900218629278e-05,0.00019880000036209822
1755017101,3,113.73243445827262,108.9828812880063,0.9582392376203914,safe,0.0,False,False,0.00011361599899828434,0.001942939001310151
1755017102,3,224.75708463446372,212.9962452540998,0.9476731093950106,safe,0.0,False,False,6.718500299029984e-05,0.0012734379997709766
1755017103,3,1043.520202511136,1029.8212575783405,0.986872372092241,safe,0.0,False,False,7.732499943813309e-05,0.017393100999470335
1755017104,3,78.78597446054508,68.48413585453764,0.8692427341726102,safe,0.0,False,False,6.537199806189165e-05,0.005100929000036558
1755017105,3,101.18154563485844,99.18154563485831,0.9802335496314942,safe,0.0,,False,0.00010518900307943113,0.00023231099839904346
1755017106,3,54.98303819566548,51.98303819566492,0.9454377186410724,safe,0.0,False,False,0.000105467999674147,0.0011287529996479861
1755017107,3,1407.3831034407253,1403.9230509317329,0.9975414991834608,safe,0.0,False,False,6.961500184843317e-05,0.06864248299825704
1755017108,3,1296.2091139265976,1281.9574710404875,0.9890051360286013,safe,0.0,False,False,7.09510022716131e-05,0.06674593700154219
1755017109,3,232.23819590493488,214.4431505301834,0.9233758886844102,safe,0.0,False,False,0.00024900999778765254,0.00015442999938386492
1755017110,3,142.39206861740735,136.392068617407,0.9578628215864908,safe,0.0,False,False,6.216000110725872e-05,0.002102095000736881
1755017111,3,62.671927018931065,59.67192701893099,0.9521316777271923,safe,0.0,False,False,5.104199954075739e-05,0.0010874719991988968
1755017112,3,16.73454836098231,15.568892550903843,0.9303443519995874,safe,0.0,False,False,0.00014600399663322605,9.637900075176731e-05
1755017113,3,183.46327900220166,129.88271934168904,0.7079494057234765,safe,0.0,False,False,5.638999937218614e-05,0.0001439120023860596
1755017114,3,238.48245345361943,229.39871133913547,0.9619102286858576,safe,0.0,False,False,0.00023520800095866434,0.0014009909973538015
