seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,adjust,inserted,finalpercent_x,finalpercent_y,finalpercent
1755016010,10,0.2,0.0,3217.677881358817,,,0.29,False,False,0.241,0.241,0.241
1755016011,10,0.2,4031.291763587769,3950.849488287353,0.980045533784728,safe,0.29,False,False,0.241,0.241,0.241
1755016012,10,0.2,4642.132361944183,4529.503656422545,0.9757377220768284,safe,0.29,True,False,0.241,0.241,0.241
1755016013,10,0.2,2871.0,2673.169427320361,0.9310934961060122,safe,0.29,False,False,0.241,0.241,0.241
1755016014,10,0.2,3214.2,2807.0425445670617,0.8733254136541166,safe,0.29,False,False,0.241,0.241,0.241
1755016015,10,0.2,5845.417250597261,5665.802072011013,0.9692724794679292,safe,0.29,False,False,0.241,0.241,0.241
1755016016,10,0.2,7355.516357697325,7282.860050116184,0.9901222016174148,safe,0.29,False,False,0.241,0.241,0.241
1755016017,10,0.2,0.0,911.1364717977222,,,0.29,False,False,0.241,0.241,0.241
1755016018,10,0.2,1131.449559393679,1071.669888500488,0.9471654123713428,safe,0.29,False,False,0.241,0.241,0.241
1755016019,10,0.2,0.0,1914.25896340856,,,0.29,False,False,0.241,0.241,0.241
1755016020,10,0.2,3632.2,3136.2611138281845,0.8634604685392281,safe,0.29,False,False,0.241,0.241,0.241
1755016021,10,0.2,7656.313089165029,7426.064868131343,0.969927010775,safe,0.29,False,False,0.241,0.241,0.241
1755016022,10,0.2,0.0,4385.903006884575,,,0.29,False,False,0.241,0.241,0.241
1755016023,10,0.2,3346.2000000000003,3039.93953534156,0.9084751465368356,safe,0.29,False,False,0.241,0.241,0.241
1755016024,10,0.2,4629.49053572303,4356.24655468142,0.9409775268070756,safe,0.29,False,False,0.241,0.241,0.241
1755016025,10,0.2,0.0,4716.380661664996,,,0.29,False,False,0.241,0.241,0.241
1755016026,10,0.2,3921.724925943734,3856.561468571088,0.9833839806199652,safe,0.29,True,True,0.241,0.241,0.241
1755016027,10,0.2,4619.316956731349,4483.292896171566,0.97055320909262,safe,0.29,False,False,0.241,0.241,0.241
1755016028,10,0.2,5414.395681780079,5347.569583551336,0.9876576995557198,safe,0.29,,False,0.241,0.241,0.241
1755016029,10,0.2,5573.925380182913,5503.92172244804,0.9874408692330618,safe,0.29,True,False,0.241,0.241,0.241
1755016030,10,0.2,5803.213095335839,5710.05015399343,0.983946317356968,safe,0.29,True,False,0.241,0.241,0.241
1755016031,10,0.2,4679.832707416372,4466.728088033342,0.9544631971469169,safe,0.29,False,False,0.241,0.241,0.241
1755016032,10,0.2,396.3657179070724,335.66825914257856,0.846865013742878,safe,0.29,False,False,0.241,0.241,0.241
1755016033,10,0.2,1049.765647636441,973.932750415428,0.9277620701422729,safe,0.29,False,True,0.241,0.241,0.241
1755016034,10,0.2,3232.0314728775984,2986.000331500736,0.923877244562284,safe,0.29,False,False,0.241,0.241,0.241
1755016035,10,0.2,6030.778726647002,5945.337503482413,0.9858324725483516,safe,0.29,False,False,0.241,0.241,0.241
1755016036,10,0.2,6726.157511816314,6528.613933336834,0.9706305452805052,safe,0.29,False,False,0.241,0.241,0.241
1755016037,10,0.2,3103.33222870314,2919.8152204008243,0.9408645305182146,safe,0.29,False,False,0.241,0.241,0.241
1755016038,10,0.2,787.8490821700273,746.1778420234805,0.9471075855901632,safe,0.29,False,True,0.241,0.241,0.241
1755016039,10,0.2,5600.194168116742,5389.2712795421285,0.9623365043706076,safe,0.29,,False,0.241,0.241,0.241
1755016040,10,0.2,4509.910471209025,4374.251202267619,0.969919742352438,safe,0.29,False,False,0.241,0.241,0.241
1755016041,10,0.2,6587.149559610361,6232.961034866238,0.9462303806010632,safe,0.29,False,False,0.241,0.241,0.241
1755016042,10,0.2,239.52934912663105,216.400443020212,0.9034401997469146,safe,0.29,False,False,0.241,0.241,0.241
1755016043,10,0.2,3220.6,2960.4875860138527,0.9192347966260488,safe,0.29,False,True,0.241,0.241,0.241
1755016044,10,0.2,431.52479070085496,419.4279571862935,0.9719672339220312,safe,0.29,False,False,0.241,0.241,0.241
1755016045,10,0.2,3282.4,2987.37411374785,0.910118850154719,safe,0.29,False,False,0.241,0.241,0.241
1755016046,10,0.2,4221.6,3881.201267957259,0.9193673649699778,safe,0.29,False,True,0.241,0.241,0.241
1755016047,10,0.2,2470.6313914778466,2366.729252453261,0.9579451069135672,safe,0.29,False,False,0.241,0.241,0.241
1755016048,10,0.2,0.0,1324.8760242576827,,,0.29,False,False,0.241,0.241,0.241
1755016049,10,0.2,3181.2,2879.0530097102383,0.9050210642871364,safe,0.29,False,False,0.241,0.241,0.241
1755016050,10,0.2,2626.8,2482.068587433958,0.9449020052664678,safe,0.29,False,False,0.241,0.241,0.241
1755016051,10,0.2,245.129593108518,229.15278593474068,0.93482301760806,safe,0.29,False,False,0.241,0.241,0.241
1755016052,10,0.2,0.0,1224.8498333308817,,,0.29,False,False,0.241,0.241,0.241
1755016053,10,0.2,0.0,6280.839374341536,,,0.29,False,False,0.241,0.241,0.241
1755016054,10,0.2,0.0,1076.9350454811797,,,0.29,False,False,0.241,0.241,0.241
1755016055,10,0.2,0.0,2546.73553957638,,,0.29,False,False,0.241,0.241,0.241
1755016056,10,0.2,4246.455651234066,4193.972487546504,0.987640713103336,safe,0.29,False,False,0.241,0.241,0.241
1755016057,10,0.2,5780.467890607925,5729.79308654389,0.9912334425131276,safe,0.29,False,False,0.241,0.241,0.241
1755016058,10,0.2,0.0,810.1034025445099,,,0.29,False,False,0.241,0.241,0.241
1755016059,10,0.2,3075.6000000000004,2844.916676026194,0.9249956678456868,safe,0.29,False,True,0.241,0.241,0.241
1755016060,10,0.2,0.0,500.9399793850384,,,0.29,False,False,0.241,0.241,0.241
1755016061,10,0.2,5659.743434926053,5102.784018804356,0.9015928155533124,safe,0.29,False,False,0.241,0.241,0.241
1755016062,10,0.2,4231.732780830651,4133.747028937913,0.9768450048791822,safe,0.29,False,False,0.241,0.241,0.241
1755016063,10,0.2,3047.0,2801.784943220203,0.9195224624943232,safe,0.29,False,False,0.241,0.241,0.241
1755016064,10,0.2,2932.6,2704.2988368941005,0.922150595681,safe,0.29,False,False,0.241,0.241,0.241
1755016065,10,0.2,0.0,4286.588602436621,,,0.29,False,False,0.241,0.241,0.241
1755016066,10,0.2,3117.4,2785.1383612736863,0.8934170659118774,safe,0.29,False,False,0.241,0.241,0.241
1755016067,10,0.2,980.6,860.3384561376079,0.8773592251046378,safe,0.29,False,True,0.241,0.241,0.241
1755016068,10,0.2,0.0,630.160121885531,,,0.29,False,False,0.241,0.241,0.241
1755016069,10,0.2,4478.7417885591885,4368.985913714001,0.975494038275313,safe,0.29,False,False,0.241,0.241,0.241
1755016070,10,0.2,0.0,643.5897499717744,,,0.29,False,False,0.241,0.241,0.241
1755016071,10,0.2,537.6823940310339,521.4602191751183,0.9698294475772264,safe,0.29,False,False,0.241,0.241,0.241
1755016072,10,0.2,3412.2,3074.5113670057567,0.9010349238045124,safe,0.29,False,False,0.241,0.241,0.241
1755016073,10,0.2,3407.4108673180053,3031.2402111858737,0.8896022021470461,safe,0.29,False,False,0.241,0.241,0.241
1755016074,10,0.2,0.0,1124.460784541524,,,0.29,False,False,0.241,0.241,0.241
1755016075,10,0.2,1139.920621585885,1072.727451725963,0.941054518544948,safe,0.29,False,False,0.241,0.241,0.241
1755016076,10,0.2,4439.556509825727,4177.4578564777785,0.9409628748349378,safe,0.29,False,False,0.241,0.241,0.241
1755016077,10,0.2,1621.8911407456662,1552.9136845675753,0.9574709704953572,safe,0.29,False,True,0.241,0.241,0.241
1755016078,10,0.2,3500.2000000000003,3157.711410197211,0.9021517085301444,safe,0.29,False,False,0.241,0.241,0.241
1755016079,10,0.2,3348.4,3022.3787201041846,0.9026337116545766,safe,0.29,False,False,0.241,0.241,0.241
1755016080,10,0.2,0.0,5245.256782635872,,,0.29,False,False,0.241,0.241,0.241
1755016081,10,0.2,0.0,1309.9266750858517,,,0.29,False,False,0.241,0.241,0.241
1755016082,10,0.2,0.0,341.6838781765691,,,0.29,False,False,0.241,0.241,0.241
1755016083,10,0.2,0.0,2592.404455367888,,,0.29,False,False,0.241,0.241,0.241
1755016084,10,0.2,0.0,1218.888123813078,,,0.29,False,False,0.241,0.241,0.241
1755016085,10,0.2,3069.0000000000005,2692.1214564749093,0.877198258870938,safe,0.29,False,False,0.241,0.241,0.241
1755016086,10,0.2,3300.633420538945,3069.042007136415,0.9298342518253012,safe,0.29,False,False,0.241,0.241,0.241
1755016087,10,0.2,4670.949848087232,4345.087912525145,0.9302364730600718,safe,0.29,False,False,0.241,0.241,0.241
1755016088,10,0.2,0.0,745.2175805657955,,,0.29,False,False,0.241,0.241,0.241
1755016089,10,0.2,3291.2,2991.929763705004,0.9090695684567952,safe,0.29,False,False,0.241,0.241,0.241
1755016090,10,0.2,0.0,2746.7168986923352,,,0.29,False,False,0.241,0.241,0.241
1755016091,10,0.2,3121.8,2881.083423381293,0.9228917366203128,safe,0.29,False,False,0.241,0.241,0.241
1755016092,10,0.2,3216.4,2818.717204278604,0.876357792649734,safe,0.29,False,False,0.241,0.241,0.241
