seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,adjust,inserted,finalpercent_x,finalpercent_y,finalpercent
1755016010,5,0.0,480.0,459.7778110588101,0.9578704397058544,safe,0.04,False,False,0.014,0.014,0.014
1755016011,5,0.0,423.52454815193215,412.3995998862272,0.973732459395213,safe,0.04,False,False,0.014,0.014,0.014
1755016012,5,0.0,3497.271087905493,3495.707171746581,0.999552818148893,safe,0.04,False,False,0.014,0.014,0.014
1755016013,5,0.0,624.0,404.3497012816388,0.6479963161564725,safe,0.04,False,False,0.014,0.014,0.014
1755016014,5,0.0,838.7301958032665,763.4125955499491,0.9102004427285648,safe,0.04,False,False,0.014,0.014,0.014
1755016015,5,0.0,451.3936007612768,235.22305029465923,0.5211040872045035,safe,0.04,False,False,0.014,0.014,0.014
1755016016,5,0.0,2422.0,1640.9905213640238,0.6775353102246175,safe,0.04,False,False,0.014,0.014,0.014
1755016017,5,0.0,2403.464921830867,1467.2779858394274,0.6104844603771923,safe,0.04,False,False,0.014,0.014,0.014
1755016018,5,0.0,597.1886558462502,597.1886558462502,1.0,safe,0.04,,False,0.014,0.014,0.014
1755016019,5,0.0,664.0,566.2356733329633,0.8527645682725351,safe,0.04,False,False,0.014,0.014,0.014
1755016020,5,0.0,434.0,427.76586484445454,0.9856356332821532,safe,0.04,False,False,0.014,0.014,0.014
1755016021,5,0.0,76.0,70.09101725697548,0.9222502270654668,safe,0.04,False,False,0.014,0.014,0.014
1755016022,5,0.0,384.23337963983664,270.48739121539234,0.7039664057009707,safe,0.04,False,False,0.014,0.014,0.014
1755016023,5,0.0,2810.0,2701.531773177452,0.9613992075364598,safe,0.04,False,False,0.014,0.014,0.014
1755016024,5,0.0,2524.0,2330.604043250672,0.9233771962165896,safe,0.04,False,False,0.014,0.014,0.014
1755016025,5,0.0,569.0566972614246,504.4275442148815,0.8864275680128716,safe,0.04,False,False,0.014,0.014,0.014
1755016026,5,0.0,0.0,38.24553423538843,,,0.04,False,False,0.014,0.014,0.014
1755016027,5,0.0,396.70898146662927,300.135986275242,0.7565646362873917,safe,0.04,False,False,0.014,0.014,0.014
1755016028,5,0.0,2074.0,1897.1684928989343,0.9147389068943752,safe,0.04,False,False,0.014,0.014,0.014
1755016029,5,0.0,2440.0,2357.834640608041,0.9663256723803446,safe,0.04,False,False,0.014,0.014,0.014
1755016030,5,0.0,156.0,123.7314690548578,0.7931504426593449,safe,0.04,False,False,0.014,0.014,0.014
1755016031,5,0.0,2170.0,1766.487288900105,0.8140494418894495,safe,0.04,False,False,0.014,0.014,0.014
1755016032,5,0.0,136.0,128.7532624226552,0.9467151648724648,safe,0.04,False,False,0.014,0.014,0.014
1755016033,5,0.0,2072.0,1840.001934864817,0.8880318218459542,safe,0.04,False,False,0.014,0.014,0.014
1755016034,5,0.0,712.0,495.236468500882,0.6955568377821376,safe,0.04,False,False,0.014,0.014,0.014
1755016035,5,0.0,532.6060735141208,510.45265633667947,0.9584056241956204,safe,0.04,False,False,0.014,0.014,0.014
1755016036,5,0.0,3492.64668269704,2797.547329499643,0.8009820584942083,safe,0.04,,False,0.014,0.014,0.014
1755016037,5,0.0,2464.0,2366.961579788605,0.960617524264856,safe,0.04,False,False,0.014,0.014,0.014
1755016038,5,0.0,2162.0,1303.162211278121,0.6027577295458469,safe,0.04,False,False,0.014,0.014,0.014
1755016039,5,0.0,124.0,114.79015231546066,0.925727034802102,safe,0.04,False,False,0.014,0.014,0.014
1755016040,5,0.0,2499.161347228649,1968.7620005647195,0.7877690661100789,safe,0.04,False,False,0.014,0.014,0.014
1755016041,5,0.0,236.0,225.89890379386475,0.9571987448892574,safe,0.04,False,False,0.014,0.014,0.014
1755016042,5,0.0,218.0,212.25894561692613,0.9736648881510372,safe,0.04,False,False,0.014,0.014,0.014
1755016043,5,0.0,3444.733512262271,3416.5221866370507,0.9918103024443558,safe,0.04,,False,0.014,0.014,0.014
1755016044,5,0.0,3385.2409964279104,3382.590731754237,0.9992171119644156,safe,0.04,False,False,0.014,0.014,0.014
1755016045,5,0.0,3409.548185340735,3405.846713644112,0.9989143805878627,safe,0.04,False,False,0.014,0.014,0.014
1755016046,5,0.0,546.0,507.1794434934277,0.9289000796582924,safe,0.04,False,False,0.014,0.014,0.014
1755016047,5,0.0,234.48846838273164,185.12521391300308,0.7894853644181856,safe,0.04,False,False,0.014,0.014,0.014
1755016048,5,0.0,2034.0,2028.356457741972,0.9972253971199468,safe,0.04,False,False,0.014,0.014,0.014
1755016049,5,0.0,2514.0,1965.5218683293965,0.7818304965510726,safe,0.04,False,False,0.014,0.014,0.014
1755016050,5,0.0,217.23656616748104,130.59792281117473,0.6011783610614096,safe,0.04,False,False,0.014,0.014,0.014
1755016051,5,0.0,570.0,518.1589955979405,0.909050869470071,safe,0.04,False,False,0.014,0.014,0.014
1755016052,5,0.0,2058.0,1176.202768596372,0.5715270984433294,safe,0.04,False,False,0.014,0.014,0.014
1755016053,5,0.0,126.0,121.43600748843104,0.9637778372097702,safe,0.04,False,False,0.014,0.014,0.014
1755016054,5,0.0,203.15307789166167,187.21156007714467,0.9215295284720302,safe,0.04,,False,0.014,0.014,0.014
1755016055,5,0.0,244.0,155.0361269514356,0.6353939629157196,safe,0.04,False,False,0.014,0.014,0.014
1755016056,5,0.0,416.27249574522887,381.02881954737126,0.915335083249344,safe,0.04,,False,0.014,0.014,0.014
1755016057,5,0.0,3975.983827783903,3789.350887416744,0.953059934735403,safe,0.04,False,False,0.014,0.014,0.014
1755016058,5,0.0,548.0,420.6203915283059,0.7675554589932589,safe,0.04,False,False,0.014,0.014,0.014
1755016059,5,0.0,118.0,80.12807477126536,0.6790514811124183,safe,0.04,False,False,0.014,0.014,0.014
1755016060,5,0.0,2062.0,2044.6580096610653,0.9915897234049784,safe,0.04,False,False,0.014,0.014,0.014
1755016061,5,0.0,0.0,96.70377236126464,,,0.04,False,False,0.014,0.014,0.014
1755016062,5,0.0,1004.0,851.3923547356922,0.8480003533224025,safe,0.04,False,True,0.014,0.014,0.014
1755016063,5,0.0,2511.809435508338,2001.5133355844985,0.7968412361582812,safe,0.04,False,False,0.014,0.014,0.014
1755016064,5,0.0,822.0,683.37678539635,0.8313586197035888,safe,0.04,False,False,0.014,0.014,0.014
1755016065,5,0.0,149.6496930304367,89.86518328804195,0.6005036259564167,safe,0.04,False,False,0.014,0.014,0.014
1755016066,5,0.0,908.3146505301846,890.7424174126515,0.9806540243435728,safe,0.04,,False,0.014,0.014,0.014
1755016067,5,0.0,2806.0,1986.249853748399,0.707858108962366,safe,0.04,False,False,0.014,0.014,0.014
