seeds,num_tasks,final_e2e_max,letG2023,R,exceed,false_percentage,run_time_our,run_time_G,finalpercent
1755016010,3,2210,2105,0.9524886877828054,safe,0.0,7.636800000909716e-05,0.0018596000008983,0.0
1755016011,3,320,260,0.8125,safe,0.0,4.879399966739584e-05,0.0001780519996827,0.0
1755016012,3,70,65,0.9285714285714286,safe,0.0,3.122199996141717e-05,7.677999929001089e-05,0.0
1755016013,3,2030,2020,0.9950738916256158,safe,0.0,3.658500099845696e-05,0.0042940250004903,0.0
1755016014,3,64,52,0.8125,safe,0.0,3.149900112475734e-05,9.597400094207842e-05,0.0
1755016015,3,106,104,0.981132075471698,safe,0.0,3.4234999475302175e-05,0.0003342609998071,0.0
1755016016,3,510,455,0.8921568627450981,safe,0.0,3.3894999432959594e-05,0.0003751010008272,0.0
1755016017,3,400,350,0.875,safe,0.0,3.344200013088994e-05,9.94929996522842e-05,0.0
1755016018,3,2030,2015,0.9926108374384236,safe,0.0,3.731200013135094e-05,0.006245016998946,0.0
1755016019,3,242,221,0.9132231404958676,safe,0.0,3.341599949635565e-05,0.0008124249998218,0.0
1755016020,3,2110,2055,0.9739336492890996,safe,0.0,3.895400004694238e-05,0.0025598349984647,0.0
1755016021,3,400,305,0.7625,safe,0.0,3.114799983450212e-05,0.0001785710010153,0.0
1755016022,3,32,26,0.8125,safe,0.0,2.9692000680370256e-05,0.0001261329998669,0.0
1755016023,3,214,208,0.97196261682243,safe,0.0,2.5912000637617894e-05,0.0002902120013459,0.0
1755016024,3,2080,2040,0.9807692307692308,safe,0.0,3.55079992004903e-05,0.0008023059999686,0.0
1755016025,3,604,502,0.8311258278145696,safe,0.0,4.0159999116440304e-05,0.0004391780003061,0.0
1755016026,3,106,104,0.981132075471698,safe,0.0,3.1798999771126546e-05,0.0003796210003201,0.0
1755016027,3,62,61,0.9838709677419356,safe,0.0,3.197700061718933e-05,0.0002164509987778,0.0
1755016028,3,242,221,0.9132231404958676,safe,0.0,3.346799894643482e-05,0.0007247620014823,0.0
1755016029,3,540,480,0.8888888888888888,safe,0.0,2.521399983379524e-05,8.337399958691094e-05,0.0
1755016030,3,250,225,0.9,safe,0.0,3.097900116699748e-05,0.0001874390000011,0.0
1755016031,3,2500,2250,0.9,safe,0.0,4.046100002597086e-05,0.0002767120004136,0.0
1755016032,3,2220,2110,0.9504504504504504,safe,0.0,3.198400008841418e-05,0.0007848720015317,0.0
1755016033,3,26,23,0.8846153846153846,safe,0.0,3.354799991939217e-05,0.000136308999572,0.0
1755016034,3,430,415,0.9651162790697676,safe,0.0,3.2124999052030034e-05,0.0004283789985493,0.0
1755016035,3,510,455,0.8921568627450981,safe,0.0,2.7996999051538296e-05,0.0002932959996542,0.0
1755016036,3,408,404,0.9901960784313726,safe,0.0,2.669099922059104e-05,0.0021449200012284,0.0
1755016037,3,302,251,0.8311258278145696,safe,0.0,3.407500116736628e-05,0.0005338979990483,0.0
1755016038,3,444,422,0.9504504504504504,safe,0.0,2.4865999876055863e-05,0.0006720359997416,0.0
1755016039,3,430,415,0.9651162790697676,safe,0.0,2.795200089167338e-05,0.0003660729998955,0.0
1755016040,3,2060,2030,0.9854368932038836,safe,0.0,3.16460009344155e-05,0.0014305770000646,0.0
1755016041,3,2044,2022,0.9892367906066536,safe,0.0,3.349700091348495e-05,0.0071006960006343,0.0
1755016042,3,310,305,0.9838709677419356,safe,0.0,2.822999886120669e-05,0.0001813499984564,0.0
1755016043,3,510,455,0.8921568627450981,safe,0.0,3.058499896724243e-05,0.0003121059999102,0.0
1755016044,3,4000,3010,0.7525,safe,0.0,3.4184999094577506e-05,0.0008532930005458,0.0
1755016045,3,302,301,0.9966887417218544,safe,0.0,3.258600008848589e-05,0.0007576320003863,0.0
1755016046,3,2220,2110,0.9504504504504504,safe,0.0,3.496200042718556e-05,0.00105558299947,0.0
1755016047,3,540,480,0.8888888888888888,safe,0.0,2.9958000595797785e-05,0.000142066999615,0.0
1755016048,3,170,160,0.9411764705882352,safe,0.0,2.866500108211767e-05,0.0001024040011543,0.0
1755016049,3,106,103,0.9716981132075472,safe,0.0,3.434999962337315e-05,0.0006061249987396,0.0
1755016050,3,40,30,0.75,safe,0.0,3.3267000617343e-05,7.703499977651518e-05,0.0
1755016051,3,800,600,0.75,safe,0.0,2.7738000426325016e-05,7.907399958639871e-05,0.0
1755016052,3,2006,2003,0.9985044865403788,safe,0.0,2.204100019298494e-05,0.1229662229998211,0.0
1755016053,3,2012,2006,0.9970178926441352,safe,0.0,3.417200059629977e-05,0.0527876519990968,0.0
1755016054,3,214,208,0.97196261682243,safe,0.0,3.0648998290416785e-05,0.0005299629992805,0.0
1755016055,3,2402,2201,0.9163197335553706,safe,0.0,3.651400038506836e-05,0.0091619539998646,0.0
1755016056,3,414,408,0.9855072463768116,safe,0.0,3.687900061777327e-05,0.0015238579999277,0.0
1755016057,3,2600,2300,0.8846153846153846,safe,0.0,7.70840015320573e-05,0.0003086949982389,0.0
1755016058,3,64,62,0.96875,safe,0.0,3.6294999517849647e-05,0.0001200460010295,0.0
1755016059,3,2404,2202,0.9159733777038268,safe,0.0,3.456800004641991e-05,0.0043869919991266,0.0
1755016060,3,310,255,0.8225806451612904,safe,0.0,1.8572000044514425e-05,0.0001021610005409,0.0
1755016061,3,34,28,0.8235294117647058,safe,0.0,3.402800030016806e-05,9.5457000497845e-05,0.0
1755016062,3,414,408,0.9855072463768116,safe,0.0,3.00880001304904e-05,0.0014915439987817,0.0
1755016063,3,52,46,0.8846153846153846,safe,0.0,3.077900146308821e-05,0.0001952680013346,0.0
1755016064,3,114,108,0.9473684210526316,safe,0.0,3.1474999559577554e-05,0.0002783090003504,0.0
1755016065,3,2202,2101,0.9541326067211626,safe,0.0,3.011300032085273e-05,0.0109255150000535,0.0
1755016066,3,17,16,0.9411764705882352,safe,0.0,2.8160000510979444e-05,7.524099964939523e-05,0.0
1755016067,3,2102,2051,0.9757373929590866,safe,0.0,3.666500015242491e-05,0.0118813980006962,0.0
1755016068,3,2104,2052,0.9752851711026616,safe,0.0,3.475300036370754e-05,0.0043485570004122,0.0
1755016069,3,2300,2150,0.9347826086956522,safe,0.0,3.07079990307102e-05,0.0002461299991409,0.0
1755016070,3,414,408,0.9855072463768116,safe,0.0,3.780800034292042e-05,0.0021756669993919,0.0
1755016071,3,2500,2250,0.9,safe,0.0,4.008799987786915e-05,0.0002512880000722,0.0
1755016072,3,106,103,0.9716981132075472,safe,0.0,3.4107999454136007e-05,0.0006645160010521,0.0
1755016073,3,34,28,0.8235294117647058,safe,0.0,3.42820003425004e-05,0.0001141530010499,0.0
1755016074,3,450,425,0.9444444444444444,safe,0.0,2.912800118792802e-05,0.0003199559996573,0.0
1755016075,3,800,700,0.875,safe,0.0,3.310799911560025e-05,7.39050010452047e-05,0.0
1755016076,3,442,421,0.9524886877828054,safe,0.0,2.7875999876414426e-05,0.0013445040003716,0.0
1755016077,3,800,800,1.0,safe,0.0,2.946899985545315e-05,0.0001152300010289,0.0
1755016078,3,450,425,0.9444444444444444,safe,0.0,2.8810000003431924e-05,0.0007913669996924,0.0
1755016079,3,124,112,0.9032258064516128,safe,0.0,2.8942999051650983e-05,0.0002137430001312,0.0
1755016080,3,2004,2002,0.999001996007984,safe,0.0,2.987800144182984e-05,0.2049067769985413,0.0
1755016081,3,2024,2012,0.9940711462450592,safe,0.0,3.610099884099327e-05,0.0116086140005791,0.0
1755016082,3,214,208,0.97196261682243,safe,0.0,3.231899972888641e-05,0.0004766059992107,0.0
1755016083,3,154,152,0.987012987012987,safe,0.0,2.9438999263220467e-05,0.000180407998414,0.0
1755016084,3,224,212,0.9464285714285714,safe,0.0,2.3645001419936307e-05,0.0003533349990902,0.0
1755016085,3,406,403,0.9926108374384236,safe,0.0,2.3068998416420072e-05,0.0039628690010431,0.0
1755016086,3,2006,2003,0.9985044865403788,safe,0.0,3.319300049042795e-05,0.1026391420000436,0.0
1755016087,3,240,220,0.9166666666666666,safe,0.0,4.438100040715653e-05,9.441399924980942e-05,0.0
1755016088,3,2440,2220,0.9098360655737704,safe,0.0,2.9736000215052627e-05,0.0003941420000046,0.0
1755016089,3,2420,2210,0.9132231404958676,safe,0.0,3.814499905274715e-05,0.0008918269995774,0.0
1755016090,3,400,302,0.755,safe,0.0,3.021600059582852e-05,0.0004083860003447,0.0
1755016091,3,2440,2220,0.9098360655737704,safe,0.0,3.681599991978146e-05,0.0004963179999322,0.0
1755016092,3,414,408,0.9855072463768116,safe,0.0,3.3644999348325655e-05,0.0013711560004594,0.0
1755016093,3,2440,2220,0.9098360655737704,safe,0.0,3.316100082884077e-05,0.0004878189993178,0.0
1755016094,3,2024,2012,0.9940711462450592,safe,0.0,5.045199941378087e-05,0.0256004759994539,0.0
1755016095,3,4000,3050,0.7625,safe,0.0,3.354700129420962e-05,0.0002214520009147,0.0
1755016096,3,2420,2210,0.9132231404958676,safe,0.0,3.717400068126153e-05,0.0008164990013028,0.0
1755016097,3,2044,2022,0.9892367906066536,safe,0.0,8.45119993755361e-05,0.0094448600011673,0.0
1755016098,3,3020,3010,0.9966887417218544,safe,0.0,3.317499977129046e-05,0.0007000709993008,0.0
1755016099,3,510,455,0.8921568627450981,safe,0.0,3.297500006738119e-05,0.0003165939997415,0.0
1755016100,3,2220,2110,0.9504504504504504,safe,0.0,6.88599993736716e-05,0.0009324870006821,0.0
1755016101,3,70,65,0.9285714285714286,safe,0.0,3.539399949659128e-05,8.361700020032004e-05,0.0
1755016102,3,2120,2060,0.9716981132075472,safe,0.0,3.3525000617373735e-05,0.0012729709997074,0.0
1755016103,3,2040,2020,0.9901960784313726,safe,0.0,3.445699985604733e-05,0.003156606999255,0.0
1755016104,3,502,451,0.898406374501992,safe,0.0,3.470900082902517e-05,0.0016831249995448,0.0
1755016105,3,406,403,0.9926108374384236,safe,0.0,3.435600046941545e-05,0.0041094680000242,0.0
1755016106,3,4000,3002,0.7505,safe,0.0,3.527999979269225e-05,0.0029764020000584,0.0
1755016107,3,414,408,0.9855072463768116,safe,0.0,2.841400055331178e-05,0.0011469529999885,0.0
