seeds,num_tasks,final_e2e_max,letG2023,R,exceed,false_percentage,run_time_our,run_time_G,finalpercent
1755016037,10,782,591,0.7557544757033248,safe,0.162,6.407100227079354e-05,0.0060935930014238,0.1698
1755016038,10,800,671,0.83875,safe,0.162,7.342200115090236e-05,0.0126514789990324,0.1698
1755016039,10,2240,2145,0.9575892857142856,safe,0.162,6.740699973306619e-05,0.5576389279995055,0.1698
1755016040,10,4444,3227,0.7261476147614762,safe,0.162,8.902500121621415e-05,0.3313224189987522,0.1698
1755016041,10,4350,3705,0.8517241379310345,safe,0.162,4.833499770029448e-05,0.0110034360004647,0.1698
1755016042,10,3466,2733,0.7885170225043278,safe,0.162,6.850399950053543e-05,0.1940712710020307,0.1698
1755016043,10,4062,3132,0.7710487444608567,safe,0.162,7.593600093969144e-05,0.648141226000007,0.1698
1755016044,10,0,419,,,0.162,5.2886000048602e-05,0.002491753999493,0.1698
1755016045,10,4200,3299,0.7854761904761904,safe,0.162,6.3979001424741e-05,0.1502400879980996,0.1698
1755016046,10,820,641,0.7817073170731708,safe,0.162,5.637399954139255e-05,0.0180031639974913,0.1698
1755016047,10,2362,2192,0.9280270956816258,safe,0.162,7.001800258876756e-05,0.6243470720000914,0.1698
1755016048,10,2212,2116,0.9566003616636528,safe,0.162,6.446599945775233e-05,0.4534013840020634,0.1698
1755016049,10,2864,2433,0.8495111731843575,safe,0.162,7.768399882479571e-05,0.3940960109976004,0.1698
1755016050,10,916,759,0.8286026200873362,safe,0.162,7.252599971252494e-05,0.0087558259983779,0.1698
1755016051,10,3282,2641,0.8046922608165753,safe,0.162,5.807799971080385e-05,0.0679541770005016,0.1698
1755016052,10,4400,3420,0.7772727272727272,safe,0.162,8.377099948120303e-05,0.0157229439973889,0.1698
1755016053,10,2896,2449,0.8456491712707183,safe,0.162,5.146100011188537e-05,0.0879268049975507,0.1698
1755016054,10,4862,3433,0.7060880296174414,safe,0.162,7.512999945902266e-05,0.1405931879999116,0.1698
1755016055,10,2674,2337,0.8739715781600599,safe,0.162,8.409699876210652e-05,0.2735583739995491,0.1698
1755016056,10,4452,3846,0.8638814016172507,safe,0.162,8.930600233725272e-05,0.0718196620000526,0.1698
1755016057,10,4840,3491,0.7212809917355372,safe,0.162,7.952899977681227e-05,0.0551194769977883,0.1698
1755016058,10,4070,3252,0.799017199017199,safe,0.162,6.757599840057082e-05,0.267392302997905,0.1698
1755016059,10,3048,2584,0.847769028871391,safe,0.162,6.618500265176408e-05,0.0697862380002334,0.1698
1755016060,10,2796,2519,0.9009298998569384,safe,0.162,6.991299960645847e-05,0.1307048999988183,0.1698
1755016061,10,0,1127,,,0.162,2.9651000659214333e-05,0.0071623939984419,0.1698
1755016062,10,2504,2252,0.8993610223642172,safe,0.162,4.271399666322395e-05,0.0608131260014488,0.1698
1755016063,10,4324,3292,0.7613320999074931,safe,0.162,4.511299994192086e-05,0.0189626809988112,0.1698
1755016064,10,710,555,0.7816901408450704,safe,0.162,7.406299846479669e-05,0.0110368589994322,0.1698
1755016065,10,709,555,0.7827926657263752,safe,0.162,7.252200157381594e-05,0.0203627179980685,0.1698
1755016066,10,2954,2578,0.8727149627623562,safe,0.162,7.293100134120323e-05,0.0508897760009858,0.1698
