seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,finalpercent
1755016037,10,0.2,655.6,580.4614149251179,0.8853895895746154,safe,0.6,0.69
1755016038,10,0.2,0.0,1078.8834892751038,,,0.6,0.69
1755016039,10,0.2,0.0,3367.1129397773184,,,0.6,0.69
1755016040,10,0.2,0.0,857.7991506708104,,,0.6,0.69
1755016041,10,0.2,0.0,3723.896475913266,,,0.6,0.69
1755016042,10,0.2,4787.8,4716.346186587965,0.9850758566748749,safe,0.6,0.69
1755016043,10,0.2,0.0,3228.0016484473344,,,0.6,0.69
1755016044,10,0.2,4587.799999999999,4389.903940497574,0.956864715222454,safe,0.6,0.69
1755016045,10,0.2,2690.5999999999995,2503.3618293934232,0.9304102539929472,safe,0.6,0.69
1755016046,10,0.2,0.0,1069.3374582017714,,,0.6,0.69
1755016047,10,0.2,0.0,4915.875336035155,,,0.7,0.69
1755016048,10,0.2,1162.2,1125.4766281156444,0.9684018483184,safe,0.7,0.69
1755016049,10,0.2,0.0,6154.15362325438,,,0.7,0.69
1755016050,10,0.2,3978.2,3876.9383694010553,0.9745458673271972,safe,0.7,0.69
1755016051,10,0.2,0.0,624.9904212638596,,,0.7,0.69
1755016052,10,0.2,0.0,4644.602724933531,,,0.7,0.69
1755016053,10,0.2,0.0,6046.546412119962,,,0.7,0.69
1755016054,10,0.2,3377.0,3023.6854063936007,0.8953761937795679,safe,0.7,0.69
1755016055,10,0.2,0.0,319.95904435209604,,,0.7,0.69
1755016056,10,0.2,0.0,1350.765843452749,,,0.7,0.69
1755016057,10,0.2,0.0,4208.6367071600525,,,0.7,0.69
1755016058,10,0.2,3302.2000000000003,2910.800325151672,0.8814730558874907,safe,0.7,0.69
1755016059,10,0.2,0.0,989.7247739841714,,,0.7,0.69
1755016060,10,0.2,0.0,1107.831435038286,,,0.7,0.69
1755016061,10,0.2,0.0,6605.738832668489,,,0.7,0.69
1755016062,10,0.2,0.0,891.5993888723812,,,0.7,0.69
1755016063,10,0.2,0.0,7187.566945668026,,,0.7,0.69
1755016064,10,0.2,3324.2000000000003,2864.5098671761407,0.8617140566681127,safe,0.7,0.69
1755016065,10,0.2,0.0,4839.572433154797,,,0.7,0.69
1755016066,10,0.2,2615.8,2482.3930890085667,0.948999575276614,safe,0.7,0.69
1755016067,10,0.2,0.0,2272.670972697715,,,0.8,0.69
1755016068,10,0.2,389.4,317.266544394286,0.8147574329591318,safe,0.8,0.69
1755016069,10,0.2,0.0,6511.20423755732,,,0.8,0.69
1755016070,10,0.2,0.0,3484.2651170176377,,,0.8,0.69
1755016071,10,0.2,0.0,1196.9501231066024,,,0.8,0.69
1755016072,10,0.2,0.0,4435.304531302965,,,0.8,0.69
1755016073,10,0.2,0.0,2389.852763331864,,,0.8,0.69
1755016074,10,0.2,3000.800000000001,2842.5164561582715,0.947252884616859,safe,0.8,0.69
1755016075,10,0.2,0.0,1111.5119511869652,,,0.8,0.69
1755016076,10,0.2,0.0,268.29526712332745,,,0.8,0.69
1755016077,10,0.2,2600.4,2417.037016693469,0.9294866238630476,safe,0.8,0.69
1755016078,10,0.2,0.0,7991.075126578527,,,0.8,0.69
1755016079,10,0.2,0.0,3021.764890610674,,,0.8,0.69
1755016080,10,0.2,2904.0,2636.2971734660205,0.9078158310833404,safe,0.8,0.69
1755016081,10,0.2,0.0,707.2552959648283,,,0.8,0.69
