seeds,num_tasks,final_e2e_max,let,R,exceed,false_percentage,adjusted,inserted,run_time_G,run_time_our,finalpercent
1755016037,8,1184.0,812,0.6858108108108109,safe,0.029,False,False,0.0008513889988535,3.313100023660809e-05,0.0421
1755016038,8,2656.0,2329,0.8768825301204819,safe,0.029,False,False,0.0972803719996591,7.288699998753145e-05,0.0421
1755016039,8,664.0,533,0.802710843373494,safe,0.029,False,False,0.0094496159981645,5.225499990046956e-05,0.0421
1755016040,8,1060.0,830,0.7830188679245284,safe,0.029,False,False,0.0001628409991099,0.0002557230000093,0.0421
1755016041,8,1200.0,920,0.7666666666666667,safe,0.029,,False,0.0001901459982036,3.1791001674719155e-05,0.0421
1755016042,8,736.0,569,0.7730978260869565,safe,0.029,False,False,0.0042116280019399,3.230400034226477e-05,0.0421
1755016043,8,2618.0,2310,0.8823529411764706,safe,0.029,False,False,0.0403439609981433,4.512000305112451e-05,0.0421
1755016044,8,2218.0,2120,0.9558160504959424,safe,0.029,False,False,0.0402926110000407,3.679899964481592e-05,0.0421
1755016045,8,438.0,344,0.7853881278538812,safe,0.029,False,False,0.0016853050001373,3.01609979942441e-05,0.0421
1755016046,8,822.0,661,0.8041362530413625,safe,0.029,False,False,0.0019415530005062,3.2488002034369856e-05,0.0421
1755016047,8,994.0,808,0.8128772635814889,safe,0.029,True,False,0.0011292960007267,0.0004488619997573,0.0421
1755016048,8,3072.0,2536,0.8255208333333334,safe,0.029,False,False,0.034604971002409,3.816299795289524e-05,0.0421
1755016049,8,2750.0,2375,0.8636363636363636,safe,0.029,False,False,0.0054492649978783,3.279100201325491e-05,0.0421
1755016050,8,2636.0,2319,0.879742033383915,safe,0.029,False,False,0.0741363689994614,4.295500184525736e-05,0.0421
1755016051,8,5224.0,4312,0.8254211332312404,safe,0.029,False,False,0.0187841250008204,3.92279980587773e-05,0.0421
1755016052,8,4020.0,3176,0.7900497512437811,safe,0.029,False,False,0.0396408980013802,3.989600008935668e-05,0.0421
1755016053,8,0.0,2236,,,0.029,False,False,0.0367756219966395,0.00018774199998,0.0421
1755016054,8,306.0,253,0.826797385620915,safe,0.029,False,False,0.0028626749990507,3.941100294468925e-05,0.0421
1755016055,8,2348.0,2174,0.9258943781942078,safe,0.029,False,False,0.0452948229976755,7.82370007073041e-05,0.0421
1755016056,8,2230.0,2115,0.9484304932735426,safe,0.029,False,False,0.2430155380025098,4.728500061901286e-05,0.0421
1755016057,8,1350.0,1185,0.8777777777777778,safe,0.029,False,False,0.0003023839999514,2.970800051116385e-05,0.0421
1755016058,8,2048.0,2024,0.98828125,safe,0.029,False,True,0.2615587060026882,7.783600085531361e-05,0.0421
1755016059,8,3462.0,2731,0.7888503755054882,safe,0.029,False,False,0.019496845001413,4.2825999116757885e-05,0.0421
1755016060,8,946.0,783,0.8276955602536998,safe,0.029,False,False,0.0026333380010328,3.247600034228526e-05,0.0421
1755016061,8,766.0,593,0.7741514360313316,safe,0.029,False,False,0.0036866600021312,6.034499892848544e-05,0.0421
1755016062,8,832.0,616,0.7403846153846154,safe,0.029,False,False,0.0032025189975684,4.363799962447956e-05,0.0421
1755016063,8,482.0,442,0.91701244813278,safe,0.029,False,False,0.002895128000091,3.2046998967416584e-05,0.0421
1755016064,8,4910.0,3458,0.7042769857433808,safe,0.029,False,False,0.0129028730007121,3.831900176010095e-05,0.0421
1755016065,8,3594.0,3308,0.9204229271007234,safe,0.029,False,False,0.0159286240013898,4.279399945517071e-05,0.0421
1755016066,8,962.0,711,0.739085239085239,safe,0.029,,False,0.0023570939993078,2.8405000193743035e-05,0.0421
1755016067,8,3600.0,3020,0.8388888888888889,safe,0.029,False,False,0.0004834579995076,3.55180018232204e-05,0.0421
1755016068,8,3664.0,3342,0.912117903930131,safe,0.029,False,False,0.1211165550012083,5.220699677010998e-05,0.0421
1755016069,8,2537.0,2270,0.8947575877020102,safe,0.029,False,False,0.1922088550018088,7.255699892994016e-05,0.0421
1755016070,8,766.0,593,0.7741514360313316,safe,0.029,False,False,0.0037090770019858,3.7606001569656655e-05,0.0421
1755016071,8,723.0,564,0.7800829875518672,safe,0.029,False,False,0.0061601960005646,3.202600055374205e-05,0.0421
1755016072,8,2654.0,2327,0.8767897513187641,safe,0.029,False,False,0.1134439399975235,3.734799975063652e-05,0.0421
1755016073,8,4016.0,3120,0.7768924302788844,safe,0.029,,False,0.1565211189990805,4.207200254313648e-05,0.0421
1755016074,8,862.0,732,0.8491879350348028,safe,0.029,,False,0.0021848029973625,2.9515002097468823e-05,0.0421
1755016075,8,826.0,613,0.7421307506053268,safe,0.029,False,False,0.0056823049999366,6.428599954233505e-05,0.0421
1755016076,8,914.0,757,0.8282275711159738,safe,0.029,True,False,0.0086800620010762,0.0006087190013204,0.0421
1755016077,8,4144.0,3138,0.7572393822393823,safe,0.029,False,False,0.0249526750012591,4.231599814374931e-05,0.0421
1755016078,8,2946.0,2483,0.8428377460964019,safe,0.029,False,False,0.0551506730007531,4.503799937083386e-05,0.0421
1755016079,8,1600.0,1152,0.72,safe,0.029,,False,0.0038425470011134,0.0004279829990991,0.0421
1755016080,8,4610.0,3307,0.717353579175705,safe,0.029,False,False,0.1309144589977222,3.589600237319246e-05,0.0421
1755016081,8,802.0,677,0.844139650872818,safe,0.029,,False,0.0047395229994435,2.95349964289926e-05,0.0421
1755016082,8,822.0,812,0.9878345498783456,safe,0.029,False,False,0.0067712260024563,2.842699905158952e-05,0.0421
1755016083,8,724.0,562,0.7762430939226519,safe,0.029,False,False,0.0013914579976699,2.956100070150569e-05,0.0421
1755016084,8,5204.0,4203,0.8076479631053036,safe,0.029,False,False,0.1774152799989679,3.718000152730383e-05,0.0421
1755016085,8,3070.0,2535,0.8257328990228013,safe,0.029,False,False,0.0061479809992306,6.988600216573104e-05,0.0421
1755016086,8,2194.0,2107,0.9603463992707384,safe,0.029,False,False,0.1270161880020168,3.801699858740904e-05,0.0421
1755016087,8,826.0,623,0.7542372881355932,safe,0.029,False,False,0.0036435949987208,3.173899676767178e-05,0.0421
1755016088,8,648.0,534,0.8240740740740741,safe,0.029,False,False,0.0015537040017079,2.6596000680001453e-05,0.0421
1755016089,8,838.0,670,0.7995226730310262,safe,0.029,False,False,0.0016576960006204,3.028699939022772e-05,0.0421
1755016090,8,4030.0,3250,0.8064516129032258,safe,0.029,,False,0.008111598999676,3.1317998946178705e-05,0.0421
1755016091,8,776.0,599,0.7719072164948454,safe,0.029,False,False,0.0032848650007508,2.8770999051630497e-05,0.0421
1755016092,8,2830.0,2425,0.8568904593639576,safe,0.029,False,False,0.0039598799994564,3.5386001400183886e-05,0.0421
1755016093,8,580.0,501,0.8637931034482759,safe,0.029,False,False,0.0045244940010888,2.9013001039857045e-05,0.0421
1755016094,8,4334.0,3368,0.777111213659437,safe,0.029,,False,0.0157645990002492,3.5208999179303646e-05,0.0421
1755016095,8,4000.0,3241,0.81025,safe,0.029,,False,0.0628118909990007,4.461500066099688e-05,0.0421
1755016096,8,714.0,558,0.7815126050420168,safe,0.029,False,False,0.0014690950010844,2.758100163191557e-05,0.0421
1755016097,8,2180.0,2101,0.9637614678899082,safe,0.029,False,False,0.1170866779975767,3.069200101890601e-05,0.0421
1755016098,8,2356.0,2179,0.9248726655348048,safe,0.029,False,False,0.0802015949993801,3.201100116712041e-05,0.0421
1755016099,8,2418.0,2260,0.934656741108354,safe,0.029,False,False,0.1518447969974659,3.5716002457775176e-05,0.0421
1755016100,8,1006.0,809,0.8041749502982107,safe,0.029,False,False,0.0051372490015637,5.238000085228123e-05,0.0421
1755016101,8,2684.0,2342,0.8725782414307004,safe,0.029,False,False,0.0346412530016095,4.618999810190872e-05,0.0421
1755016102,8,2430.0,2215,0.911522633744856,safe,0.029,False,False,0.2523863720016379,4.666000313591212e-05,0.0421
1755016103,8,514.0,358,0.6964980544747081,safe,0.029,False,False,0.0004053409975313,3.0298000638140365e-05,0.0421
1755016104,8,2306.0,2153,0.9336513443191674,safe,0.029,False,False,0.1517721549971611,6.428599954233505e-05,0.0421
1755016105,8,948.0,784,0.8270042194092827,safe,0.029,False,False,0.0051794959981634,0.0004299639986129,0.0421
1755016106,8,3203.0,2602,0.8123634093037777,safe,0.029,False,False,0.0964067999993858,3.739900057553314e-05,0.0421
1755016107,8,520.0,382,0.7346153846153847,safe,0.029,False,False,0.0003826239990303,2.774199674604461e-05,0.0421
1755016108,8,670.0,535,0.7985074626865671,safe,0.029,False,False,0.0041072629974223,2.791500082821585e-05,0.0421
1755016109,8,678.0,640,0.943952802359882,safe,0.029,False,False,0.0058761859982041,2.999700154759921e-05,0.0421
1755016110,8,2408.0,2214,0.919435215946844,safe,0.029,False,False,0.032711219999328,3.5559001844376326e-05,0.0421
1755016111,8,2096.0,2048,0.9770992366412212,safe,0.029,False,False,0.2128991339995991,3.825599924311973e-05,0.0421
1755016112,8,2500.0,2251,0.9004,safe,0.029,False,False,0.1122908879988244,3.349499820615165e-05,0.0421
1755016113,8,4644.0,3332,0.7174849267872524,safe,0.029,False,False,0.0145933200001309,3.281499812146649e-05,0.0421
1755016114,8,528.0,421,0.7973484848484849,safe,0.029,,False,0.001292224998906,2.982400110340677e-05,0.0421
1755016115,8,2104.0,2065,0.9814638783269962,safe,0.029,False,False,0.2310706229982315,3.82350008294452e-05,0.0421
1755016116,8,4408.0,3260,0.7395644283121597,safe,0.029,False,False,0.1520648500008974,3.519899837556295e-05,0.0421
1755016117,8,2906.0,2453,0.8441156228492773,safe,0.029,False,False,0.0528723750030621,3.24059983540792e-05,0.0421
1755016118,8,1038.0,820,0.789980732177264,safe,0.029,False,False,0.0015882770021562,0.0004212619969621,0.0421
1755016119,8,1118.0,810,0.7245080500894454,safe,0.029,False,False,0.0015186109994829,2.8215999918757007e-05,0.0421
1755016120,8,2950.0,2500,0.847457627118644,safe,0.029,False,False,0.0070300260013027,3.280800228822045e-05,0.0421
1755016121,8,2318.0,2159,0.9314063848144952,safe,0.029,False,False,0.176946282001154,3.422800000407733e-05,0.0421
1755016122,8,4006.0,3304,0.8247628557164254,safe,0.029,,False,0.0284163860014814,3.3502998121548444e-05,0.0421
1755016123,8,3654.0,3328,0.910782703886152,safe,0.029,False,False,0.0187678710026375,3.312799890409224e-05,0.0421
1755016124,8,2370.0,2195,0.9261603375527426,safe,0.029,False,False,0.1033978699997533,4.127599822822958e-05,0.0421
1755016125,8,2334.0,2168,0.9288774635818338,safe,0.029,False,False,0.0225978759990539,2.9654001991730183e-05,0.0421
1755016126,8,2456.0,2229,0.90757328990228,safe,0.029,False,False,0.0710542550004902,3.467799979262054e-05,0.0421
1755016127,8,2256.0,2128,0.9432624113475178,safe,0.029,False,False,0.2226242260003346,3.622200165409595e-05,0.0421
1755016128,8,1010.0,830,0.8217821782178217,safe,0.029,,False,0.0003951140024582,3.18710008286871e-05,0.0421
1755016129,8,4410.0,3705,0.8401360544217688,safe,0.029,False,False,0.0020102279995626,3.617900074459613e-05,0.0421
1755016130,8,2256.0,2128,0.9432624113475178,safe,0.029,False,False,0.2010020019988587,4.0658000216353685e-05,0.0421
1755016131,8,609.0,518,0.8505747126436781,safe,0.029,False,False,0.0014775350027775,2.884900095523335e-05,0.0421
1755016132,8,2486.0,2243,0.9022526146419952,safe,0.029,False,False,0.1980383019981673,3.071799801546149e-05,0.0421
1755016133,8,2214.0,2117,0.9561878952122854,safe,0.029,False,False,0.124224213999696,3.402999936952256e-05,0.0421
1755016134,8,284.0,228,0.8028169014084507,safe,0.029,False,False,0.0004464449993974,0.0001465630011807,0.0421
1755016135,8,4008.0,3112,0.7764471057884231,safe,0.029,False,False,0.1920715529995504,4.180899850325659e-05,0.0421
1755016136,8,2662.0,2331,0.8756574004507889,safe,0.029,False,False,0.0534082039994245,3.383999865036458e-05,0.0421
1755016137,8,2378.0,2200,0.9251471825063078,safe,0.029,False,False,0.0387815739995858,3.182100044796243e-05,0.0421
1755016138,8,2100.0,2051,0.9766666666666668,safe,0.029,False,False,0.1249250820001179,3.442000161157921e-05,0.0421
1755016139,8,934.0,642,0.6873661670235546,safe,0.029,False,True,0.0041086109995376,4.686400279751979e-05,0.0421
1755016140,8,2662.0,2332,0.8760330578512396,safe,0.029,False,False,0.0551437879985314,3.115800063824281e-05,0.0421
1755016141,8,2630.0,2395,0.9106463878326996,safe,0.029,False,False,0.00422440499824,3.5052999010076746e-05,0.0421
1755016142,8,3544.0,3282,0.9260722347629796,safe,0.029,False,False,0.0992763180001929,3.468999784672633e-05,0.0421
1755016143,8,2658.0,2330,0.8765989465763732,safe,0.029,False,False,0.073640565999085,8.163600068655796e-05,0.0421
1755016144,8,3154.0,2588,0.8205453392517438,safe,0.029,False,False,0.030346441999427,8.489399988320656e-05,0.0421
1755016145,8,870.0,735,0.8448275862068966,safe,0.029,False,False,0.0088513010014139,0.000805997999123,0.0421
1755016146,8,2366.0,2183,0.922654268808115,safe,0.029,False,False,0.1579365050019987,7.973600077093579e-05,0.0421
1755016147,8,394.0,347,0.8807106598984772,safe,0.029,False,False,0.0030365790007635,6.48380009806715e-05,0.0421
1755016148,8,5400.0,4415,0.8175925925925925,safe,0.029,,False,0.0069565550002153,6.966100045247003e-05,0.0421
1755016149,8,794.0,607,0.7644836272040302,safe,0.029,False,False,0.0099386559995764,6.659499922534451e-05,0.0421
1755016150,8,4058.0,3090,0.7614588467225234,safe,0.029,,False,0.3370268610015046,7.897099931142293e-05,0.0421
1755016151,8,1410.0,936,0.6638297872340425,safe,0.029,,False,0.0044691049988614,6.027999916113913e-05,0.0421
1755016152,8,0.0,864,,,0.029,False,False,0.0030662899989692,0.0006510189996333,0.0421
1755016153,8,846.0,723,0.8546099290780141,safe,0.029,False,False,0.0152398380014346,0.0008569329984311,0.0421
1755016154,8,2322.0,2162,0.9310938845822568,safe,0.029,False,False,0.4208350720000453,6.756799848517403e-05,0.0421
1755016155,8,370.0,295,0.7972972972972973,safe,0.029,False,False,0.003023868001037,5.672099723597057e-05,0.0421
1755016156,8,4260.0,3136,0.7361502347417841,safe,0.029,False,False,0.125278867999441,6.950100214453414e-05,0.0421
