seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,adjusted,inserted,finalpercent
1755016037,10,0.0,3093.0,2668.0,0.8625929518267055,safe,0.0,False,False,0.09
1755016038,10,0.0,748.0,635.0,0.8489304812834224,safe,0.0,False,False,0.09
1755016039,10,0.0,3968.0,3822.0,0.9632056451612904,safe,0.0,False,False,0.09
1755016040,10,0.0,914.0,655.0,0.7166301969365426,safe,0.0,False,False,0.09
1755016041,10,0.0,5114.0,4909.0,0.9599139616738366,safe,0.0,False,False,0.09
1755016042,10,0.0,257.0,239.0,0.9299610894941636,safe,0.0,False,True,0.09
1755016043,10,0.0,2298.0,1789.0,0.778503046127067,safe,0.0,False,False,0.09
1755016044,10,0.0,4399.6,3749.0,0.8521229202654786,safe,0.0,False,False,0.09
1755016045,10,0.0,800.0,681.0,0.85125,safe,0.0,False,False,0.09
1755016046,10,0.0,3114.0,2627.0,0.8436095054592164,safe,0.0,False,False,0.09
1755016047,10,0.0,672.0,501.0,0.7455357142857143,safe,0.1,False,False,0.09
1755016048,10,0.0,1113.0,980.0,0.8805031446540881,safe,0.1,False,False,0.09
1755016049,10,0.0,2972.0,2169.0,0.7298115746971736,safe,0.1,False,False,0.09
1755016050,10,0.0,2964.0,1702.0,0.5742240215924427,safe,0.1,False,False,0.09
1755016051,10,0.0,1010.5,759.0,0.7511133102424542,safe,0.1,False,False,0.09
1755016052,10,0.0,3750.4,3735.0,0.995893771331058,safe,0.1,False,False,0.09
1755016053,10,0.0,5952.0,5579.0,0.937331989247312,safe,0.1,False,False,0.09
1755016054,10,0.0,2421.0,1349.0,0.5572077653862041,safe,0.1,False,False,0.09
1755016055,10,0.0,317.0,285.0,0.8990536277602523,safe,0.1,False,False,0.09
1755016056,10,0.0,0.0,343.0,,,0.1,False,False,0.09
1755016057,10,0.0,0.0,3141.0,,,0.2,False,False,0.09
1755016058,10,0.0,0.0,2756.0,,,0.2,False,False,0.09
1755016059,10,0.0,756.0,681.0,0.9007936507936508,safe,0.2,False,False,0.09
1755016060,10,0.0,2381.0,1689.0,0.7093658126837463,safe,0.2,False,False,0.09
1755016061,10,0.0,2901.5,2105.0,0.7254868171635361,safe,0.2,False,False,0.09
1755016062,10,0.0,242.4,242.4,1.0,safe,0.2,True,False,0.09
1755016063,10,0.0,5631.400000000001,4697.0,0.8340732322335476,safe,0.2,False,False,0.09
1755016064,10,0.0,3022.0,2652.0,0.8775645268034414,safe,0.2,False,False,0.09
1755016065,10,0.0,1068.0,918.0,0.8595505617977528,safe,0.2,False,True,0.09
1755016066,10,0.0,2946.0,1733.0,0.588255261371351,safe,0.2,False,False,0.09
1755016067,10,0.0,2136.0,1446.0,0.6769662921348315,safe,0.2,False,False,0.09
1755016068,10,0.0,4064.0,3147.0,0.7743602362204725,safe,0.2,False,False,0.09
