seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,adjusted,inserted,finalpercent
1755016037,8,0.2,1098.6,1068.2419103781867,0.972366566883476,safe,0.15,False,True,0.195
1755016038,8,0.2,3203.2,2963.1592516029177,0.92506220392199,safe,0.15,False,False,0.195
1755016039,8,0.2,3851.400000000001,3737.623024087709,0.9704582811672918,safe,0.15,False,False,0.195
1755016040,8,0.2,572.4000000000001,537.864684649669,0.9396657663341526,safe,0.15,False,False,0.195
1755016041,8,0.2,3180.3,2989.859513503477,0.9401187037397344,safe,0.15,False,False,0.195
1755016042,8,0.2,3152.5999999999995,2778.746655217667,0.8814142787596484,safe,0.15,False,False,0.195
1755016043,8,0.2,3172.4,3030.5464218271663,0.9552850907285232,safe,0.15,False,False,0.195
1755016044,8,0.2,2994.6,2761.780636553012,0.9222536020012728,safe,0.15,False,True,0.195
1755016045,8,0.2,3134.0,2853.8201283345734,0.9105999133167112,safe,0.15,False,True,0.195
1755016046,8,0.2,2305.6,2269.3468003077787,0.9842760237282178,safe,0.15,False,False,0.195
1755016047,8,0.2,987.8,830.6611022646448,0.8409203302942344,safe,0.15,False,False,0.195
1755016048,8,0.2,2481.6000000000004,2323.852793966076,0.9364332664273352,safe,0.15,False,False,0.195
1755016049,8,0.2,0.0,942.5863938161384,,,0.15,False,False,0.195
1755016050,8,0.2,0.0,176.59479648394336,,,0.15,False,False,0.195
1755016051,8,0.2,2455.2,2320.9099973864727,0.9453038438361326,safe,0.15,False,False,0.195
1755016052,8,0.2,2785.2,2638.728487729328,0.9474107739944448,safe,0.15,False,False,0.195
1755016053,8,0.2,948.2,829.963509939791,0.8753042711872928,safe,0.15,False,False,0.195
1755016054,8,0.2,3384.6,3323.7583892850816,0.9820239878523552,safe,0.15,False,False,0.195
1755016055,8,0.2,0.0,410.221722608757,,,0.15,False,False,0.195
1755016056,8,0.2,516.8,480.2018946520727,0.9291832326858992,safe,0.15,False,False,0.195
1755016057,8,0.2,2263.4,2213.211364284449,0.9778259981816952,safe,0.25,False,False,0.195
1755016058,8,0.2,2463.8,2355.334651740812,0.9559763989531664,safe,0.25,False,False,0.195
1755016059,8,0.2,836.6000000000001,715.6863744136897,0.8554702060885603,safe,0.25,False,True,0.195
1755016060,8,0.2,3412.2,3154.0983847317875,0.924359177284974,safe,0.25,False,False,0.195
1755016061,8,0.2,0.0,2734.8636877628105,,,0.25,False,False,0.195
1755016062,8,0.2,0.0,636.9529116856138,,,0.25,False,False,0.195
1755016063,8,0.2,2705.9999999999995,2536.7918001092985,0.9374692535511082,safe,0.25,False,False,0.195
1755016064,8,0.2,820.6,755.6199198098075,0.9208139407869942,safe,0.25,False,False,0.195
1755016065,8,0.2,1068.1999999999998,1032.3920101397598,0.966478197097697,safe,0.25,False,True,0.195
1755016066,8,0.2,4746.4,4679.803037000398,0.9859689526800096,safe,0.25,False,False,0.195
1755016067,8,0.2,624.8,572.1359843691071,0.915710602383334,safe,0.25,False,False,0.195
1755016068,8,0.2,3806.0,3782.0042254953296,0.9936952773240488,safe,0.25,False,False,0.195
1755016069,8,0.2,2844.6,2679.841823105533,0.9420803709152544,safe,0.25,False,False,0.195
1755016070,8,0.2,3172.4,2875.2015121861623,0.9063174606563366,safe,0.25,False,False,0.195
1755016071,8,0.2,0.0,753.3549918899098,,,0.25,False,False,0.195
1755016072,8,0.2,0.0,4466.969809827529,,,0.25,False,False,0.195
1755016073,8,0.2,0.0,1035.5054049623304,,,0.25,False,False,0.195
1755016074,8,0.2,3359.4,2987.988398085232,0.88944109010098,safe,0.25,False,False,0.195
1755016075,8,0.2,2604.8,2443.7798183171544,0.938183284059104,safe,0.25,False,False,0.195
1755016076,8,0.2,5085.400000000001,5068.627800802467,0.996701891847734,safe,0.25,False,False,0.195
1755016077,8,0.2,5890.0,5699.272617834824,0.967618441058544,safe,0.25,False,False,0.195
1755016078,8,0.2,4318.4,3905.207501791229,0.9043181506556198,safe,0.25,False,True,0.195
1755016079,8,0.2,0.0,502.1694675766988,,,0.25,False,False,0.195
1755016080,8,0.2,2833.6000000000004,2609.6165348052164,0.9209544518651948,safe,0.25,False,False,0.195
1755016081,8,0.2,4512.8,4334.464043595701,0.960482193670382,safe,0.25,True,False,0.195
1755016082,8,0.2,3150.4,2869.745137699556,0.910914530757858,safe,0.25,False,False,0.195
1755016083,8,0.2,1034.2,921.1807306861548,0.8907181692962238,safe,0.25,False,False,0.195
1755016084,8,0.2,2600.4,2441.6183595085035,0.938939532190626,safe,0.25,False,False,0.195
1755016085,8,0.2,976.2,919.6095427421368,0.9420298532494744,safe,0.25,False,False,0.195
1755016086,8,0.2,0.0,480.49198492759024,,,0.25,False,False,0.195
1755016087,8,0.2,3245.3,3075.736136076208,0.9477509432336634,safe,0.25,False,False,0.195
1755016088,8,0.2,4298.1,4195.804151946677,0.9761997515057064,safe,0.25,True,False,0.195
1755016089,8,0.2,2725.8,2630.2798974675243,0.9649570392059302,safe,0.25,False,False,0.195
1755016090,8,0.2,301.2,273.0481140718091,0.9065342432662984,safe,0.25,False,False,0.195
1755016091,8,0.2,5474.200000000001,5408.534330516821,0.9880045176494868,safe,0.25,False,False,0.195
1755016092,8,0.2,0.0,867.8262281862085,,,0.25,False,False,0.195
1755016093,8,0.2,3830.0,3767.106612272572,0.9835787499406192,safe,0.25,,False,0.195
1755016094,8,0.2,4112.0,4056.374783985624,0.986472466922574,safe,0.25,False,False,0.195
1755016095,8,0.2,0.0,1004.6350899297358,,,0.25,False,False,0.195
1755016096,8,0.2,0.0,848.2325837247354,,,0.25,False,False,0.195
1755016097,8,0.2,0.0,909.1986695897358,,,0.25,False,False,0.195
1755016098,8,0.2,225.6,203.31544926360385,0.9012209630478896,safe,0.25,False,True,0.195
1755016099,8,0.2,2593.1,2409.11288760465,0.9290474287935868,safe,0.25,False,False,0.195
1755016100,8,0.2,2833.6000000000004,2642.0924404333346,0.9324154575216452,safe,0.25,False,False,0.195
1755016101,8,0.2,772.2,727.468007473246,0.9420720117498652,safe,0.25,False,False,0.195
1755016102,8,0.2,1033.8,981.4376828603774,0.9493496642100768,safe,0.25,True,False,0.195
1755016103,8,0.2,5304.2,5251.286208286474,0.9900241710882836,safe,0.25,,False,0.195
1755016104,8,0.2,3992.4,3915.698088102343,0.9807880192621838,safe,0.25,,False,0.195
1755016105,8,0.2,2833.6,2670.4002265368035,0.9424055006129318,safe,0.25,False,False,0.195
1755016106,8,0.2,2734.6,2539.951449493423,0.928820101474959,safe,0.25,False,False,0.195
1755016107,8,0.2,2473.2,2312.7106677783554,0.9351086316425504,safe,0.25,False,False,0.195
1755016108,8,0.2,864.8,817.8671516100048,0.945729823785852,safe,0.25,True,False,0.195
1755016109,8,0.2,0.0,763.6091618641149,,,0.25,False,False,0.195
1755016110,8,0.2,2728.0,2517.605141304295,0.922875784935592,safe,0.25,False,False,0.195
1755016111,8,0.2,1233.1,1200.961913966693,0.9739371615981616,safe,0.25,False,False,0.195
1755016112,8,0.2,0.0,3170.80695433011,,,0.25,False,False,0.195
1755016113,8,0.2,894.8000000000001,839.351583876909,0.938032614971959,safe,0.25,False,False,0.195
1755016114,8,0.2,0.0,1096.8401601458463,,,0.25,False,False,0.195
1755016115,8,0.2,0.0,4539.665697831544,,,0.25,False,False,0.195
1755016116,8,0.2,2719.2,2495.576581765937,0.9177613201551696,safe,0.25,False,False,0.195
1755016117,8,0.2,0.0,4928.966388195484,,,0.2,False,False,0.195
1755016118,8,0.2,1578.0,1487.771705375475,0.9428211060681084,safe,0.2,,True,0.195
1755016119,8,0.2,3040.4,2718.364874247469,0.8940813295117317,safe,0.2,False,False,0.195
1755016120,8,0.2,3985.6,3724.557826500246,0.9345036698364728,safe,0.2,False,False,0.195
1755016121,8,0.2,646.8000000000001,604.0643561487959,0.933927575987625,safe,0.2,False,False,0.195
1755016122,8,0.2,2329.8,2200.228779822824,0.9443852604613376,safe,0.2,False,False,0.195
1755016123,8,0.2,734.8000000000001,663.2122330153836,0.9025751674134236,safe,0.2,False,False,0.195
1755016124,8,0.2,0.0,1165.4867931192798,,,0.2,False,False,0.195
1755016125,8,0.2,2921.6000000000004,2782.0711763023137,0.952242324857035,safe,0.2,False,False,0.195
1755016126,8,0.2,5615.0,5386.969455580409,0.9593890392841334,safe,0.2,,False,0.195
1755016127,8,0.2,270.6,260.36950437943324,0.9621932903896276,safe,0.2,False,False,0.195
1755016128,8,0.2,2538.8,2377.0124614221927,0.936274011904125,safe,0.2,False,False,0.195
1755016129,8,0.2,4051.900000000001,4039.153083392244,0.9968540890427317,safe,0.2,False,False,0.195
1755016130,8,0.2,723.8,641.2077025167673,0.8858907191444699,safe,0.2,False,False,0.195
1755016131,8,0.2,3847.0,3536.0144271934764,0.9191615355324868,safe,0.2,,False,0.195
1755016132,8,0.2,3625.0,3536.805171790067,0.9756703922179496,safe,0.2,False,True,0.195
1755016133,8,0.2,0.0,2525.051419819887,,,0.2,False,False,0.195
1755016134,8,0.2,0.0,662.2528151153878,,,0.2,False,False,0.195
1755016135,8,0.2,2623.9,2505.7337197960974,0.954965402567208,safe,0.2,False,False,0.195
1755016136,8,0.2,2481.6,2402.9967218563543,0.9683255649002072,safe,0.2,False,False,0.195
1755016137,8,0.2,561.0,533.3030515228047,0.950629325352593,safe,0.15,False,False,0.195
1755016138,8,0.2,0.0,6580.7116132111405,,,0.15,False,False,0.195
1755016139,8,0.2,5465.799999999999,5372.736467733352,0.9829734837962152,safe,0.15,False,False,0.195
1755016140,8,0.2,4417.9,4334.416275923126,0.981103301551218,safe,0.15,True,False,0.195
1755016141,8,0.2,3092.7,2843.3700297019627,0.9193811328942229,safe,0.15,False,False,0.195
1755016142,8,0.2,2354.0,2241.995501485369,0.9524194993565712,safe,0.15,False,False,0.195
1755016143,8,0.2,2503.6000000000004,2350.481097080327,0.9388405084998908,safe,0.15,False,False,0.195
1755016144,8,0.2,851.4,720.9931335620004,0.8468324331242664,safe,0.15,False,False,0.195
1755016145,8,0.2,0.0,110.90106335710334,,,0.15,False,False,0.195
1755016146,8,0.2,2615.8,2482.821638680238,0.9491634064837672,safe,0.15,False,False,0.195
1755016147,8,0.2,3330.8,3022.3216668096,0.9073861134891316,safe,0.15,False,False,0.195
1755016148,8,0.2,3059.4,2837.229392285654,0.9273809872150272,safe,0.15,False,False,0.195
1755016149,8,0.2,542.0,513.2185682865265,0.9468977274659162,safe,0.15,False,False,0.195
1755016150,8,0.2,246.4,239.79558090962155,0.9731963510942432,safe,0.15,False,True,0.195
1755016151,8,0.2,2871.0,2739.5522046663286,0.9542153272958304,safe,0.15,False,False,0.195
1755016152,8,0.2,763.4,649.4058105503977,0.850675675334553,safe,0.15,False,False,0.195
1755016153,8,0.2,5002.0,4716.095975911809,0.942842058359018,safe,0.15,,False,0.195
1755016154,8,0.2,0.0,1352.249999583897,,,0.15,False,False,0.195
1755016155,8,0.2,3872.0,3730.2710407836057,0.9633964464833692,safe,0.15,False,False,0.195
1755016156,8,0.2,875.6000000000001,806.1788990086025,0.92071596506236,safe,0.15,False,True,0.195
1755016157,8,0.2,3952.4,3896.274337955984,0.9857995997257322,safe,0.3,False,False,0.195
1755016158,8,0.2,0.0,754.3427031242218,,,0.3,False,False,0.195
1755016159,8,0.2,4523.0,4448.398982719417,0.9835062973069684,safe,0.3,False,False,0.195
1755016160,8,0.2,3379.2,2957.2819169725844,0.8751426127404666,safe,0.3,False,False,0.195
1755016161,8,0.2,4391.400000000001,4139.368622238237,0.9426079660787532,safe,0.3,False,False,0.195
1755016162,8,0.2,1057.6999999999998,949.9630728838964,0.8981403733420599,safe,0.3,False,False,0.195
1755016163,8,0.2,3956.6,3865.089957815639,0.976871545725026,safe,0.3,False,False,0.195
1755016164,8,0.2,3047.0,2795.9269854735885,0.91759992959422,safe,0.3,False,True,0.195
1755016165,8,0.2,0.0,314.01025170124046,,,0.3,False,False,0.195
1755016166,8,0.2,4094.0,3800.940605498665,0.9284173437954726,safe,0.3,False,True,0.195
1755016167,8,0.2,1036.1999999999998,931.2626462281652,0.8987286684309646,safe,0.3,False,False,0.195
1755016168,8,0.2,3016.2,2781.973309087877,0.922343779950891,safe,0.3,False,False,0.195
1755016169,8,0.2,4216.700000000001,3947.8652341207458,0.9362452235446546,safe,0.3,False,False,0.195
1755016170,8,0.2,0.0,698.2086472674055,,,0.3,False,False,0.195
1755016171,8,0.2,0.0,1389.823310153586,,,0.3,False,False,0.195
1755016172,8,0.2,3965.6,3652.113952688808,0.9209486465323804,safe,0.3,False,False,0.195
