seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,adjust,inserted
1755016010,5,0.2,528.0,501.0531959638629,0.9489643862951948,safe,0.12,False,False
1755016011,5,0.2,415.8040704141224,403.6041257079123,0.9706593908663292,safe,0.12,False,False
1755016012,5,0.2,4047.80414595021,4040.139291276282,0.9981064166156368,safe,0.12,False,False
1755016013,5,0.2,686.4,617.1292803634244,0.8990811194105833,safe,0.12,False,False
1755016014,5,0.2,909.7301958032664,901.9141511747292,0.9914083926590612,safe,0.12,,True
1755016015,5,0.2,496.1936007612769,470.4906516438805,0.948199756953814,safe,0.12,False,False
1755016016,5,0.2,2664.2,2450.792847101436,0.9198982235197944,safe,0.12,False,False
1755016017,5,0.2,2643.6649218308667,2447.8610293920005,0.9259346784753408,safe,0.12,False,False
1755016018,5,0.2,0.0,615.2096271480914,,,0.12,False,False
1755016019,5,0.2,730.4000000000001,624.7489163892687,0.8553517475209045,safe,0.12,False,False
1755016020,5,0.2,477.4,467.8954920404504,0.9800911018861548,safe,0.12,False,False
1755016021,5,0.2,0.0,75.9772583357842,,,0.12,False,False
1755016022,5,0.2,415.6333796398367,368.65179482898736,0.8869638794373041,safe,0.12,False,False
1755016023,5,0.2,3091.0,2908.4272348510567,0.940934077920109,safe,0.12,False,False
1755016024,5,0.2,2776.4,2541.995603985996,0.9155725414155008,safe,0.12,False,False
1755016025,5,0.2,619.4566972614246,592.8260894188315,0.9570097345620362,safe,0.12,False,False
1755016026,5,0.2,50.71245520140233,49.43212408479212,0.9747531230439264,safe,0.12,False,True
1755016027,5,0.2,400.65249928768486,394.2084101373167,0.983916014097441,safe,0.12,False,False
1755016028,5,0.2,2281.4,2153.099311572386,0.9437623001544604,safe,0.12,False,False
1755016029,5,0.2,2684.0,2573.936256944493,0.9589926441670988,safe,0.12,False,False
1755016030,5,0.2,171.6,154.71006199156363,0.9015737878296248,safe,0.12,False,False
1755016031,5,0.2,2387.0,2254.14915857236,0.9443440128078592,safe,0.12,False,False
1755016032,5,0.2,149.6,139.51652284858028,0.9325970778648416,safe,0.12,False,False
1755016033,5,0.2,2279.2000000000003,2193.64995728046,0.9624648812216828,safe,0.12,False,False
1755016034,5,0.2,833.2,741.7590094182153,0.8902532518221499,safe,0.12,False,True
1755016035,5,0.2,590.338704977557,536.120527340218,0.9081575082572296,safe,0.12,False,False
1755016036,5,0.2,3693.64668269704,3616.054056183892,0.978992948384416,safe,0.12,,False
1755016037,5,0.2,2710.4,2593.544815388276,0.9568863693138562,safe,0.12,False,False
1755016038,5,0.2,2378.2,2244.0891148447217,0.9436082393594828,safe,0.12,False,False
1755016039,5,0.2,136.39999999999998,125.81597594172854,0.9224045157018222,safe,0.12,False,False
1755016040,5,0.2,2738.123034627169,2604.9880053507823,0.9513772655236016,safe,0.12,False,False
1755016041,5,0.2,259.6,246.183156280993,0.9483172429930392,safe,0.12,False,False
1755016042,5,0.2,239.8,234.22168301851343,0.976737627266528,safe,0.12,False,False
1755016043,5,0.2,3975.866812369652,3908.440190876712,0.9830410261019904,safe,0.12,True,False
1755016044,5,0.2,3586.8409964279103,3570.059366720263,0.995321334365153,safe,0.12,False,False
1755016045,5,0.2,3619.7481853407353,3561.244366882136,0.983837599892852,safe,0.12,False,False
1755016046,5,0.2,600.6,544.4384724080326,0.9064909630503372,safe,0.12,False,False
1755016047,5,0.2,251.48846838273164,238.7745830626716,0.9494454540925064,safe,0.12,False,False
1755016048,5,0.2,2237.4,2222.0711351560312,0.9931488044855776,safe,0.12,False,False
1755016049,5,0.2,2765.4,2555.2869585469275,0.9240207415010224,safe,0.12,False,False
1755016050,5,0.2,238.83656616748107,228.4872892017362,0.9566679544434264,safe,0.12,False,False
1755016051,5,0.2,627.0,582.4903445876407,0.9290117138558864,safe,0.12,False,False
1755016052,5,0.2,2263.8,2166.2610127023017,0.9569136022185272,safe,0.12,False,False
1755016053,5,0.2,138.6,131.94406666880786,0.9519773929928418,safe,0.12,False,False
1755016054,5,0.2,215.75307789166172,205.6439132318062,0.953144748808952,safe,0.12,,False
1755016055,5,0.2,268.40000000000003,249.1389590029393,0.928237552171905,safe,0.12,False,False
1755016056,5,0.2,440.6724957452288,427.1796834807534,0.9693813151609166,safe,0.12,,False
1755016057,5,0.2,4216.383827783902,4019.083018867557,0.953206155564816,safe,0.12,False,False
1755016058,5,0.2,602.8,560.7767151759945,0.930286521526202,safe,0.12,False,False
1755016059,5,0.2,129.8,122.04501939544949,0.9402543867137862,safe,0.12,False,False
1755016060,5,0.2,2268.2,2236.530440457165,0.9860375806618312,safe,0.12,False,False
1755016061,5,0.2,0.0,120.3343582138766,,,0.12,False,False
1755016062,5,0.2,0.0,769.0805082099369,,,0.12,False,False
1755016063,5,0.2,2820.566591528039,2614.843864099328,0.927063332577707,safe,0.12,False,False
1755016064,5,0.2,0.0,811.0117639147521,,,0.12,False,False
1755016065,5,0.2,164.03004612987849,155.01124713813647,0.9450173964799048,safe,0.12,False,False
1755016066,5,0.2,830.7516153662364,800.5608419792461,0.9636584836808524,safe,0.12,True,False
1755016067,5,0.2,3086.6000000000004,2819.588601560245,0.9134933588933598,safe,0.12,False,False
1755016068,5,0.2,2537.554591155992,2356.5743530378686,0.928679273049382,safe,0.12,False,False
1755016069,5,0.2,920.802994577888,898.7504848616805,0.9760507841025032,safe,0.12,False,False
1755016070,5,0.2,3911.033643437072,3829.3344155340633,0.979110579107366,safe,0.12,False,False
