seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage
1755016010,8,0.0,2712.0,2358.5337032231746,0.869665819772557,safe,0.15
1755016011,8,0.0,2504.0,1736.443130389708,0.6934677038297555,safe,0.15
1755016012,8,0.0,690.0,615.6136731978004,0.8921937292721744,safe,0.15
1755016013,8,0.0,808.4843970787376,527.7342136422125,0.6527450814747349,safe,0.15
1755016014,8,0.0,356.0,283.0522717578412,0.795090651005172,safe,0.15
1755016015,8,0.0,518.0,297.83254212892894,0.5749662975461949,safe,0.15
1755016016,8,0.0,384.0,327.0396588074828,0.8516657781444864,safe,0.15
1755016017,8,0.0,0.0,1015.9801345063554,,,0.15
1755016018,8,0.0,3993.398091040935,3340.415709647016,0.8364845260834715,safe,0.15
1755016019,8,0.0,2512.0,1631.5237747018598,0.6494919485278104,safe,0.15
1755016020,8,0.0,0.0,859.0701831122057,,,0.15
1755016021,8,0.0,2308.0,2059.450360340468,0.8923095148788855,safe,0.15
1755016022,8,0.0,2132.0,1400.4626094063826,0.6568773965320744,safe,0.15
1755016023,8,0.0,3537.206994997995,2868.475122050545,0.8109435286390897,safe,0.15
1755016024,8,0.0,2566.4077035466707,2203.222696694821,0.8584850698702539,safe,0.15
1755016025,8,0.0,2350.8762801220623,1711.742681278055,0.728129632236188,safe,0.15
1755016026,8,0.0,3252.0,2343.756764269517,0.7207124121369979,safe,0.15
1755016027,8,0.0,3120.0,2639.0933489232566,0.8458632528600182,safe,0.15
1755016028,8,0.0,450.83480412790897,335.2043223159478,0.743519176529337,safe,0.15
1755016029,8,0.0,2964.0,2308.158379949441,0.7787308974188397,safe,0.15
1755016030,8,0.0,498.8251047701541,408.540576380849,0.8190056444113697,safe,0.15
1755016031,8,0.0,0.0,388.651206580552,,,0.15
1755016032,8,0.0,2098.0,2035.737873518183,0.9703231046321178,safe,0.15
1755016033,8,0.0,2982.463750046409,2213.437673317296,0.7421507380543528,safe,0.15
1755016034,8,0.0,4194.645051535932,3276.8707722980894,0.7812033514249827,safe,0.15
1755016035,8,0.0,2674.0,2566.128495837213,0.9596591233497432,safe,0.15
1755016036,8,0.0,754.0,600.2595829413542,0.7961002426277908,safe,0.15
1755016037,8,0.0,3449.422214071594,3158.3895394777305,0.9156285729805348,safe,0.15
1755016038,8,0.0,445.8542389522576,344.8253410317226,0.7734037515086781,safe,0.15
1755016039,8,0.0,2484.0,2336.55465081212,0.9406419689259744,safe,0.15
1755016040,8,0.0,2182.0,1832.4267976232777,0.8397922995523729,safe,0.15
1755016041,8,0.0,1157.950458872751,1055.5248082746225,0.9115457403092714,safe,0.15
1755016042,8,0.0,3650.0,2985.695321755764,0.8179987182892504,safe,0.15
1755016043,8,0.0,3040.0,2173.7731992773006,0.7150569734464804,safe,0.15
1755016044,8,0.0,2128.0,1780.9487960952408,0.8369120282402448,safe,0.15
1755016045,8,0.0,2476.0,2032.106059488138,0.8207213487431898,safe,0.15
1755016046,8,0.0,2584.0,1748.0348668098227,0.6764840815827488,safe,0.15
1755016047,8,0.0,0.0,630.880538067445,,,0.15
1755016048,8,0.0,382.0,322.72653484693546,0.844833860855852,safe,0.15
1755016049,8,0.0,1200.2775822600645,938.3463794468864,0.7817744772671885,safe,0.15
1755016050,8,0.0,2510.0,2218.62637783605,0.8839148915681474,safe,0.15
1755016051,8,0.0,0.0,1237.2731669337054,,,0.15
1755016052,8,0.0,2314.0,1541.827531736462,0.6663040327296724,safe,0.15
1755016053,8,0.0,2150.0,1552.9377308466717,0.7222966189984519,safe,0.15
1755016054,8,0.0,2582.0,2371.441471693736,0.9184513833050876,safe,0.15
1755016055,8,0.0,2430.0,1427.7488866000251,0.5875509821399281,safe,0.15
1755016056,8,0.0,2758.726914800379,2556.884051308222,0.9268347793290868,safe,0.15
1755016057,8,0.0,2678.0,2189.2137757402807,0.8174808721957733,safe,0.15
1755016058,8,0.0,0.0,408.4588923826452,,,0.15
1755016059,8,0.0,257.405580814886,253.75671121741573,0.9858244347852956,safe,0.15
1755016060,8,0.0,3002.0,2873.819057110484,0.9573014847136856,safe,0.15
