seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,adjust,inserted
1755016010,3,0.0,2210.0,1778.0763131523595,0.8045594177159998,safe,0.0,False,False
1755016011,3,0.0,320.0,296.1112052953971,0.925347516548116,safe,0.0,False,False
1755016010,3,0.02,2232.1000000000004,2205.4952466295435,0.9880808416421948,safe,0.0,False,False
1755016011,3,0.02,323.20000000000005,296.2189362328736,0.9165189858690396,safe,0.0,False,False
1755016010,3,0.05,2265.25,2152.8867133607187,0.9503969598767106,safe,0.0,False,False
1755016011,3,0.05,328.0,296.52430041485786,0.9040375012648104,safe,0.0,False,False
1755016010,3,0.1,2320.5,2221.166873806484,0.9571932229288876,safe,0.0,False,False
1755016011,3,0.1,336.0,306.6693346223674,0.91270635304276,safe,0.0,False,False
1755016010,3,0.2,2431.0,2343.5123984668526,0.9640116818045464,safe,0.0,False,False
1755016011,3,0.2,362.0,347.8257541637395,0.9608446247617112,safe,0.0,False,True
1755016010,3,0.3,2541.5,2325.4425013033347,0.9149881964600962,safe,0.5,False,False
1755016011,3,0.3,0.0,314.43282690977503,,,0.5,False,False
1755016010,3,0.4,2652.0,2393.9154919267344,0.9026830663373808,safe,0.5,False,False
1755016011,3,0.4,0.0,357.1467033831796,,,0.5,False,False
1755016010,3,0.5,2762.5,2482.4927512355453,0.8986399099495186,safe,0.5,False,False
1755016011,3,0.5,0.0,366.3627668661802,,,0.5,False,False
1755016010,5,0.0,480.0,459.7778110588101,0.9578704397058544,safe,0.0,False,False
1755016011,5,0.0,423.52454815193215,412.3995998862272,0.973732459395213,safe,0.0,False,False
1755016010,5,0.02,484.8,459.9336296901524,0.9487079820341427,safe,0.0,False,False
1755016011,5,0.02,425.82454815193216,412.534778189769,0.9687905029903972,safe,0.0,False,False
1755016010,5,0.05,492.0,470.1199184598668,0.9555282895525748,safe,0.0,False,False
1755016011,5,0.05,429.27454815193215,422.87216646863817,0.9850855781903288,safe,0.0,False,False
1755016010,5,0.1,504.0,480.2357041916439,0.9528486194278648,safe,0.0,False,False
