seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,adjust,inserted,finalpercent_x,finalpercent_y,finalpercent
1755016010,8,0.2,2983.2000000000007,2772.4887397356943,0.929367370520144,safe,0.23,False,False,0.173,0.173,0.173
1755016011,8,0.2,0.0,2533.7018127014617,,,0.23,False,False,0.173,0.173,0.173
1755016012,8,0.2,779.575039612462,749.6846596744977,0.9616581106126444,safe,0.23,False,True,0.173,0.173,0.173
1755016013,8,0.2,933.6843970787376,850.2020223254332,0.9105882297974566,safe,0.23,False,True,0.173,0.173,0.173
1755016014,8,0.2,391.60000000000014,320.1488405538846,0.8175404508526162,safe,0.23,False,False,0.173,0.173,0.173
1755016015,8,0.2,569.8,522.167938341594,0.9164056481951456,safe,0.23,False,False,0.173,0.173,0.173
1755016016,8,0.2,432.4000000000001,408.51788981943537,0.9447684778432824,safe,0.23,False,True,0.173,0.173,0.173
1755016017,8,0.2,0.0,1132.0437392055155,,,0.23,False,False,0.173,0.173,0.173
1755016018,8,0.2,4204.398091040936,4114.18444600301,0.9785430296835688,safe,0.23,,False,0.173,0.173,0.173
1755016019,8,0.2,2763.2,2543.284643309236,0.9204127979549928,safe,0.23,False,False,0.173,0.173,0.173
1755016020,8,0.2,0.0,937.2378495067989,,,0.23,False,False,0.173,0.173,0.173
1755016021,8,0.2,2538.8,2257.4966810165165,0.8891983145645648,safe,0.23,False,False,0.173,0.173,0.173
1755016022,8,0.2,2345.2,2234.516237768164,0.952804126628076,safe,0.23,False,False,0.173,0.173,0.173
1755016023,8,0.2,3764.206994997995,3674.3486158386695,0.9761282046182018,safe,0.23,,False,0.173,0.173,0.173
1755016024,8,0.2,2821.8077035466704,2555.542177203406,0.9056400880865834,safe,0.23,False,False,0.173,0.173,0.173
1755016025,8,0.2,2585.0762801220626,2463.342092548182,0.9529088605586012,safe,0.23,False,False,0.173,0.173,0.173
1755016026,8,0.2,3577.2,3226.125178998551,0.9018576481601674,safe,0.23,False,False,0.173,0.173,0.173
1755016027,8,0.2,3432.0,3041.8974153941563,0.8863337457442181,safe,0.23,False,False,0.173,0.173,0.173
1755016028,8,0.2,461.7043730221124,444.98065710027527,0.9637783029595948,safe,0.23,False,True,0.173,0.173,0.173
1755016029,8,0.2,3260.4,2895.742572027292,0.8881556164971451,safe,0.23,False,False,0.173,0.173,0.173
1755016030,8,0.2,550.4621068745355,509.6771769930026,0.9259078338505344,safe,0.23,False,False,0.173,0.173,0.173
1755016031,8,0.2,0.0,448.8548013191903,,,0.23,False,False,0.173,0.173,0.173
1755016032,8,0.2,2307.8,2174.8726185012424,0.9424008226454816,safe,0.23,False,True,0.173,0.173,0.173
1755016033,8,0.2,3266.093129719069,2933.5734066614787,0.8981903730693093,safe,0.23,False,False,0.173,0.173,0.173
1755016034,8,0.2,4448.645051535932,4254.131518453485,0.9562757804164912,safe,0.23,False,False,0.173,0.173,0.173
1755016035,8,0.2,2941.4,2815.190563935561,0.9570920527420824,safe,0.23,False,False,0.173,0.173,0.173
