seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,finalpercent_x,finalpercent_y,finalpercent
1755016010,8,0.2,2983.2000000000007,2766.904666565242,0.9274955304925052,safe,0.52,0.537,0.537,0.537
1755016011,8,0.2,0.0,2544.8255713157105,,,0.52,0.537,0.537,0.537
1755016012,8,0.2,0.0,628.637777011254,,,0.52,0.537,0.537,0.537
1755016013,8,0.2,0.0,780.3382983525546,,,0.52,0.537,0.537,0.537
1755016014,8,0.2,391.60000000000014,325.64213851281454,0.8315682801655118,safe,0.52,0.537,0.537,0.537
1755016015,8,0.2,569.8,524.2741290782815,0.9201020166344008,safe,0.52,0.537,0.537,0.537
1755016016,8,0.2,0.0,388.4381425654847,,,0.52,0.537,0.537,0.537
1755016017,8,0.2,0.0,1132.9140657032965,,,0.52,0.537,0.537,0.537
1755016018,8,0.2,4204.398091040936,4100.612586757326,0.9753150148876808,safe,0.52,0.537,0.537,0.537
1755016019,8,0.2,2763.2,2525.5715194582385,0.9140024317668785,safe,0.52,0.537,0.537,0.537
1755016020,8,0.2,0.0,933.9139406003368,,,0.52,0.537,0.537,0.537
1755016021,8,0.2,2538.8,2264.87444233048,0.8921043179181034,safe,0.52,0.537,0.537,0.537
1755016022,8,0.2,2345.2,2290.2530744570468,0.9765704735020668,safe,0.52,0.537,0.537,0.537
1755016023,8,0.2,3764.206994997995,3625.359559103077,0.9631137617884928,safe,0.52,0.537,0.537,0.537
1755016024,8,0.2,2821.8077035466704,2534.4082502075644,0.8981505887244267,safe,0.52,0.537,0.537,0.537
1755016025,8,0.2,2585.0762801220626,2422.44714478388,0.937089231529174,safe,0.52,0.537,0.537,0.537
1755016026,8,0.2,3577.2,3167.181004884099,0.8853799074371294,safe,0.52,0.537,0.537,0.537
1755016027,8,0.2,3432.0,2996.098726901735,0.8729891395401326,safe,0.52,0.537,0.537,0.537
1755016028,8,0.2,0.0,446.1705868873839,,,0.52,0.537,0.537,0.537
1755016029,8,0.2,3260.4,2874.4126059478967,0.8816134848325043,safe,0.52,0.537,0.537,0.537
1755016030,8,0.2,0.0,584.6751583131486,,,0.52,0.537,0.537,0.537
1755016031,8,0.2,0.0,448.7772948141719,,,0.52,0.537,0.537,0.537
1755016032,8,0.2,0.0,2188.7153607981845,,,0.52,0.537,0.537,0.537
1755016033,8,0.2,0.0,3096.6366505359274,,,0.52,0.537,0.537,0.537
1755016034,8,0.2,4448.645051535932,4251.549830944685,0.9556954492192632,safe,0.52,0.537,0.537,0.537
1755016035,8,0.2,2941.4,2815.3837072370807,0.9571577164741556,safe,0.52,0.537,0.537,0.537
1755016036,8,0.2,0.0,739.288240714659,,,0.52,0.537,0.537,0.537
1755016037,8,0.2,0.0,4454.823926834681,,,0.52,0.537,0.537,0.537
1755016038,8,0.2,0.0,444.8767387472244,,,0.52,0.537,0.537,0.537
1755016039,8,0.2,2732.4,2551.3730886615667,0.9337480195657908,safe,0.52,0.537,0.537,0.537
1755016040,8,0.2,0.0,2208.348142353534,,,0.52,0.537,0.537,0.537
1755016041,8,0.2,1233.950458872751,1114.859399940091,0.9034879738677248,safe,0.52,0.537,0.537,0.537
1755016042,8,0.2,0.0,3424.791921420197,,,0.52,0.537,0.537,0.537
1755016043,8,0.2,3344.0,2956.9422483542294,0.8842530646992313,safe,0.52,0.537,0.537,0.537
1755016044,8,0.2,0.0,2223.3334269070256,,,0.52,0.537,0.537,0.537
1755016045,8,0.2,2723.5999999999995,2485.168604064985,0.9124572639392664,safe,0.52,0.537,0.537,0.537
1755016046,8,0.2,0.0,2630.9807142878853,,,0.52,0.537,0.537,0.537
1755016047,8,0.2,0.0,763.0800364098862,,,0.52,0.537,0.537,0.537
1755016048,8,0.2,0.0,391.0964548371376,,,0.52,0.537,0.537,0.537
1755016049,8,0.2,0.0,1222.624365130141,,,0.52,0.537,0.537,0.537
1755016050,8,0.2,2761.0,2614.14121496366,0.9468095671726404,safe,0.52,0.537,0.537,0.537
1755016051,8,0.2,0.0,1452.52336883128,,,0.52,0.537,0.537,0.537
1755016052,8,0.2,2545.4,2383.993611034839,0.9365889883848664,safe,0.52,0.537,0.537,0.537
1755016053,8,0.2,2365.0,2272.458542503673,0.9608704196632868,safe,0.52,0.537,0.537,0.537
1755016054,8,0.2,2840.2000000000007,2588.805630902144,0.9114870892550324,safe,0.52,0.537,0.537,0.537
1755016055,8,0.2,2673.0,2519.452641755348,0.9425561697550872,safe,0.52,0.537,0.537,0.537
1755016056,8,0.2,3027.726914800379,2774.1236415440926,0.9162397136886414,safe,0.52,0.537,0.537,0.537
1755016057,8,0.2,2945.8,2713.2335271147967,0.921051506251204,safe,0.52,0.537,0.537,0.537
1755016058,8,0.2,0.0,476.9256910980448,,,0.52,0.537,0.537,0.537
1755016059,8,0.2,0.0,264.3882942504133,,,0.52,0.537,0.537,0.537
1755016060,8,0.2,3302.2000000000003,3093.377453152349,0.9367625986167856,safe,0.52,0.537,0.537,0.537
1755016061,8,0.2,763.4000000000001,680.0566010018888,0.890826042706168,safe,0.52,0.537,0.537,0.537
