seeds,num_tasks,per_jitter,final_e2e_max,letG2023,R,exceed,false_percentage,run_time_our,run_time_G
1756845543,3,0,800,800,1.0,safe,0.0,3.148405812680721e-05,0.00010705390013754368
1756845544,3,0,26,23,0.8846153846153846,safe,0.0,1.694704405963421e-05,6.02290965616703e-05
1756845545,3,0,34,27,0.7941176470588235,safe,0.0,1.368601806461811e-05,3.0033988878130913e-05
1756845546,3,0,2220,2200,0.990990990990991,safe,0.0,1.2464122846722603e-05,6.349687464535236e-05
1756845547,3,0,3100,3050,0.9838709677419355,safe,0.0,1.3417098671197891e-05,7.86040909588337e-05
1756845548,3,0,420,410,0.9761904761904762,safe,0.0,1.1335127055644989e-05,4.642200656235218e-05
1756845549,3,0,2404,2202,0.9159733777038269,safe,0.0,1.4774035662412643e-05,0.001778310863301158
1756845550,3,0,222,211,0.9504504504504504,safe,0.0,1.2290896847844124e-05,5.4081203415989876e-05
1756845551,3,0,2300,2150,0.9347826086956522,safe,0.0,1.3898126780986786e-05,9.910506196320057e-05
1756845552,3,0,2402,2400,0.9991673605328892,safe,0.0,1.3129785656929016e-05,0.0007262809667736292
1756845553,3,0,406,404,0.9950738916256158,safe,0.0,1.050485298037529e-05,0.00012847105972468853
1756845554,3,0,2300,2150,0.9347826086956522,safe,0.0,1.4101853594183922e-05,0.00011689099483191967
1756845555,3,0,64,62,0.96875,safe,0.0,1.306505873799324e-05,2.392008900642395e-05
1756845556,3,0,2300,2150,0.9347826086956522,safe,0.0,1.1484837159514427e-05,0.00012228311970829964
1756845557,3,0,122,111,0.9098360655737705,safe,0.0,1.1694850400090218e-05,8.262391202151775e-05
1756845558,3,0,444,440,0.990990990990991,safe,0.0,1.919688656926155e-05,0.000130967004224658
1756845559,3,0,19,18,0.9473684210526315,safe,0.0,1.1452939361333847e-05,2.4091918021440506e-05
1756845560,3,0,4000,4000,1.0,safe,0.0,1.443806104362011e-05,6.553414277732372e-05
1756845561,3,0,2402,2201,0.9163197335553706,safe,0.0,1.2907898053526878e-05,0.0019186788704246283
1756845562,3,0,2410,2205,0.9149377593360996,safe,0.0,1.2017088010907173e-05,9.395508095622063e-05
1756845563,3,0,19,18,0.9473684210526315,safe,0.0,1.0001007467508316e-05,2.9310816898941994e-05
1756845564,3,0,35,30,0.8571428571428571,safe,0.0,1.734192483127117e-05,3.7046149373054504e-05
1756845565,3,0,24,22,0.9166666666666666,safe,0.0,1.1930940672755241e-05,6.327591836452484e-05
1756845566,3,0,64,52,0.8125,safe,0.0,1.1453172191977501e-05,2.559390850365162e-05
1756845567,3,0,2102,2100,0.9990485252140818,safe,0.0,1.0877847671508789e-05,0.00045000785030424595
1756845568,3,0,208,204,0.9807692307692307,safe,0.0,2.039293758571148e-05,6.4115971326828e-05
1756845569,3,0,120,110,0.9166666666666666,safe,0.0,1.2516975402832031e-05,3.209500573575497e-05
1756845570,3,0,244,222,0.9098360655737705,safe,0.0,1.0735122486948967e-05,3.883405588567257e-05
1756845571,3,0,2404,2400,0.9983361064891847,safe,0.0,4.867999814450741e-05,0.0003840711433440447
1756845572,3,0,444,440,0.990990990990991,safe,0.0,1.1769821867346764e-05,0.00014074984937906265
1756845573,3,0,400,400,1.0,safe,0.0,1.2410106137394905e-05,2.126302570104599e-05
1756845574,3,0,2404,2202,0.9159733777038269,safe,0.0,1.7225975170731544e-05,0.001999170985072851
1756845575,3,0,214,210,0.9813084112149533,safe,0.0,1.0807067155838013e-05,4.1735125705599785e-05
1756845576,3,0,304,252,0.8289473684210527,safe,0.0,2.004089765250683e-05,0.00024995789863169193
1756845577,3,0,2420,2210,0.9132231404958677,safe,0.0,1.5388010069727898e-05,0.0001692690420895815
1756845578,3,0,16,14,0.875,safe,0.0,1.1282972991466522e-05,4.063919186592102e-05
1756845579,3,0,212,206,0.9716981132075472,safe,0.0,1.5192897990345955e-05,0.0004087530542165041
1756845580,3,0,406,403,0.9926108374384236,safe,0.0,1.8140999600291252e-05,0.004119624849408865
1756845581,3,0,304,252,0.8289473684210527,safe,0.0,2.081296406686306e-05,0.00018668710254132748
1756845582,3,0,242,240,0.9917355371900827,safe,0.0,1.629907637834549e-05,8.803303353488445e-05
1756845583,3,0,46,43,0.9347826086956522,safe,0.0,1.1469004675745964e-05,2.8667040169239044e-05
1756845584,3,0,2015,2010,0.9975186104218362,safe,0.0,2.1064886823296547e-05,0.004296422004699707
1756845585,3,0,54,50,0.9259259259259259,safe,0.0,2.0566163584589958e-05,4.436285234987736e-05
1756845586,3,0,54,47,0.8703703703703703,safe,0.0,1.3816868886351585e-05,5.005206912755966e-05
1756845587,3,0,200,200,1.0,safe,0.0,1.3056909665465355e-05,2.254708670079708e-05
