seeds,num_tasks,final_e2e_max,mrt,R,exceed,false_percentage,run_time_our,run_time_G
1756843571,3,328.52009834084436,283.57668281608915,0.8631943197638832,safe,0.148,2.958899995064712e-05,0.0003516309998303768
1756843572,3,44.850605189751136,38.311823534429905,0.8542097341238237,safe,0.148,1.4124999779596692e-05,2.4338999992323807e-05
1756843573,3,346.8156912823954,341.13914598125154,0.9836323861813919,safe,0.148,1.7732000287651317e-05,0.0007605119999425369
1756843574,3,1395.5945651114548,1188.2664975239081,0.8514410468695189,safe,0.148,1.7007000224111835e-05,0.0004276609997759806
1756843575,3,286.0000000000003,278.3796254444792,0.9733553337219543,safe,0.148,1.5730000086477958e-05,1.786499979061773e-05
1756843576,3,0,153.96587145998208,,,0.148,1.3001000297663268e-05,3.824300029009464e-05
1756843577,3,291.8936919976377,288.41038683175924,0.9880665281183718,safe,0.148,1.7298000329901697e-05,0.0006625500000154716
1756843578,3,1492.5524508891626,1485.3826160709655,0.995196259391805,safe,0.148,2.6851999791688286e-05,0.012852438000209077
1756843579,3,152.2458742492623,146.12390760444615,0.9597889487974364,safe,0.148,1.5004000033513876e-05,3.182399996148888e-05
1756843580,3,1231.2899867021479,1197.9573398741777,0.9729286787126018,safe,0.148,1.9801000235020183e-05,0.0012046159999954398
1756843581,3,1164.8821863339413,1155.448857929301,0.9919019034582989,safe,0.148,2.741699972830247e-05,0.01175623800008907
1756843582,3,1365.9956456787022,1363.155024080948,0.9979204753640756,safe,0.148,2.7476000013848534e-05,0.020558505000281002
1756843583,3,335.23645712338805,286.1292513573227,0.8535147215566986,safe,0.148,1.4260999705584254e-05,4.27309996666736e-05
1756843584,3,119.79760807731321,116.79760807731313,0.9749577637805257,safe,0.148,1.8153000382881146e-05,0.0014037939999980154
1756843585,3,1118.2471775814288,1115.4199936951468,0.9974717719454507,safe,0.148,2.8961000225535827e-05,0.10348458799990112
1756843586,3,0,295.8770889647511,,,0.148,1.392700005453662e-05,6.91019999976561e-05
1756843587,3,195.9119681876433,150.5671277624781,0.7685448171204415,safe,0.148,1.7081999885704136e-05,7.402199980788282e-05
1756843588,3,1306.1928296843703,1277.138065886163,0.9777561450821713,safe,0.148,1.5000000075815478e-05,0.00015278199998647324
1756843589,3,199.66251918494126,163.87520945502848,0.8207610027360013,safe,0.148,1.5206000171019696e-05,0.00018021100004261825
1756843590,3,128.22180554102175,122.22180554101502,0.9532060871028121,safe,0.148,1.622099989617709e-05,0.0005766090002907731
1756843591,3,0,154.65235042291965,,,0.148,9.048999800143065e-06,2.9970000014145626e-05
1756843592,3,3.6592884959859093,2.659288495985909,0.7267228312014864,safe,0.148,1.702899999145302e-05,1.6895000044314656e-05
1756843593,3,38.852721216396404,29.80897914757538,0.767230150535648,safe,0.148,1.446899977963767e-05,7.159500000852859e-05
1756843594,3,64.4720112583344,61.959945340246065,0.9610363339213557,safe,0.148,1.5006000012363074e-05,0.0003706239999701211
1756843595,3,19.659916729125037,13.073238370805939,0.6649691629384517,safe,0.148,1.3536000096792122e-05,2.483099979144754e-05
1756843596,3,121.58414327118635,109.5841432711862,0.9013029193022741,safe,0.148,1.735300020300201e-05,0.00026042900026368443
1756843597,3,72.97312301681174,67.60862951797813,0.9264867217263303,safe,0.148,1.674699979048455e-05,0.0001235270001416211
1756843598,3,1308.9265925906802,1293.926592590677,0.9885402282412838,safe,0.148,2.425799993943656e-05,0.005442568000034953
1756843599,3,1537.2981680431762,1336.2981680431756,0.8692511289102405,safe,0.148,2.7105999834020622e-05,0.004175499999746535
1756843600,3,297.19642841986024,277.19642841986024,0.9327044402709131,safe,0.148,1.623899970581988e-05,4.509900008997647e-05
1756843601,3,0,69.23773244242447,,,0.148,1.0134999683941714e-05,0.00018993200001204968
1756843602,3,0,2.7461767569973796,,,0.148,1.347700026599341e-05,1.4300999737315578e-05
1756843603,3,375.21561226666023,274.2156122666591,0.7308214352013106,safe,0.148,2.780800014079432e-05,0.001138187999913498
1756843604,3,80.66420232615557,67.1966415114854,0.8330416662373256,safe,0.148,1.5330000223912066e-05,4.380999962450005e-05
1756843605,3,400.69218307877185,362.0308509273233,0.9035136351940058,safe,0.148,2.0830999801546568e-05,0.00036864000003333786
1756843606,3,91.42959298769338,74.8238342014561,0.8183765426094322,safe,0.148,1.4287999874795787e-05,8.331899971381063e-05
1756843607,3,118.03900474555252,113.15881012794677,0.9586560846719641,safe,0.148,1.606599971637479e-05,0.00031341300018539187
1756843608,3,4.718020693554452,3.7180206935544513,0.7880467117564457,safe,0.148,1.316800035056076e-05,2.5443000140512595e-05
1756843609,3,35.80606595254872,23.939501132705708,0.6685878634204343,safe,0.148,1.3391000265983166e-05,3.995199995188159e-05
1756843610,3,264.20377983761614,259.8878916128475,0.9836645477690696,safe,0.148,2.7026000225305324e-05,0.0018644710003172804
1756843611,3,0,2.884873397098684,,,0.148,1.3004999800614314e-05,1.4059000022825785e-05
1756843612,3,88.07237792871976,71.72750225095211,0.81441541534173,safe,0.148,1.4195999938237946e-05,0.0003739799999493698
1756843613,3,482.0355477090585,482.0355477090585,1.0,safe,0.148,1.2707999758276856e-05,1.4305999684438575e-05
1756843614,3,14.653797276487275,11.653797276487094,0.7952749076982369,safe,0.148,1.3270000181364594e-05,4.232499986756011e-05
1756843615,3,1302.6170113858493,1280.5717698400854,0.9830761909655163,safe,0.148,2.6156000330956886e-05,0.0034167139997407503
1756843616,3,43.32702136588408,29.77728815074109,0.68726829613512,safe,0.148,1.420499984305934e-05,2.0880999727523886e-05
1756843617,3,127.72595472433392,121.72595472432789,0.9530244262964751,safe,0.148,1.4866000128677115e-05,0.0007382789999610395
1756843618,3,0,1371.8087438959983,,,0.148,2.2904000161361182e-05,0.0019207919999644218
1756843619,3,118.7714462106949,116.5678119944481,0.9814464310526483,safe,0.148,1.5501000234507956e-05,0.0011930719997508277
1756843620,3,30.90103554159188,27.901035541591174,0.9029158749077262,safe,0.148,1.4917000044079032e-05,9.253600001102313e-05
1756843621,3,20.218068247534223,12.789483578378995,0.6325769317718466,safe,0.148,1.3428000329440692e-05,2.2930999875825364e-05
1756843622,3,164.14961885480304,143.85240353107866,0.8763492997100525,safe,0.148,1.8634999833011534e-05,0.0003679679998640495
1756843623,3,366.57769077418584,333.6216335681144,0.910098028233877,safe,0.148,1.9921999864891404e-05,0.00036559799991664477
1756843624,3,9.579486074690344,6.902309706310172,0.7205302719262305,safe,0.148,1.5382000128738582e-05,4.633800017472822e-05
1756843625,3,33.35714862986916,27.478660198706265,0.8237712552595371,safe,0.148,1.4923999970051227e-05,7.872200012570829e-05
1756843626,3,248.09203868944962,222.9622101309891,0.8987076381361963,safe,0.148,1.3862999821867561e-05,0.00010587499991743243
