seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage
1755016037,3,0,302.00000000000006,271.642687924137,0.8994790990865462,safe,0.01
1755016038,3,0,444.0,267.6540713856815,0.6028244851028862,safe,0.01
1755016039,3,0,430.0,424.09587123613005,0.9862694679910001,safe,0.01
1755016040,3,0,2060.0,2047.343687950031,0.9938561591990441,safe,0.01
1755016041,3,0,2044.0,1190.7362333568115,0.5825519732665418,safe,0.01
1755016042,3,0,326.76769278302595,326.20983609353993,0.9982928034141477,safe,0.01
1755016043,3,0,510.0,482.4747937468192,0.9460290073467044,safe,0.01
1755016044,3,0,3480.0377941951383,3480.0377941951383,1.0,safe,0.01
1755016045,3,0,330.9675330664981,241.66942149772586,0.730190720698787,safe,0.01
1755016046,3,0,2220.0,2153.1503310043304,0.9698875364884371,safe,0.01
1755016047,3,0,540.0,511.10756888701735,0.9464954979389211,safe,0.01
1755016048,3,0,219.91786005739988,180.9795925317412,0.8229417678241523,safe,0.01
1755016049,3,0,106.0,76.66890445081964,0.7232915514228268,safe,0.01
1755016050,3,0,40.0,34.980176818006356,0.8745044204501589,safe,0.01
1755016051,3,0,800.0,693.7174655275735,0.8671468319094668,safe,0.01
1755016052,3,0,2006.0,2004.1191474059356,0.9990623865433378,safe,0.01
1755016053,3,0,2012.0,1443.86767871257,0.7176280709307008,safe,0.01
1755016054,3,0,214.0,208.52233426764244,0.9744034311572076,safe,0.01
1755016055,3,0,2402.0,1746.1145489578323,0.7269419437792807,safe,0.01
1755016056,3,0,414.0,321.7941155162595,0.7772804722614964,safe,0.01
1755016057,3,0,2600.0,1755.4063825162204,0.6751563009677771,safe,0.01
1755016058,3,0,78.8184694166549,78.40984135280334,0.9948155798142762,safe,0.01
1755016059,3,0,2404.0,2184.9429902656516,0.908878115751103,safe,0.01
1755016060,3,0,310.0,234.6471324213378,0.7569262336172187,safe,0.01
1755016061,3,0,34.0,24.91404528310402,0.7327660377383536,safe,0.01
1755016062,3,0,414.0,239.77468822597385,0.5791659135893088,safe,0.01
1755016063,3,0,52.0,47.60804098355679,0.9155392496837844,safe,0.01
1755016064,3,0,114.0,106.24904316658517,0.9320091505840804,safe,0.01
1755016065,3,0,2202.0,2162.169339424697,0.9819115982855117,safe,0.01
1755016066,3,0,18.975446717072526,18.029136045870313,0.9501297289433086,safe,0.01
1755016067,3,0,2102.0,1237.0776416918168,0.58852409214644,safe,0.01
1755016068,3,0,2104.0,1876.3506939574013,0.8918016606261413,safe,0.01
1755016069,3,0,2300.0,2004.9635354497905,0.8717232762825176,safe,0.01
1755016070,3,0,414.0,409.6382738562179,0.9894644296043911,safe,0.01
1755016071,3,0,2500.0,2064.967076301218,0.8259868305204873,safe,0.01
1755016072,3,0,106.0,104.74846790226037,0.9881930934175507,safe,0.01
1755016073,3,0,34.0,30.820479750871744,0.9064846985550513,safe,0.01
1755016074,3,0,450.0,395.9036937039898,0.8797859860088663,safe,0.01
1755016075,3,0,861.7899775350487,779.5598944899731,0.9045822239888704,safe,0.01
1755016076,3,0,442.0,425.29244267991544,0.9622000965608947,safe,0.01
1755016077,3,0,1013.5949650874493,1013.5949650874495,1.0000000000000002,safe,0.01
1755016078,3,0,450.0,398.8145690262615,0.8862545978361367,safe,0.01
1755016079,3,0,124.0,110.6739683829023,0.8925320030879218,safe,0.01
1755016080,3,0,2004.0,1262.0280757733572,0.6297545288290205,safe,0.01
1755016081,3,0,2024.0,1225.5517550910095,0.6055097604204592,safe,0.01
1755016082,3,0,214.0,211.13335379430436,0.9866044569827306,safe,0.01
1755016083,3,0,158.28982021214117,141.13553856235725,0.8916273855969157,safe,0.01
1755016084,3,0,224.0,215.53222088496375,0.9621974146650167,safe,0.01
1755016085,3,0,406.0,388.89366922980844,0.9578661803689863,safe,0.01
1755016086,3,0,2006.0,2003.9382987203867,0.9989722326622067,safe,0.01
1755016087,3,0,240.0,193.7194650253231,0.8071644376055129,safe,0.01
1755016088,3,0,2440.0,2321.022940007275,0.9512389098390471,safe,0.01
1755016089,3,0,2420.0,2293.0632559045725,0.9475467999605671,safe,0.01
1755016090,3,0,345.0885316137546,345.0885316137545,0.9999999999999999,safe,0.01
1755016091,3,0,2440.0,2373.823952643823,0.9728786691163208,safe,0.01
1755016092,3,0,414.0,350.51522302900804,0.8466551280893914,safe,0.01
1755016093,3,0,2440.0,2266.2755248236404,0.9288014445998526,safe,0.01
1755016094,3,0,2024.0,1071.8707263060514,0.5295803983725551,safe,0.01
1755016095,3,0,0,4068.1589648119443,,,0.01
1755016096,3,0,2420.0,2084.7393994297818,0.8614625617478437,safe,0.01
1755016097,3,0,2044.0,1212.0716789514224,0.5929900581954122,safe,0.01
1755016098,3,0,3142.50162262495,2665.9994151551964,0.8483685086941248,safe,0.01
1755016099,3,0,510.0,467.49360762946975,0.9166541326068034,safe,0.01
1755016100,3,0,2220.0,2118.5857414709617,0.9543179015634963,safe,0.01
1755016101,3,0,89.64808577701659,89.34557511938996,0.9966255759394678,safe,0.01
1755016102,3,0,2120.0,1470.454530986318,0.693610627823735,safe,0.01
1755016103,3,0,2040.0,2024.9138268098131,0.9926048170636339,safe,0.01
1755016104,3,0,502.0,477.1553058949982,0.9505085774800761,safe,0.01
1755016105,3,0,406.0,265.7464614673806,0.6545479346487206,safe,0.01
1755016106,3,0,3342.5821435885823,3342.5821435885823,1.0,safe,0.01
1755016107,3,0,414.0,278.2084320247246,0.6720010435379821,safe,0.01
1755016108,3,0,510.0,489.92337037742664,0.9606340595635816,safe,0.01
1755016109,3,0,2613.0851157660554,2005.0621984106792,0.7673160687775272,safe,0.01
1755016110,3,0,304.0,189.07283322803247,0.6219501093027384,safe,0.01
1755016111,3,0,183.26384911220362,174.43682229665188,0.9518343259823853,safe,0.01
1755016112,3,0,620.0,569.7108754616158,0.9188885088090578,safe,0.01
1755016113,3,0,2240.0,2057.068191580748,0.9183340140985483,safe,0.01
1755016114,3,0,160.0,123.92971377407193,0.7745607110879495,safe,0.01
1755016115,3,0,304.0,270.18882458719304,0.8887790282473456,safe,0.01
1755016116,3,0,122.0,118.24452900653712,0.9692174508732551,safe,0.01
1755016117,3,0,212.0,160.84370034125905,0.7586966997229201,safe,0.01
1755016118,3,0,260.0,240.17533554956987,0.9237512905752687,safe,0.01
1755016119,3,0,2012.0,1578.3552819550457,0.7844708160810366,safe,0.01
1755016120,3,0,2014.0,2010.9946872629992,0.9985077891077454,safe,0.01
1755016121,3,0,400.0,372.51647631747545,0.9312911907936886,safe,0.01
1755016122,3,0,2022.0,1791.2358630313272,0.8858733249413092,safe,0.01
