seeds,num_tasks,per_jitter,final_e2e_max,let,R,exceed,false_percentage,run_time_our,run_time_G
1756826751,3,0,424,412,0.9716981132075472,safe,0.0,2.8455164283514023e-05,0.00046331691555678844
1756826752,3,0,2012,2006,0.9970178926441352,safe,0.0,1.2054108083248138e-05,0.016429201001301408
1756826753,3,0,4000,3020,0.755,safe,0.0,1.299707219004631e-05,0.0001510388683527708
1756826754,3,0,2102,2051,0.9757373929590866,safe,0.0,1.9227154552936554e-05,0.004164407029747963
1756826755,3,0,2044,2022,0.9892367906066536,safe,0.0,1.4933990314602852e-05,0.0032244401518255472
1756826756,3,0,2402,2201,0.9163197335553706,safe,0.0,1.933216117322445e-05,0.0033750999718904495
1756826757,3,0,230,215,0.9347826086956522,safe,0.0,9.881099686026573e-06,8.077197708189487e-05
1756826758,3,0,408,404,0.9901960784313726,safe,0.0,1.2958887964487076e-05,0.0015292828902602196
1756826759,3,0,450,425,0.9444444444444444,safe,0.0,1.0707182809710503e-05,0.00013609998859465122
1756826760,3,0,17,16,0.9411764705882353,safe,0.0,1.0206131264567375e-05,2.6774127036333084e-05
1756826761,3,0,310,255,0.8225806451612904,safe,0.0,1.3520009815692902e-05,7.405690848827362e-05
1756826762,3,0,108,104,0.9629629629629629,safe,0.0,1.3953074812889099e-05,0.00011599995195865631
1756826763,3,0,230,215,0.9347826086956522,safe,0.0,9.015202522277832e-06,7.898197509348392e-05
1756826764,3,0,2210,2105,0.9524886877828054,safe,0.0,1.1949799954891205e-05,0.0006358812097460032
1756826765,3,0,222,211,0.9504504504504504,safe,0.0,1.2644100934267044e-05,0.000303816981613636
1756826766,3,0,2040,2020,0.9901960784313726,safe,0.0,1.3037119060754776e-05,0.0010016011074185371
1756826767,3,0,450,425,0.9444444444444444,safe,0.0,1.1006137356162071e-05,0.00014902791008353233
1756826768,3,0,114,108,0.9473684210526315,safe,0.0,1.5698140487074852e-05,0.00011608190834522247
1756826769,3,0,212,206,0.9716981132075472,safe,0.0,1.075095497071743e-05,0.00039686099626123905
1756826770,3,0,260,230,0.8846153846153846,safe,0.0,1.5869969502091408e-05,8.038198575377464e-05
1756826771,3,0,304,252,0.8289473684210527,safe,0.0,1.216912642121315e-05,0.0001465918030589819
1756826772,3,0,214,208,0.9719626168224299,safe,0.0,1.0347925126552582e-05,0.0002046399749815464
1756826773,3,0,2202,2101,0.9541326067211626,safe,0.0,2.0595965906977654e-05,0.0073271580040454865
1756826774,3,0,62,51,0.8225806451612904,safe,0.0,1.6279984265565872e-05,7.707090117037296e-05
1756826775,3,0,200,200,1.0,safe,0.0,1.2348871678113937e-05,2.0581064745783806e-05
1756826776,3,0,222,211,0.9504504504504504,safe,0.0,1.4219898730516434e-05,0.00029989704489707947
1756826777,3,0,2014,2008,0.997020854021847,safe,0.0,1.536100171506405e-05,0.014074628939852118
1756826778,3,0,230,215,0.9347826086956522,safe,0.0,1.819501630961895e-05,0.0001254100352525711
