seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,ratios
100,3,0,2746.017370423793,2544.182010943595,0.9264988773727061,safe,0.0,1.0
101,3,0,5035.9833634570605,4901.0375201005245,0.9732036757039841,safe,0.0,1.0
102,3,0,2956.333594795352,2636.9645285889046,0.8919712353271975,safe,0.0,1.0
103,3,0,5922.6352933259195,4781.969561486342,0.807405711250705,safe,0.0,1.0
104,3,0,5895.783417924318,4849.331309950219,0.8225083871309311,safe,0.0,1.0
105,3,0,5635.430471802314,5098.804070167294,0.9047763246623116,safe,0.0,1.0
106,3,0,5108.601340894991,4886.5674332542985,0.9565372412477593,safe,0.0,1.0
107,3,0,3602.5056881776063,3302.3084889492734,0.9166698889016347,safe,0.0,1.0
108,3,0,3655.537280195548,2763.758274765753,0.7560470767837195,safe,0.0,1.0
109,3,0,2575.6133269233524,2417.836295447166,0.9387419571769898,safe,0.0,1.0
100,3,0.02,2773.4775441280312,2719.367922471977,0.9804903335991978,safe,0.4,1.0
101,3,0.02,0,4921.390090835805,,,0.4,1.0
102,3,0.02,2985.896930743306,2876.685484842397,0.9634242412132685,safe,0.4,1.0
103,3,0.02,0,5876.250482611697,,,0.4,1.0
104,3,0.02,0,5795.76068839626,,,0.4,1.0
105,3,0.02,0,5529.672522780216,,,0.4,1.0
106,3,0.02,5159.687354303941,5045.966035253903,0.9779596492498372,safe,0.4,1.0
107,3,0.02,3638.5307450593823,3553.787953547141,0.976709612354572,safe,0.4,1.0
108,3,0.02,3692.092652997503,3636.2322810880796,0.9848702681217731,safe,0.4,1.0
109,3,0.02,2601.3694601925863,2563.9230515847867,0.9856051171581651,safe,0.4,1.0
100,3,0.05,2814.667804684388,2677.9595862869746,0.9514300699464807,safe,0.6,1.0
101,3,0.05,0,5023.378935957888,,,0.6,1.0
102,3,0.05,3030.241934665236,2901.2569345778243,0.9574340917760215,safe,0.6,1.0
103,3,0.05,0,5902.898835165416,,,0.6,1.0
104,3,0.05,0,5811.958327721486,,,0.6,1.0
105,3,0.05,0,5530.098289364367,,,0.6,1.0
106,3,0.05,0,5077.319447745143,,,0.6,1.0
107,3,0.05,3692.5683303820465,3571.3430901664515,0.9671704815268638,safe,0.6,1.0
108,3,0.05,0,3654.6761884735424,,,0.6,1.0
109,3,0.05,2640.003660096436,2559.263536512006,0.9694166622551271,safe,0.6,1.0
100,3,0.1,2883.318238944983,2729.1445261698964,0.9465290682475967,safe,0.8,1.0
101,3,0.1,0,4955.4460999270905,,,0.8,1.0
102,3,0.1,0,2970.603640207089,,,0.8,1.0
103,3,0.1,0,5950.527326725384,,,0.8,1.0
104,3,0.1,0,5909.001916058029,,,0.8,1.0
105,3,0.1,0,5652.314248735551,,,0.8,1.0
106,3,0.1,0,5110.2145801923,,,0.8,1.0
107,3,0.1,3782.630972586486,3536.4992150457447,0.9349310679988322,safe,0.8,1.0
108,3,0.1,0,3730.6878332155575,,,0.8,1.0
109,3,0.1,0,2565.538905445659,,,0.8,1.0
100,3,0.2,3020.6191074661724,2720.890249832074,0.9007723758042688,safe,0.8,1.0
101,3,0.2,0,5209.031824101847,,,0.8,1.0
102,3,0.2,0,2945.575257920325,,,0.8,1.0
103,3,0.2,0,6063.553060179042,,,0.8,1.0
104,3,0.2,0,6118.165756654564,,,0.8,1.0
105,3,0.2,0,5849.281331786042,,,0.8,1.0
106,3,0.2,0,5060.151805054727,,,0.8,1.0
107,3,0.2,3962.7562569953675,3556.6990145642458,0.8975316128226868,safe,0.8,1.0
108,3,0.2,0,3717.748906114837,,,0.8,1.0
109,3,0.2,0,2627.281797660734,,,0.8,1.0
100,3,0.3,0,2879.2993589820026,,,1.0,1.0
101,3,0.3,0,5087.7200232081905,,,1.0,1.0
102,3,0.3,0,3006.461248044266,,,1.0,1.0
103,3,0.3,0,6102.996377619832,,,1.0,1.0
104,3,0.3,0,6177.811377567925,,,1.0,1.0
105,3,0.3,0,5823.0628390592465,,,1.0,1.0
106,3,0.3,0,5202.764180120455,,,1.0,1.0
107,3,0.3,0,3600.4526692212357,,,1.0,1.0
108,3,0.3,0,3757.9542419774225,,,1.0,1.0
109,3,0.3,0,2627.3453433430313,,,1.0,1.0
100,3,0.4,0,2877.968705172795,,,1.0,1.0
101,3,0.4,0,5360.379981593382,,,1.0,1.0
102,3,0.4,0,3099.873609395108,,,1.0,1.0
103,3,0.4,0,6259.234106877576,,,1.0,1.0
104,3,0.4,0,6165.707924560267,,,1.0,1.0
105,3,0.4,0,6174.588737111131,,,1.0,1.0
106,3,0.4,0,5382.452010537276,,,1.0,1.0
107,3,0.4,0,3935.7961286635664,,,1.0,1.0
108,3,0.4,0,3847.6402834383116,,,1.0,1.0
109,3,0.4,0,2757.523590366427,,,1.0,1.0
100,3,0.5,0,2834.296668287966,,,1.0,1.0
101,3,0.5,0,5382.562035129842,,,1.0,1.0
102,3,0.5,0,3074.775335801401,,,1.0,1.0
103,3,0.5,0,6491.044718663169,,,1.0,1.0
104,3,0.5,0,6369.800119766254,,,1.0,1.0
105,3,0.5,0,5891.568348804023,,,1.0,1.0
106,3,0.5,0,5618.035548840195,,,1.0,1.0
107,3,0.5,0,3995.688402991186,,,1.0,1.0
108,3,0.5,0,3912.8826607591654,,,1.0,1.0
109,3,0.5,0,2837.898285967194,,,1.0,1.0
100,5,0,8975.422607969002,6809.255016212114,0.7586556437093431,safe,0.0,1.0
101,5,0,9544.278222263927,7211.231777891021,0.7555554867490544,safe,0.0,1.0
102,5,0,9931.302114693306,8334.528727435878,0.8392181237850965,safe,0.0,1.0
103,5,0,7526.826329539295,6034.606768840579,0.801746513687655,safe,0.0,1.0
104,5,0,9725.610596645325,7161.206686339722,0.7363246363996778,safe,0.0,1.0
105,5,0,6627.1329035668605,4079.5364820077766,0.6155809067616684,safe,0.0,1.0
106,5,0,8316.933691575172,6140.055953659743,0.7382595775507328,safe,0.0,1.0
107,5,0,9700.677501893886,7200.847790039615,0.7423035956647127,safe,0.0,1.0
108,5,0,9479.529532276008,7075.174319972198,0.7463634451353904,safe,0.0,1.0
109,5,0,8828.402344507325,6835.644170515352,0.7742787317309131,safe,0.0,1.0
100,5,0.02,0,8456.708246659264,,,1.0,1.0
101,5,0.02,0,9195.18476513958,,,1.0,1.0
102,5,0.02,0,9221.23406437884,,,1.0,1.0
103,5,0.02,0,7402.698747299885,,,1.0,1.0
104,5,0.02,0,9165.874303166513,,,1.0,1.0
105,5,0.02,0,5697.302353882743,,,1.0,1.0
106,5,0.02,0,7809.908674287213,,,1.0,1.0
107,5,0.02,0,9243.303609345709,,,1.0,1.0
108,5,0.02,0,9011.603967488729,,,1.0,1.0
109,5,0.02,0,8266.8083968671,,,1.0,1.0
100,5,0.05,0,8734.323285123808,,,1.0,1.0
101,5,0.05,0,9180.659015305311,,,1.0,1.0
102,5,0.05,0,9273.45048360888,,,1.0,1.0
103,5,0.05,0,7248.882857078815,,,1.0,1.0
104,5,0.05,0,9373.51801704712,,,1.0,1.0
105,5,0.05,0,5817.125857856753,,,1.0,1.0
106,5,0.05,0,7869.827131222857,,,1.0,1.0
107,5,0.05,0,9209.737777085906,,,1.0,1.0
108,5,0.05,0,9118.226689939082,,,1.0,1.0
109,5,0.05,0,8323.140120207247,,,1.0,1.0
100,5,0.1,0,8490.553691268442,,,1.0,1.0
101,5,0.1,0,9117.223691653999,,,1.0,1.0
102,5,0.1,0,9334.595863874963,,,1.0,1.0
103,5,0.1,0,7182.948503013879,,,1.0,1.0
104,5,0.1,0,9450.789109819138,,,1.0,1.0
105,5,0.1,0,5777.968407763612,,,1.0,1.0
106,5,0.1,0,7786.79316557066,,,1.0,1.0
107,5,0.1,0,9365.71394172392,,,1.0,1.0
108,5,0.1,0,9037.891360215537,,,1.0,1.0
109,5,0.1,0,8315.29713223901,,,1.0,1.0
100,5,0.2,0,8654.647267442904,,,1.0,1.0
101,5,0.2,0,9260.173496282994,,,1.0,1.0
102,5,0.2,0,9441.862922190825,,,1.0,1.0
103,5,0.2,0,7143.918752584327,,,1.0,1.0
104,5,0.2,0,9411.815459086827,,,1.0,1.0
105,5,0.2,0,6434.929195974112,,,1.0,1.0
106,5,0.2,0,7959.154163292475,,,1.0,1.0
107,5,0.2,0,9566.378041821485,,,1.0,1.0
108,5,0.2,0,9241.680031484619,,,1.0,1.0
109,5,0.2,0,8475.348103883794,,,1.0,1.0
100,5,0.3,0,8600.72352451116,,,1.0,1.0
101,5,0.3,0,9644.563917459702,,,1.0,1.0
102,5,0.3,0,10084.959942172156,,,1.0,1.0
103,5,0.3,0,7338.66866295489,,,1.0,1.0
104,5,0.3,0,9502.857601662783,,,1.0,1.0
105,5,0.3,0,6667.513538263601,,,1.0,1.0
106,5,0.3,0,8132.244308610108,,,1.0,1.0
107,5,0.3,0,9754.161525051135,,,1.0,1.0
108,5,0.3,0,9474.343569348552,,,1.0,1.0
109,5,0.3,0,8452.546453602556,,,1.0,1.0
100,5,0.4,0,8867.291561123808,,,1.0,1.0
101,5,0.4,0,9391.19106405227,,,1.0,1.0
102,5,0.4,0,9877.68199034561,,,1.0,1.0
103,5,0.4,0,7439.033506737874,,,1.0,1.0
104,5,0.4,0,9819.556679497624,,,1.0,1.0
105,5,0.4,0,6442.054073693421,,,1.0,1.0
106,5,0.4,0,8238.905109792959,,,1.0,1.0
107,5,0.4,0,9523.602921120368,,,1.0,1.0
108,5,0.4,0,9757.089471418367,,,1.0,1.0
109,5,0.4,0,8636.524131266939,,,1.0,1.0
100,5,0.5,0,9222.55781757457,,,1.0,1.0
101,5,0.5,0,9624.130937976384,,,1.0,1.0
102,5,0.5,0,10156.585534518896,,,1.0,1.0
103,5,0.5,0,7760.342198252766,,,1.0,1.0
104,5,0.5,0,9621.543039757094,,,1.0,1.0
105,5,0.5,0,6897.309436550766,,,1.0,1.0
106,5,0.5,0,8175.150984341173,,,1.0,1.0
107,5,0.5,0,9827.325695575226,,,1.0,1.0
108,5,0.5,0,9729.555270312805,,,1.0,1.0
109,5,0.5,0,8811.200533371428,,,1.0,1.0
100,8,0,13019.04455507843,9917.360454862668,0.7617579318440948,safe,0.0,1.0
101,8,0,15749.29013893433,12124.47207395373,0.7698424479450302,safe,0.0,1.0
102,8,0,15359.980748721744,12105.152994565988,0.7880968858358353,safe,0.0,1.0
103,8,0,11749.01559676057,7900.55155359106,0.6724437029234512,safe,0.0,1.0
104,8,0,13796.512099311736,10875.574104078545,0.7882843160497857,safe,0.0,1.0
105,8,0,14915.31736457275,12410.828891948237,0.832086142627227,safe,0.0,1.0
106,8,0,14885.65360821591,12401.850052196649,0.8331411155067882,safe,0.0,1.0
107,8,0,15827.913463859737,12535.375174982393,0.7919790061782132,safe,0.0,1.0
108,8,0,12853.126914732906,10233.772895085807,0.7962088107412475,safe,0.0,1.0
109,8,0,15355.88905126439,12429.659324245244,0.8094392504888407,safe,0.0,1.0
100,8,0.02,0,11026.38598349181,,,1.0,1.0
101,8,0.02,0,13648.469769523419,,,1.0,1.0
102,8,0.02,0,12877.724934794216,,,1.0,1.0
