seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,davare_e2e,duerr_e2e,r_davare,r_duerr
1754657734,3,0,18.0,16.02175260115217,0.8900973667306761,safe,0.0,18.0,18.0,1.0,1.0
1754657735,3,0,2014.0,1083.277342871928,0.5378735565401828,safe,0.0,2014.0,2014.0,1.0,1.0
1754657734,3,0.02,18.180000000000003,16.05931843282997,0.8833508488905372,safe,0.0,18.18,18.18,0.9999999999999998,0.9999999999999998
1754657735,3,0.02,2034.14,2012.2992667136637,0.9892629153911056,safe,0.0,2034.1399999999999,2034.1399999999999,0.9999999999999999,0.9999999999999999
1754657734,3,0.05,18.449999999999996,17.066709966732844,0.9250249304462248,safe,0.0,18.45,18.449999999999996,1.0000000000000002,1.0
1754657735,3,0.05,2064.35,2032.2003918398195,0.9844262803496595,safe,0.0,2064.35,2064.35,1.0,1.0
1754657734,3,0.1,0,17.178445329162287,,,0.5,18.9,18.9,1.0000000000000002,1.0
1754657735,3,0.1,2114.7,2055.16860869136,0.9718487769855584,safe,0.5,2114.7,2114.7,1.0,1.0
1754657734,3,0.2,0,17.361473041300655,,,0.5,19.8,19.799999999999997,1.0000000000000002,1.0
1754657735,3,0.2,2215.4,2159.6586222957144,0.9748391361811476,safe,0.5,2215.4,2215.4,1.0,1.0
1754657734,3,0.3,0,18.317986493355875,,,0.5,20.700000000000003,20.700000000000003,1.0000000000000002,1.0
1754657735,3,0.3,2316.1,2202.7383166811355,0.9510549271107187,safe,0.5,2316.1,2316.1,1.0,1.0
1754657734,3,0.4,0,18.720466208722883,,,0.5,21.6,21.6,1.0000000000000002,1.0
1754657735,3,0.4,2416.8,2334.224596105929,0.9658327524436977,safe,0.5,2416.8,2416.8,1.0,1.0
1754657734,3,0.5,0,19.592021911925713,,,0.5,22.5,22.5,1.0000000000000002,1.0
1754657735,3,0.5,2517.5,2365.8547607509813,0.9397635593846996,safe,0.5,2517.5,2517.5,1.0,1.0
1754657734,5,0,2038.0,1267.961677057601,0.6221598022853784,safe,0.0,2038.0,2038.0,1.0,1.0
1754657735,5,0,522.0,499.7816861455927,0.9574361803555416,safe,0.0,522.0,522.0,1.0,1.0
1754657734,5,0.02,2058.38,2032.307347269923,0.9873334113574378,safe,0.0,2058.38,2058.38,1.0,1.0
1754657735,5,0.02,527.22,500.12942510683206,0.9486161850969842,safe,0.0,527.2199999999999,527.2199999999999,0.9999999999999998,0.9999999999999998
1754657734,5,0.05,2088.95,2040.5831631111275,0.9768463405591937,safe,0.0,2088.95,2088.95,1.0,1.0
1754657735,5,0.05,535.0500000000001,500.65619307257293,0.9357185180311614,safe,0.0,535.05,535.05,0.9999999999999998,0.9999999999999998
1754657734,5,0.1,2139.9,2084.4129175854523,0.9740702451448443,safe,0.0,2139.9,2139.9,1.0,1.0
1754657735,5,0.1,548.0999999999999,520.5745906602824,0.9497803150160236,safe,0.0,548.1,548.1,1.0000000000000002,1.0000000000000002
1754657734,5,0.2,2241.8,2168.2929813147284,0.9672107151907968,safe,0.0,2241.8,2241.8,1.0,1.0
1754657735,5,0.2,574.1999999999999,541.84571647353,0.9436532853945143,safe,0.0,574.2,574.2,1.0000000000000002,1.0000000000000002
1754657734,5,0.3,2343.7,2196.535763050236,0.9372085860179358,safe,0.0,2343.7,2343.7,1.0,1.0
1754657735,5,0.3,600.3,558.7720577969594,0.930821352318773,safe,0.0,600.3,600.3,1.0,1.0
1754657734,5,0.4,0,2310.636962683103,,,0.5,2445.6,2445.6,1.0,1.0
1754657735,5,0.4,626.4000000000001,581.0033214681862,0.9275276524077045,safe,0.5,626.4,626.4,0.9999999999999998,0.9999999999999998
1754657734,5,0.5,0,2435.018645463133,,,1.0,2547.5,2547.5,1.0,1.0
1754657735,5,0.5,0,597.3112720947684,,,1.0,652.5,652.5,0.9999999999999998,0.9999999999999998
1754657734,8,0,1035.624769753461,864.553898627821,0.8348138475228197,safe,0.5,1124.0,1124.0,1.0853351839658851,1.0853351839658851
1754657735,8,0,0,512.7119601403697,,,0.5,674.0,674.0,0.9999999999999998,0.9999999999999998
1754657734,8,0.02,1042.4647697534608,926.4505164745733,0.8887115836957018,safe,0.5,1135.24,1135.24,1.0889960341474947,1.0889960341474947
1754657735,8,0.02,0,514.4969626115708,,,0.5,680.74,680.74,0.9999999999999998,0.9999999999999998
1754657734,8,0.05,1052.7247697534608,929.1976734518194,0.8826596468034371,safe,0.5,1152.1,1152.1000000000001,1.0943981115499086,1.0943981115499088
1754657735,8,0.05,0,517.536841392197,,,0.5,690.85,690.85,0.9999999999999998,0.9999999999999998
1754657734,8,0.1,1069.824769753461,1033.7646955455202,0.9662934760650095,safe,0.5,1180.2,1180.2,1.103171316805438,1.103171316805438
1754657735,8,0.1,0,622.0013058601835,,,0.5,707.7,707.7,0.9999999999999998,0.9999999999999998
1754657734,8,0.2,1104.024769753461,1042.44914167345,0.9442262259262884,safe,0.5,1236.4,1236.4,1.1199024096860615,1.1199024096860615
1754657735,8,0.2,0,632.1753608970976,,,0.5,741.4,741.4,0.9999999999999998,0.9999999999999998
1754657734,8,0.3,0,1050.4629041492444,,,1.0,1292.6,1292.6,1.1199024096860615,1.1199024096860615
1754657735,8,0.3,0,639.0867050586676,,,1.0,775.1,775.1,0.9999999999999998,0.9999999999999998
1754657734,8,0.4,0,1056.6949540489168,,,1.0,1348.8,1348.8,1.1199024096860615,1.1199024096860615
1754657735,8,0.4,0,652.1664533055882,,,1.0,808.8,808.8,0.9999999999999998,0.9999999999999998
1754657734,8,0.5,0,1070.1979199979323,,,1.0,1405.0,1405.0,1.1199024096860615,1.1199024096860615
1754657735,8,0.5,0,659.1962417802642,,,1.0,842.5,842.5,0.9999999999999998,0.9999999999999998
1754657734,10,0,706.4470597953681,443.3122215634012,0.6275236274489026,safe,0.0,714.0,714.0,1.0106914454521472,1.0106914454521472
1754657735,10,0,3150.0,2728.3573019691858,0.8661451752283129,safe,0.0,3150.0,3150.0,1.0,1.0
1754657734,10,0.02,713.1270597953682,609.1402675495685,0.8541819570335213,safe,0.0,721.14,721.14,1.0112363429413702,1.0112363429413702
1754657735,10,0.02,3181.4999999999995,2948.619746004115,0.9268017432041852,safe,0.0,3181.4999999999995,3181.4999999999995,1.0,1.0
1754657734,10,0.05,723.1470597953681,612.8731976034508,0.8475083861599022,safe,0.0,731.85,731.8500000000001,1.01203481378614,1.0120348137861401
1754657735,10,0.05,3228.75,2948.7408192232006,0.9132762893451647,safe,0.0,3228.75,3228.75,1.0,1.0
1754657734,10,0.1,739.8470597953682,621.869717748139,0.8405382024767928,safe,0.0,749.7,749.6999999999999,1.0133175364748452,1.0133175364748452
1754657735,10,0.1,3307.5,3023.8456743307543,0.9142390549752847,safe,0.0,3307.5,3307.5,1.0,1.0
1754657734,10,0.2,0,648.0596394701224,,,0.5,785.4,785.3999999999999,1.0133175364748452,1.0133175364748452
1754657735,10,0.2,3465.0,3180.9653971742155,0.9180275316520102,safe,0.5,3465.0,3465.0,1.0,1.0
1754657734,10,0.3,0,751.7662874676039,,,1.0,821.1,821.1000000000001,1.0133175364748452,1.0133175364748452
1754657735,10,0.3,0,3205.6664449465025,,,1.0,3622.5,3622.5,1.0,1.0
1754657734,10,0.4,0,743.9283741528743,,,1.0,856.8000000000001,856.8,1.0133175364748452,1.0133175364748452
