seeds,num_tasks,final_e2e_max,letG2023,R,exceed,false_percentage,run_time_our,run_time_G
1755017010,3,64,52,0.8125,safe,0.0,0.00025642400032666046,0.00013223899986769538
1755017011,3,422,411,0.9739336492890995,safe,0.0,1.8155000361730345e-05,0.001059288999385899
1755017012,3,114,108,0.9473684210526315,safe,0.0,3.651299994089641e-05,0.0005202339998504613
1755017013,3,214,208,0.9719626168224299,safe,0.0,3.483399996184744e-05,0.0006776789996365551
1755017014,3,540,480,0.8888888888888888,safe,0.0,2.9832999643986113e-05,0.00015424599951074924
1755017015,3,2015,2010,0.9975186104218362,safe,0.0,2.7037000108975917e-05,0.0063387640002474654
1755017016,3,160,150,0.9375,safe,0.0,3.2173000363400206e-05,0.00011124999946332537
1755017017,3,4000,3050,0.7625,safe,0.0,4.99400011904072e-05,0.00026549299946054816
1755017018,3,170,160,0.9411764705882353,safe,0.0,2.6657000489649363e-05,7.021299825282767e-05
1755017019,3,2204,2102,0.9537205081669692,safe,0.0,2.6732999685918912e-05,0.0029528289996960666
1755017020,3,602,501,0.8322259136212624,safe,0.0,3.0904000595910475e-05,0.0016732219992263708
1755017021,3,64,52,0.8125,safe,0.0,2.6449999495525844e-05,0.00013050199959252495
1755017022,3,412,406,0.9854368932038835,safe,0.0,3.1972000215318985e-05,0.0028894610004499555
1755017023,3,2024,2012,0.9940711462450593,safe,0.0,5.798299935122486e-05,0.011561994999283343
1755017024,3,602,501,0.8322259136212624,safe,0.0,2.4163999114534818e-05,0.0012024359984934563
1755017025,3,444,422,0.9504504504504504,safe,0.0,2.9937998988316394e-05,0.0007524700013163965
1755017026,3,424,412,0.9716981132075472,safe,0.0,2.684900027816184e-05,0.0010757439995359164
1755017027,3,32,26,0.8125,safe,0.0,3.026200101885479e-05,0.00014616400039813016
1755017028,3,70,55,0.7857142857142857,safe,0.0,2.6920000891550444e-05,8.461699871986639e-05
1755017029,3,440,420,0.9545454545454546,safe,0.0,3.087899858655874e-05,0.00018094300139637198
1755017030,3,620,510,0.8225806451612904,safe,0.0,1.8758000805974007e-05,0.00011232299948460422
1755017031,3,64,52,0.8125,safe,0.0,2.1486999685293995e-05,7.826000000932254e-05
1755017032,3,180,150,0.8333333333333334,safe,0.0,2.3816999600967392e-05,7.030300002952572e-05
1755017033,3,34,28,0.8235294117647058,safe,0.0,2.359000063734129e-05,9.265200060326606e-05
1755017034,3,2044,2022,0.9892367906066536,safe,0.0,2.4683000447112136e-05,0.00557896099962818
1755017035,3,2050,2025,0.9878048780487805,safe,0.0,3.658400055428501e-05,0.003503994999846327
1755017036,3,260,230,0.8846153846153846,safe,0.0,2.2557000193046406e-05,9.390599916514475e-05
1755017037,3,2014,2008,0.997020854021847,safe,0.0,3.652800114650745e-05,0.022726712999428855
1755017038,3,406,403,0.9926108374384236,safe,0.0,1.5812000128789805e-05,0.0029184559989516856
1755017039,3,2044,2022,0.9892367906066536,safe,0.0,2.4933000531746075e-05,0.00840079599947785
1755017040,3,700,550,0.7857142857142857,safe,0.0,3.2206000469159335e-05,0.00012312200124142691
1755017041,3,222,211,0.9504504504504504,safe,0.0,2.3337001039180905e-05,0.0005265420004434418
1755017042,3,70,55,0.7857142857142857,safe,0.0,2.7292000595480204e-05,6.98790008755168e-05
1755017043,3,2200,2100,0.9545454545454546,safe,0.0,2.816900087054819e-05,0.0002613140004541492
1755017044,3,2060,2030,0.9854368932038835,safe,0.0,3.019900032086298e-05,0.0015343190007115481
1755017045,3,2042,2021,0.9897159647404505,safe,0.0,2.5143999664578587e-05,0.014935515999241034
1755017046,3,62,51,0.8225806451612904,safe,0.0,2.033300006587524e-05,0.0001212699989991961
1755017047,3,142,131,0.9225352112676056,safe,0.0,2.3167000108514912e-05,0.0007729240005573956
1755017048,3,3010,3005,0.9983388704318937,safe,0.0,2.8989999918849207e-05,0.00118829600069148
1755017049,3,2220,2110,0.9504504504504504,safe,0.0,2.680100078578107e-05,0.0008555929998692591
1755017050,3,32,31,0.96875,safe,0.0,2.733100154728163e-05,7.950899998832028e-05
1755017051,3,160,140,0.875,safe,0.0,1.889099985419307e-05,7.210600051621441e-05
1755017052,3,32,26,0.8125,safe,0.0,2.7828000384033658e-05,8.86309990164591e-05
1755017053,3,260,230,0.8846153846153846,safe,0.0,3.0105999030638486e-05,0.0001295889996981714
1755017054,3,130,115,0.8846153846153846,safe,0.0,2.8328999178484082e-05,0.00010536700028751511
1755017055,3,800,602,0.7525,safe,0.0,2.4327000573975965e-05,0.00045268900066730566
1755017056,3,2006,2003,0.9985044865403788,safe,0.0,3.269099943281617e-05,0.10203346900016186
1755017057,3,144,132,0.9166666666666666,safe,0.0,2.0613999367924407e-05,0.0002647500004968606
1755017058,3,280,240,0.8571428571428571,safe,0.0,3.330400068080053e-05,0.00011319399891362991
1755017059,3,2014,2008,0.997020854021847,safe,0.0,3.5241999285062775e-05,0.020851459001278272
1755017060,3,7,6,0.8571428571428571,safe,0.0,2.6249999791616574e-05,6.060700070520397e-05
1755017061,3,414,408,0.9855072463768116,safe,0.0,2.3680000595049933e-05,0.0008243000011134427
1755017062,3,32,26,0.8125,safe,0.0,3.237100099795498e-05,0.0001420660009898711
1755017063,3,214,208,0.9719626168224299,safe,0.0,1.7247999494429678e-05,0.0003644699991127709
1755017064,3,206,203,0.9854368932038835,safe,0.0,3.355999979248736e-05,0.0015491519989154767
1755017065,3,2008,2004,0.99800796812749,safe,0.0,3.518499943311326e-05,0.04923045100076706
1755017066,3,540,480,0.8888888888888888,safe,0.0,3.410399949643761e-05,0.00015152499872783665
1755017067,3,2500,2250,0.9,safe,0.0,3.444800131546799e-05,0.0002711409997573355
1755017068,3,224,212,0.9464285714285714,safe,0.0,3.508999907353427e-05,0.0005163160003576195
1755017069,3,430,420,0.9767441860465116,safe,0.0,3.2379000913351774e-05,0.0001871960012067575
1755017070,3,2300,2200,0.9565217391304348,safe,0.0,3.219199970772024e-05,0.0001644120002310956
1755017071,3,604,602,0.9966887417218543,safe,0.0,2.315600067959167e-05,0.00044781599899579305
1755017072,3,2022,2011,0.9945598417408507,safe,0.0,3.332999949634541e-05,0.0164243119997991
1755017073,3,114,108,0.9473684210526315,safe,0.0,4.3849999201484025e-05,0.00029585199990833644
1755017074,3,2210,2105,0.9524886877828054,safe,0.0,3.5072000173386186e-05,0.001590163999935612
1755017075,3,106,103,0.9716981132075472,safe,0.0,2.192699867009651e-05,0.0003369330006535165
1755017076,3,224,212,0.9464285714285714,safe,0.0,2.8127000405220315e-05,0.0004520249985944247
1755017077,3,2102,2051,0.9757373929590866,safe,0.0,3.018200004589744e-05,0.011473678001493681
1755017078,3,800,600,0.75,safe,0.0,2.458199924149085e-05,8.318899926962331e-05
1755017079,3,122,111,0.9098360655737705,safe,0.0,2.737400063779205e-05,0.00036850899959972594
1755017080,3,250,225,0.9,safe,0.0,2.638300065882504e-05,0.00018630500017025042
1755017081,3,62,51,0.8225806451612904,safe,0.0,2.4142000256688334e-05,0.00016559400137339253
1755017082,3,2210,2105,0.9524886877828054,safe,0.0,3.0228999094106257e-05,0.0015591520004818449
1755017083,3,4000,3001,0.75025,safe,0.0,3.346499943290837e-05,0.006433225000364473
1755017084,3,16,15,0.9375,safe,0.0,2.3298000087379478e-05,9.130800026468933e-05
1755017085,3,302,301,0.9966887417218543,safe,0.0,3.1120000130613334e-05,0.0006172239991428796
1755017086,3,2102,2051,0.9757373929590866,safe,0.0,3.1617000786354765e-05,0.009768239000550238
1755017087,3,510,455,0.8921568627450981,safe,0.0,3.0172999686328694e-05,0.00030044500090298243
1755017088,3,212,206,0.9716981132075472,safe,0.0,2.562200097599998e-05,0.0008747419997234829
1755017089,3,2800,2400,0.8571428571428571,safe,0.0,2.8755999665008858e-05,0.00010743799975898582
1755017090,3,2050,2025,0.9878048780487805,safe,0.0,2.8816999474656768e-05,0.00300627400065423
1755017091,3,406,403,0.9926108374384236,safe,0.0,2.9083999834256247e-05,0.004056334999404498
1755017092,3,104,102,0.9807692307692307,safe,0.0,2.6780000553117134e-05,0.0006965279990254203
1755017093,3,2404,2202,0.9159733777038269,safe,0.0,2.9195998649811372e-05,0.003303962001155014
1755017094,3,115,110,0.9565217391304348,safe,0.0,2.3181000869954005e-05,0.00010599800043564755
1755017095,3,55,50,0.9090909090909091,safe,0.0,2.3630000214325264e-05,6.378299985954072e-05
1755017096,3,430,415,0.9651162790697675,safe,0.0,2.6870000510825776e-05,0.0004497560003073886
1755017097,3,260,230,0.8846153846153846,safe,0.0,2.5672999981907196e-05,0.0001142309993156232
1755017098,3,430,415,0.9651162790697675,safe,0.0,2.896699879784137e-05,0.00039480200030084234
1755017099,3,130,120,0.9230769230769231,safe,0.0,2.519200097594876e-05,8.562100083508994e-05
1755017100,3,140,120,0.8571428571428571,safe,0.0,4.139900011068676e-05,0.0001219749992742436
1755017101,3,2042,2021,0.9897159647404505,safe,0.0,5.778299964731559e-05,0.014907681999829947
1755017102,3,2410,2205,0.9149377593360996,safe,0.0,2.9512000764952973e-05,0.001360227999612107
1755017103,3,412,406,0.9854368932038835,safe,0.0,2.970200148411095e-05,0.002258349999465281
1755017104,3,14,12,0.8571428571428571,safe,0.0,2.0702000256278552e-05,7.753700083412696e-05
1755017105,3,46,43,0.9347826086956522,safe,0.0,3.091100006713532e-05,0.00020468900038395077
1755017106,3,206,203,0.9854368932038835,safe,0.0,2.9091001124470495e-05,0.0013857829999324167
1755017107,3,502,451,0.898406374501992,safe,0.0,2.961100108223036e-05,0.0013228450006863568
1755017108,3,2060,2040,0.9902912621359223,safe,0.0,2.7399999453336932e-05,0.000814950999483699
1755017109,3,2440,2220,0.9098360655737705,safe,0.0,6.019700049364474e-05,0.0004435200007719686
1755017110,3,214,208,0.9719626168224299,safe,0.0,2.5765999453142285e-05,0.00044577799963008147
1755017111,3,32,31,0.96875,safe,0.0,4.215199987811502e-05,0.00011740300033125095
1755017112,3,406,403,0.9926108374384236,safe,0.0,3.442900015215855e-05,0.004801089000466163
1755017113,3,103,102,0.9902912621359223,safe,0.0,2.9806000384269282e-05,0.0006851400012237718
1755017114,3,800,700,0.875,safe,0.0,3.334500070195645e-05,0.00012979700113646686
1755017115,3,3100,3050,0.9838709677419355,safe,0.0,2.5905999791575596e-05,0.00015986699872883037
1755017116,3,150,135,0.9,safe,0.0,2.3970000256667845e-05,0.0002067519999400247
1755017117,3,122,111,0.9098360655737705,safe,0.0,2.456599941069726e-05,0.00025585399998817593
1755017118,3,350,300,0.8571428571428571,safe,0.0,2.9519000236177817e-05,7.358199945883825e-05
1755017119,3,106,103,0.9716981132075472,safe,0.0,1.6607000361545943e-05,0.0003227819997846382
1755017120,3,2004,2002,0.999001996007984,safe,0.0,2.3536000298918225e-05,0.20160918399960792
1755017121,3,150,135,0.9,safe,0.0,2.7476000468595885e-05,0.00017469399972469546
1755017122,3,62,51,0.8225806451612904,safe,0.0,2.3194999812403694e-05,0.00015714100118202623
1755017123,3,108,104,0.9629629629629629,safe,0.0,3.133899917884264e-05,0.0002974620001623407
1755017124,3,144,132,0.9166666666666666,safe,0.0,2.6158999389735982e-05,0.00034182300078100525
1755017125,3,144,132,0.9166666666666666,safe,0.0,3.0918999982532114e-05,0.0003568960000848165
1755017126,3,62,51,0.8225806451612904,safe,0.0,2.491599843779113e-05,0.00013397600014286581
1755017127,3,2440,2220,0.9098360655737705,safe,0.0,3.391799873497803e-05,0.0004057670012116432
1755017128,3,122,111,0.9098360655737705,safe,0.0,3.532799928507302e-05,0.000474106000183383
1755017129,3,180,150,0.8333333333333334,safe,0.0,1.989900010812562e-05,6.378699981723912e-05
1755017130,3,640,520,0.8125,safe,0.0,3.018099960172549e-05,0.00015279599938367028
1755017131,3,242,221,0.9132231404958677,safe,0.0,2.431800021440722e-05,0.0004827070006285794
1755017132,3,2410,2205,0.9149377593360996,safe,0.0,2.5908000679919496e-05,0.0010204889986198395
1755017133,3,48,44,0.9166666666666666,safe,0.0,3.1867000870988704e-05,0.00011212299978069495
1755017134,3,3100,3050,0.9838709677419355,safe,0.0,3.134300095553044e-05,0.00015214700033538975
1755017135,3,16,14,0.875,safe,0.0,3.009699867106974e-05,0.00015211499885481317
1755017136,3,2220,2110,0.9504504504504504,safe,0.0,3.4589998904266395e-05,0.0006802740008424735
1755017137,3,610,505,0.8278688524590164,safe,0.0,2.2786998670198955e-05,0.0002229309993708739
1755017138,3,122,111,0.9098360655737705,safe,0.0,3.047199970751535e-05,0.0003594110003177775
1755017139,3,62,61,0.9838709677419355,safe,0.0,3.007300074386876e-05,0.00032222200024989434
1755017140,3,106,103,0.9716981132075472,safe,0.0,2.586799928394612e-05,0.000563046998649952
1755017141,3,28,24,0.8571428571428571,safe,0.0,3.360299888299778e-05,0.00011072900088038296
1755017142,3,215,210,0.9767441860465116,safe,0.0,3.9970998841454275e-05,0.00024643500000820495
1755017143,3,310,255,0.8225806451612904,safe,0.0,3.072399886150379e-05,0.00021747800019511487
1755017144,3,640,620,0.96875,safe,0.0,4.069700116815511e-05,0.00014134000048215967
1755017145,3,160,140,0.875,safe,0.0,2.112199945258908e-05,9.102300100494176e-05
1755017146,3,610,605,0.9918032786885246,safe,0.0,3.329699939058628e-05,0.00037068500023451634
1755017147,3,640,520,0.8125,safe,0.0,1.712099947326351e-05,8.483499914291315e-05
1755017148,3,206,203,0.9854368932038835,safe,0.0,3.0946999686420895e-05,0.0015021879989944864
1755017149,3,2020,2010,0.995049504950495,safe,0.0,2.5909001124091446e-05,0.005601200999080902
1755017150,3,406,403,0.9926108374384236,safe,0.0,3.1319999834522605e-05,0.00484902000061993
1755017151,3,106,103,0.9716981132075472,safe,0.0,3.796400051214732e-05,0.0005813090010633459
1755017152,3,304,252,0.8289473684210527,safe,0.0,3.246199958084617e-05,0.0004004110014648177
1755017153,3,2420,2210,0.9132231404958677,safe,0.0,3.507399924274068e-05,0.0009307560012530303
1755017154,3,2050,2025,0.9878048780487805,safe,0.0,3.597499926399905e-05,0.003469319999567233
1755017155,3,214,208,0.9719626168224299,safe,0.0,2.602600034151692e-05,0.0005725129994971212
1755017156,3,54,48,0.8888888888888888,safe,0.0,3.5529001252143644e-05,0.00012925400005769916
1755017157,3,3020,3010,0.9966887417218543,safe,0.0,4.1257999328081496e-05,0.0005013529989810195
1755017158,3,304,302,0.993421052631579,safe,0.0,1.7843000023276545e-05,0.0002438020001136465
1755017159,3,62,51,0.8225806451612904,safe,0.0,3.253999966545962e-05,0.00016264300029433798
1755017160,3,142,131,0.9225352112676056,safe,0.0,2.7244999728281982e-05,0.0006289450011536246
1755017161,3,320,260,0.8125,safe,0.0,3.1589001082465984e-05,0.00014097500024945475
1755017162,3,16,14,0.875,safe,0.0,3.104000097664539e-05,0.0001397279993398115
1755017163,3,2015,2010,0.9975186104218362,safe,0.0,3.204700078640599e-05,0.008433022001554491
1755017164,3,2240,2120,0.9464285714285714,safe,0.0,3.089699930569623e-05,0.0004575100010697497
1755017165,3,2050,2025,0.9878048780487805,safe,0.0,3.001000004587695e-05,0.0029726639986620285
1755017166,3,242,221,0.9132231404958677,safe,0.0,3.0143999538267963e-05,0.0006963260002521565
1755017167,3,2204,2102,0.9537205081669692,safe,0.0,2.873599987651687e-05,0.004251719001331367
1755017168,3,222,211,0.9504504504504504,safe,0.0,2.2955999156692997e-05,0.0007200010004453361
1755017169,3,602,501,0.8322259136212624,safe,0.0,2.660899917827919e-05,0.0012534230008895975
1755017170,3,2140,2080,0.9719626168224299,safe,0.0,4.706399886345025e-05,0.0005740080014220439
1755017171,3,510,455,0.8921568627450981,safe,0.0,2.1398000171757303e-05,0.0003079979996982729
1755017172,3,2102,2051,0.9757373929590866,safe,0.0,3.1814999601920135e-05,0.009522352998828865
1755017173,3,2104,2052,0.9752851711026616,safe,0.0,3.0888000765116885e-05,0.004788423000718467
1755017174,3,2440,2220,0.9098360655737705,safe,0.0,3.836299947579391e-05,0.00044352700024319347
1755017175,3,408,404,0.9901960784313726,safe,0.0,2.549599958001636e-05,0.002039139999396866
1755017176,3,260,240,0.9230769230769231,safe,0.0,2.5284000003011897e-05,9.213799967255909e-05
1755017177,3,800,700,0.875,safe,0.0,2.6929999876301736e-05,6.97150007908931e-05
1755017178,3,280,240,0.8571428571428571,safe,0.0,2.9490000088117085e-05,0.00011037500007660128
1755017179,3,54,48,0.8888888888888888,safe,0.0,3.1397999919136055e-05,0.0001184840002679266
1755017180,3,520,460,0.8846153846153846,safe,0.0,2.6235000404994935e-05,0.00018993999947269913
1755017181,3,2104,2052,0.9752851711026616,safe,0.0,3.078400004596915e-05,0.004842688000280759
1755017182,3,14,12,0.8571428571428571,safe,0.0,3.057899994018953e-05,8.333999903697986e-05
1755017183,3,504,452,0.8968253968253969,safe,0.0,2.735800080699846e-05,0.0007204230005299905
1755017184,3,2600,2300,0.8846153846153846,safe,0.0,3.095499960181769e-05,0.0001516899992566323
1755017185,3,16,15,0.9375,safe,0.0,2.7063999368692748e-05,0.00010891099918808322
1755017186,3,26,23,0.8846153846153846,safe,0.0,2.5393999749212526e-05,0.00012319400047999807
1755017187,3,28,24,0.8571428571428571,safe,0.0,3.312900116725359e-05,9.81640005193185e-05
1755017188,3,460,430,0.9347826086956522,safe,0.0,2.8696998924715444e-05,0.0002134690003003925
1755017189,3,2410,2205,0.9149377593360996,safe,0.0,2.614799996081274e-05,0.001382661001116503
1755017190,3,2102,2051,0.9757373929590866,safe,0.0,2.636499993968755e-05,0.009301996000431245
1755017191,3,3020,3010,0.9966887417218543,safe,0.0,2.6121999326278456e-05,0.0006758809995517367
1755017192,3,242,221,0.9132231404958677,safe,0.0,2.748199949564878e-05,0.0006612880006287014
1755017193,3,430,415,0.9651162790697675,safe,0.0,2.6810999770532362e-05,0.0003920090002793586
1755017194,3,18,15,0.8333333333333334,safe,0.0,2.513899926270824e-05,9.819299884838983e-05
1755017195,3,504,452,0.8968253968253969,safe,0.0,3.161200038448442e-05,0.0006679709986201487
1755017196,3,2140,2080,0.9719626168224299,safe,0.0,3.0249999326770194e-05,0.0006074490011087619
1755017197,3,120,110,0.9166666666666666,safe,0.0,2.8957001632079482e-05,0.00014574899978470057
1755017198,3,150,135,0.9,safe,0.0,2.415000017208513e-05,0.0001336109999101609
1755017199,3,16,14,0.875,safe,0.0,3.278599979239516e-05,0.00016968799900496379
1755017200,3,152,151,0.993421052631579,safe,0.0,2.8630998713197187e-05,0.00037471500036190264
1755017201,3,408,404,0.9901960784313726,safe,0.0,3.379600093467161e-05,0.0024377589998039184
1755017202,3,2204,2102,0.9537205081669692,safe,0.0,3.5225999454269186e-05,0.004746810000142432
1755017203,3,8,6,0.75,safe,0.0,2.828399919962976e-05,7.425900002999697e-05
1755017204,3,2044,2022,0.9892367906066536,safe,0.0,2.3178001356427558e-05,0.0070125350011949195
1755017205,3,250,225,0.9,safe,0.0,3.155000013066456e-05,0.00021716599985666107
1755017206,3,304,252,0.8289473684210527,safe,0.0,2.8117001420469023e-05,0.0004568250005831942
1755017207,3,350,300,0.8571428571428571,safe,0.0,3.104999996139668e-05,7.398599882435519e-05
1755017208,3,260,230,0.8846153846153846,safe,0.0,4.1834999137790874e-05,0.00040457000068272464
1755017209,3,2030,2015,0.9926108374384236,safe,0.0,2.9057999199721962e-05,0.003243437000492122
1755017210,3,114,108,0.9473684210526315,safe,0.0,3.6794999687117524e-05,0.0002827380012604408
1755017211,3,250,225,0.9,safe,0.0,3.162900065944996e-05,0.00019585600057325792
1755017212,3,64,62,0.96875,safe,0.0,2.9204999009380117e-05,9.742299880599603e-05
1755017213,3,2400,2200,0.9166666666666666,safe,0.0,4.094100040674675e-05,0.0001848739993874915
1755017214,3,103,102,0.9902912621359223,safe,0.0,3.3621001421124674e-05,0.0007352780012297444
1755017215,3,3400,3200,0.9411764705882353,safe,0.0,3.181899955961853e-05,7.738500062259845e-05
1755017216,3,2012,2006,0.9970178926441352,safe,0.0,2.5080998966586776e-05,0.04014456400000199
1755017217,3,2006,2004,0.9990029910269193,safe,0.0,3.708000076585449e-05,0.045327694999286905
1755017218,3,120,110,0.9166666666666666,safe,0.0,2.3720000172033906e-05,0.00010126699999091215
1755017219,3,2402,2201,0.9163197335553706,safe,0.0,3.3889999031089246e-05,0.006845465000878903
1755017220,3,2140,2080,0.9719626168224299,safe,0.0,2.4369999664486386e-05,0.00039467699934903067
1755017221,3,442,421,0.9524886877828054,safe,0.0,2.9881000955356285e-05,0.0017744779997883597
1755017222,3,620,610,0.9838709677419355,safe,0.0,3.1105000743991695e-05,0.00019544600036169868
1755017223,3,2202,2101,0.9541326067211626,safe,0.0,2.8251999538042583e-05,0.008772073000727687
1755017224,3,2300,2150,0.9347826086956522,safe,0.0,2.7489999411045574e-05,0.0002470859999448294
1755017225,3,460,440,0.9565217391304348,safe,0.0,2.1490001017809846e-05,9.418999979970977e-05
1755017226,3,2014,2008,0.997020854021847,safe,0.0,3.006799852300901e-05,0.01940743900013331
1755017227,3,302,301,0.9966887417218543,safe,0.0,3.154299884045031e-05,0.0008110109993140213
1755017228,3,450,425,0.9444444444444444,safe,0.0,3.265899977122899e-05,0.00037889499981247354
1755017229,3,34,32,0.9411764705882353,safe,0.0,3.2792999263620004e-05,9.698199937702157e-05
1755017230,3,200,151,0.755,safe,0.0,3.299500167486258e-05,0.00038872400000400376
1755017231,3,19,18,0.9473684210526315,safe,0.0,2.136900002369657e-05,8.724200051801745e-05
1755017232,3,103,102,0.9902912621359223,safe,0.0,2.0591000065905973e-05,0.0004944939992128639
1755017233,3,8,6,0.75,safe,0.0,3.1060000765137374e-05,8.788200102571864e-05
1755017234,3,2420,2210,0.9132231404958677,safe,0.0,3.1988000046112575e-05,0.0009564119991409825
1755017235,3,430,415,0.9651162790697675,safe,0.0,3.617699985625222e-05,0.0005785140001535183
1755017236,3,200,160,0.8,safe,0.0,3.15569996018894e-05,9.574199975759257e-05
1755017237,3,2014,2008,0.997020854021847,safe,0.0,6.532800034619868e-05,0.014250293001168757
1755017238,3,442,421,0.9524886877828054,safe,0.0,1.6232001144089736e-05,0.0012526459995569894
1755017239,3,2202,2101,0.9541326067211626,safe,0.0,1.9629000234999694e-05,0.008033097999941674
1755017240,3,304,252,0.8289473684210527,safe,0.0,3.62859991582809e-05,0.00043577500036917627
1755017241,3,510,455,0.8921568627450981,safe,0.0,2.5964998712879606e-05,0.00023974800024006981
1755017242,3,2004,2002,0.999001996007984,safe,0.0,2.809999932651408e-05,0.18738781600040966
1755017243,3,2210,2105,0.9524886877828054,safe,0.0,2.555599894549232e-05,0.0012246260012034327
1755017244,3,224,212,0.9464285714285714,safe,0.0,7.149700104491785e-05,0.0005559799992624903
1755017245,3,64,52,0.8125,safe,0.0,1.9551000150386244e-05,8.491600056004245e-05
1755017246,3,2204,2102,0.9537205081669692,safe,0.0,2.6501000320422463e-05,0.0048250879990519024
1755017247,3,70,65,0.9285714285714286,safe,0.0,3.0266000976553187e-05,8.941400119510945e-05
