seeds,num_tasks,per_jitter,final_e2e_max,letG2023,R,exceed,false_percentage
1756823710,3,0,8,7,0.875,safe,0.0
1756823711,3,0,114,108,0.9473684210526315,safe,0.0
1756823712,3,0,80,65,0.8125,safe,0.0
1756823713,3,0,504,452,0.8968253968253969,safe,0.0
1756823714,3,0,2202,2101,0.9541326067211626,safe,0.0
1756823715,3,0,2140,2080,0.9719626168224299,safe,0.0
1756823716,3,0,502,451,0.898406374501992,safe,0.0
1756823717,3,0,224,212,0.9464285714285714,safe,0.0
1756823718,3,0,640,520,0.8125,safe,0.0
1756823719,3,0,26,24,0.9230769230769231,safe,0.0
1756823720,3,0,440,420,0.9545454545454546,safe,0.0
1756823721,3,0,244,222,0.9098360655737705,safe,0.0
1756823722,3,0,2110,2055,0.9739336492890995,safe,0.0
1756823723,3,0,442,421,0.9524886877828054,safe,0.0
1756823724,3,0,2402,2201,0.9163197335553706,safe,0.0
1756823725,3,0,2004,2002,0.999001996007984,safe,0.0
1756823726,3,0,214,208,0.9719626168224299,safe,0.0
1756823727,3,0,400,310,0.775,safe,0.0
1756823728,3,0,80,60,0.75,safe,0.0
1756823729,3,0,800,605,0.75625,safe,0.0
1756823730,3,0,610,505,0.8278688524590164,safe,0.0
1756823731,3,0,604,502,0.8311258278145696,safe,0.0
1756823732,3,0,480,440,0.9166666666666666,safe,0.0
1756823733,3,0,206,203,0.9854368932038835,safe,0.0
1756823734,3,0,424,412,0.9716981132075472,safe,0.0
1756823735,3,0,250,225,0.9,safe,0.0
1756823736,3,0,604,602,0.9966887417218543,safe,0.0
1756823737,3,0,150,135,0.9,safe,0.0
1756823738,3,0,170,160,0.9411764705882353,safe,0.0
1756823739,3,0,230,215,0.9347826086956522,safe,0.0
1756823740,3,0,700,600,0.8571428571428571,safe,0.0
1756823741,3,0,2044,2022,0.9892367906066536,safe,0.0
1756823742,3,0,260,230,0.8846153846153846,safe,0.0
1756823743,3,0,108,104,0.9629629629629629,safe,0.0
1756823744,3,0,115,110,0.9565217391304348,safe,0.0
1756823745,3,0,62,51,0.8225806451612904,safe,0.0
1756823746,3,0,80,62,0.775,safe,0.0
1756823747,3,0,52,46,0.8846153846153846,safe,0.0
1756823748,3,0,170,160,0.9411764705882353,safe,0.0
