seeds,num_tasks,final_e2e_max,mrt,R,exceed,false_percentage,run_time_our,run_time_G
1755024037,3,0,2.5300372809974334,,,0.123,3.3299998904112726e-05,3.608100087149069e-05
1755024038,3,94.12317826412955,91.8680077737086,0.976040221632843,safe,0.123,3.769100294448435e-05,0.000434756999311503
1755024039,3,233.91186493823446,229.2956318039715,0.9802650749012587,safe,0.123,3.495700002531521e-05,0.005337631999282166
1755024040,3,314.74875134379374,290.86443343558057,0.9241162425387199,safe,0.123,2.1628999093081802e-05,0.00014274599743657745
1755024041,3,399.2530135565795,384.4305438633781,0.9628744951449167,safe,0.123,2.5574998289812356e-05,0.0001428180003131274
1755024042,3,1180.6866676686177,1173.0302851785095,0.993515313842557,safe,0.123,4.2446001316420734e-05,0.05298754600153188
1755024043,3,2100.889462720029,2062.166412666668,0.9815682591871225,safe,0.123,3.35750009980984e-05,8.266099757747725e-05
1755024044,3,264.5451037889061,251.14659698010706,0.9493526562506696,safe,0.123,6.828400000813417e-05,0.0006171480017655995
1755024045,3,153.91466060054847,139.17811184544675,0.9042550677264775,safe,0.123,5.197200152906589e-05,0.00038866699833306484
1755024046,3,1243.4683538870834,1218.4873175389844,0.9799101953258333,safe,0.123,3.557799936970696e-05,0.004764568999235053
1755024047,3,341.40925146053667,288.90995972552025,0.8462276827284958,safe,0.123,3.708899748744443e-05,0.0006486390011559706
1755024048,3,1660.783002460431,1484.784950625054,0.8940270633944123,safe,0.123,3.113499769824557e-05,0.0014614920000894926
1755024049,3,96.61438373793516,91.11056908022411,0.9430331753433314,safe,0.123,2.5722001737449318e-05,0.00018380099936621264
1755024050,3,1224.4060712667876,1138.1360770803813,0.9295413537951913,safe,0.123,3.911800013156608e-05,0.0002458849994582124
1755024051,3,1245.3690831012646,1234.172632169766,0.9910095319665262,safe,0.123,3.0250001145759597e-05,0.0024882550023903605
1755024052,3,73.62031723977996,58.62031723977975,0.796251896726477,safe,0.123,2.8233000193722546e-05,0.0001011140011542011
1755024053,3,1534.407603147287,1479.2978202722616,0.9640840003907778,safe,0.123,3.1269999453797936e-05,0.0019469230028335005
1755024054,3,95.4793215576233,75.10020033026663,0.7865598446354949,safe,0.123,2.8200000087963417e-05,0.00010166600259253755
1755024055,3,16.575866263705983,15.575866263705969,0.9396713279359894,safe,0.123,7.246700261021033e-05,8.956999954534695e-05
1755024056,3,30.672734534666382,26.99475253779736,0.8800895305662376,safe,0.123,3.528799788909964e-05,0.00019080600031884387
1755024057,3,283.98386175553287,225.96529389284643,0.7956976586485339,safe,0.123,3.78520016965922e-05,0.00017581099746166728
1755024058,3,160.14157330048008,149.08592303490116,0.9309632718242704,safe,0.123,4.3140000343555585e-05,0.00023402299848385155
1755024059,3,247.65621466420447,231.06246073800497,0.9329968200123754,safe,0.123,3.5437002225080505e-05,0.00017024299813783728
1755024060,3,19.733523368487173,15.992033119205843,0.8103992794689576,safe,0.123,9.431299986317754e-05,0.0002907169982790947
1755024061,3,1437.1004903467858,1348.4316652523244,0.93830019146882,safe,0.123,5.476800288306549e-05,0.013013624000450363
1755024062,3,180.21760414881842,169.6260159665784,0.9412288925254283,safe,0.123,4.677399920183234e-05,8.361900108866394e-05
1755024063,3,59.52745551912085,54.527455519120764,0.916005144913442,safe,0.123,5.2411000069696456e-05,0.00022804000036558136
1755024064,3,236.64003646033842,231.64003646033802,0.9788708619437759,safe,0.123,5.306400271365419e-05,0.0018689520002226345
1755024065,3,291.17944923327224,282.07874818553114,0.9687453868337725,safe,0.123,5.4919997637625784e-05,0.001362494000204606
1755024066,3,182.63842133125618,147.2294701304593,0.8061253982447937,safe,0.123,6.829400081187487e-05,0.00030472299840766937
1755024067,3,30.85659522240995,29.856595222409922,0.9675920174344521,safe,0.123,5.440799941425212e-05,0.0002445820027787704
1755024068,3,387.6232593430806,324.8561248778119,0.8380718056712013,safe,0.123,5.9441001212690026e-05,0.0007378910013358109
1755024069,3,0,1416.311549590228,,,0.123,3.64339975931216e-05,0.048915351999312406
1755024070,3,69.92720062968614,66.9168007196413,0.9569495148820981,safe,0.123,4.387700028019026e-05,0.0002481200026522856
1755024071,3,130.84682944163558,119.52538177373117,0.9134755674538193,safe,0.123,5.839400182594545e-05,0.0010390649986220524
1755024072,3,202.89776117074564,187.5379540666264,0.9242977989727871,safe,0.123,5.356299880077131e-05,0.00011729899779311381
1755024073,3,0,127.67082363063972,,,0.123,3.9827002183301374e-05,0.012078407002263702
1755024074,3,1120.6489298015854,1072.8126978042758,0.9573138110203887,safe,0.123,5.473100100061856e-05,0.010737905999121722
1755024075,3,449.68950178014273,375.51655964618664,0.8350574299814988,safe,0.123,3.0344999686349183e-05,6.192600267240778e-05
1755024076,3,250.74320898327124,235.3428100198093,0.9385809927777967,safe,0.123,3.397099862922914e-05,0.00017783200019039214
1755024077,3,484.53436142862563,479.53436142862415,0.9896808144106453,safe,0.123,5.387700002756901e-05,0.0005611640008282848
1755024078,3,0,258.56206813681405,,,0.123,3.98600022890605e-05,0.04217020600117394
1755024079,3,58.094686623922286,55.09468662392213,0.9483601655445575,safe,0.123,6.0092999774497e-05,0.0018181890009145718
1755024080,3,281.9376990967928,270.85929448176955,0.9607061962606855,safe,0.123,6.751500040991232e-05,0.003847330001008231
1755024081,3,1364.308650387226,1293.3186489982743,0.9479663187880522,safe,0.123,5.1311999413883314e-05,0.0016149250004673377
1755024082,3,1061.6876612139827,1054.89489975289,0.9936019210646891,safe,0.123,5.817700002808124e-05,0.0072391989997413475
1755024083,3,264.75281011030313,252.85249859245874,0.9550512362347112,safe,0.123,3.484499757178128e-05,0.0007241470011649653
1755024084,3,361.3323581031434,280.65652789991253,0.7767268045775139,safe,0.123,5.850500019732863e-05,0.0014313030005723704
1755024085,3,94.96279372037924,87.44890556408268,0.9208754517224775,safe,0.123,3.4754997614072636e-05,7.619399912073277e-05
1755024086,3,140.6346461031379,129.6474957672915,0.9218745121469663,safe,0.123,7.489900235668756e-05,0.0009051839988387655
