seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage
1755016010,3,0,2210,2005.0,0.9072398190045249,safe,0.0
1755016011,3,0,320,260.0,0.8125,safe,0.0
1755016012,3,0,70,65.0,0.9285714285714286,safe,0.0
1755016013,3,0,2030,2010.0,0.9901477832512315,safe,0.0
1755016014,3,0,64,52.0,0.8125,safe,0.0
1755016015,3,0,106,102.0,0.9622641509433962,safe,0.0
1755016016,3,0,510,450.0,0.8823529411764706,safe,0.0
1755016017,3,0,400,400.0,1.0,safe,0.0
1755016018,3,0,2030,2015.0,0.9926108374384236,safe,0.0
1755016019,3,0,242,201.0,0.8305785123966942,safe,0.0
1755016020,3,0,2110,2100.0,0.995260663507109,safe,0.0
1755016021,3,0,400,400.0,1.0,safe,0.0
1755016022,3,0,32,26.0,0.8125,safe,0.0
1755016023,3,0,214,210.0,0.9813084112149533,safe,0.0
1755016024,3,0,2080,2040.0,0.9807692307692307,safe,0.0
1755016025,3,0,604,502.0,0.8311258278145696,safe,0.0
1755016026,3,0,106,102.0,0.9622641509433962,safe,0.0
1755016027,3,0,62,61.0,0.9838709677419355,safe,0.0
1755016028,3,0,242,220.0,0.9090909090909091,safe,0.0
1755016029,3,0,540,450.0,0.8333333333333334,safe,0.0
1755016030,3,0,250,220.0,0.88,safe,0.0
1755016031,3,0,2500,2250.0,0.9,safe,0.0
1755016032,3,0,2220,2110.0,0.9504504504504504,safe,0.0
1755016033,3,0,26,23.0,0.8846153846153846,safe,0.0
1755016034,3,0,430,410.0,0.9534883720930233,safe,0.0
1755016035,3,0,510,500.0,0.9803921568627451,safe,0.0
1755016036,3,0,408,404.0,0.9901960784313726,safe,0.0
1755016037,3,0,302,251.0,0.8311258278145696,safe,0.0
1755016038,3,0,444,420.0,0.9459459459459459,safe,0.0
1755016039,3,0,430,420.0,0.9767441860465116,safe,0.0
1755016040,3,0,2060,2030.0,0.9854368932038835,safe,0.0
1755016041,3,0,2044,2020.0,0.9882583170254403,safe,0.0
1755016042,3,0,310,305.0,0.9838709677419355,safe,0.0
1755016043,3,0,510,455.0,0.8921568627450981,safe,0.0
1755016044,3,0,4000,4000.0,1.0,safe,0.0
1755016045,3,0,302,301.0,0.9966887417218543,safe,0.0
1755016046,3,0,2220,2110.0,0.9504504504504504,safe,0.0
1755016047,3,0,540,480.0,0.8888888888888888,safe,0.0
1755016048,3,0,170,160.0,0.9411764705882353,safe,0.0
1755016049,3,0,106,103.0,0.9716981132075472,safe,0.0
1755016050,3,0,40,30.0,0.75,safe,0.0
1755016051,3,0,800,600.0,0.75,safe,0.0
1755016052,3,0,2006,2003.0,0.9985044865403788,safe,0.0
1755016053,3,0,2012,2006.0,0.9970178926441352,safe,0.0
1755016054,3,0,214,208.0,0.9719626168224299,safe,0.0
1755016055,3,0,2402,2201.0,0.9163197335553706,safe,0.0
1755016056,3,0,414,407.0,0.9830917874396136,safe,0.0
1755016057,3,0,2600,2100.0,0.8076923076923077,safe,0.0
1755016058,3,0,64,62.0,0.96875,safe,0.0
1755016059,3,0,2404,2002.0,0.8327787021630616,safe,0.0
1755016010,3,0.02,2232.1,2193.47690924797,0.9826965231163345,safe,0.24
1755016011,3,0.02,323.20000000000005,320.1569912948962,0.9905847502936144,safe,0.24
1755016012,3,0.02,0,90.10104621120848,,,0.24
1755016013,3,0.02,0,2033.7540340483229,,,0.24
1755016014,3,0.02,64.63999999999999,64.04040822929443,0.9907241372106195,safe,0.24
1755016015,3,0.02,0,108.6572273616396,,,0.24
1755016016,3,0.02,515.1,503.53795676214213,0.9775537890936558,safe,0.24
1755016017,3,0.02,0,501.7761948977022,,,0.24
1755016018,3,0.02,2050.3,2035.106594491642,0.992589667117808,safe,0.24
1755016019,3,0.02,244.42000000000002,237.54017893682314,0.9718524627150934,safe,0.24
1755016020,3,0.02,2131.1000000000004,2100.7308851181588,0.9857495589686821,safe,0.24
1755016021,3,0.02,402.0,401.8609200589526,0.9996540299973946,safe,0.24
1755016022,3,0.02,32.32,32.004375930669084,0.9902344037954544,safe,0.24
1755016023,3,0.02,216.14,210.0722289391597,0.9719266629923184,safe,0.24
1755016024,3,0.02,2100.8,2060.1904780564046,0.9806694964091796,safe,0.24
1755016025,3,0.02,610.04,605.9703119523401,0.9933288177043147,safe,0.24
1755016026,3,0.02,0,106.68864948643716,,,0.24
1755016027,3,0.02,0,82.01024870406764,,,0.24
1755016028,3,0.02,244.42000000000002,241.7096804058565,0.9889112200550547,safe,0.24
1755016029,3,0.02,545.4,503.71616541789626,0.9235719937988565,safe,0.24
1755016030,3,0.02,252.5,241.9080831164233,0.9580518143224686,safe,0.24
1755016031,3,0.02,2525.0,2453.583627539532,0.9717162881344681,safe,0.24
1755016032,3,0.02,2242.2,2201.737175055563,0.9819539626507731,safe,0.24
1755016033,3,0.02,26.259999999999998,26.00129576181132,0.9901483534581615,safe,0.24
1755016034,3,0.02,434.3,423.6394512385514,0.9754534912239267,safe,0.24
1755016035,3,0.02,515.1,500.965017205177,0.9725587598625063,safe,0.24
1755016036,3,0.02,412.08000000000004,409.97921398298786,0.9949019947170157,safe,0.24
1755016037,3,0.02,305.02,302.9670198683543,0.9932693589546729,safe,0.24
1755016038,3,0.02,448.44,443.4506988961166,0.9888740944075386,safe,0.24
1755016039,3,0.02,434.3,430.02686693915894,0.9901608725285722,safe,0.24
1755016040,3,0.02,2080.6000000000004,2059.898343500565,0.9900501506779604,safe,0.24
1755016041,3,0.02,2064.44,2056.8115344319094,0.996304825730905,safe,0.24
1755016042,3,0.02,0,406.9141372313036,,,0.24
1755016043,3,0.02,515.0999999999999,509.7991336634668,0.9897090538991786,safe,0.24
1755016044,3,0.02,0,4018.6684154903924,,,0.24
1755016045,3,0.02,0,402.94758309255536,,,0.24
1755016046,3,0.02,2242.2,2220.0552945534873,0.9901236707490355,safe,0.24
1755016047,3,0.02,545.4000000000001,540.3488457257772,0.9907386243596941,safe,0.24
1755016048,3,0.02,0,210.91843835457405,,,0.24
1755016049,3,0.02,107.06,105.02937379137504,0.9810328207675606,safe,0.24
1755016050,3,0.02,40.4,40.0837945370177,0.9921731321043986,safe,0.24
1755016051,3,0.02,0,801.753309789412,,,0.24
1755016052,3,0.02,2026.06,2024.0048700122206,0.9989856519610577,safe,0.24
1755016053,3,0.02,2032.12,2020.9241203301265,0.9944905420595863,safe,0.24
1755016054,3,0.02,216.14,214.00359131833284,0.9901156256053153,safe,0.24
1755016055,3,0.02,2426.02,2409.8550218901364,0.9933368322973992,safe,0.24
