seeds,num_tasks,final_e2e_max,let,R,exceed,false_percentage,adjust,inserted,run_time_G,run_time_our,finalpercent
1755016037,3,302.0,251,0.8311258278145696,safe,0.0,False,False,0.0007640620024176,4.356399949756451e-05,0.0
1755016038,3,444.0,422,0.9504504504504504,safe,0.0,False,False,0.0005680649992427,2.4731001758482307e-05,0.0
1755016039,3,430.0,415,0.9651162790697676,safe,0.0,False,False,0.0003202910011168,2.2849999368190765e-05,0.0
1755016040,3,2060.0,2030,0.9854368932038836,safe,0.0,False,False,0.0011791750002885,3.393299994058907e-05,0.0
1755016041,3,2044.0,2022,0.9892367906066536,safe,0.0,False,False,0.0073311690030095,3.183299850206822e-05,0.0
1755016042,3,310.0,305,0.9838709677419356,safe,0.0,,False,8.441899990430102e-05,2.374600080656819e-05,0.0
1755016043,3,510.0,455,0.8921568627450981,safe,0.0,False,False,0.0002824830007739,2.535800012992695e-05,0.0
1755016044,3,4000.0,3010,0.7525,safe,0.0,,False,0.0004834879982809,2.836299972841516e-05,0.0
1755016045,3,302.0,301,0.9966887417218544,safe,0.0,,False,0.000407195999287,2.212599792983383e-05,0.0
1755016046,3,2220.0,2110,0.9504504504504504,safe,0.0,False,False,0.0005893909983569,2.867700095521286e-05,0.0
1755016047,3,540.0,480,0.8888888888888888,safe,0.0,False,False,9.743999908096156e-05,2.178400245611556e-05,0.0
1755016048,3,170.0,160,0.9411764705882352,safe,0.0,,False,5.690100078936666e-05,2.282499917782843e-05,0.0
1755016049,3,106.0,103,0.9716981132075472,safe,0.0,False,False,0.0004632540003512,2.376100019318983e-05,0.0
1755016050,3,40.0,30,0.75,safe,0.0,False,False,4.724600148620084e-05,2.29600009333808e-05,0.0
1755016051,3,800.0,600,0.75,safe,0.0,False,False,0.0002385240004514,8.314699880429544e-05,0.0
1755016052,3,2006.0,2003,0.9985044865403788,safe,0.0,False,False,0.0967083909999928,3.852200097753666e-05,0.0
1755016053,3,2012.0,2006,0.9970178926441352,safe,0.0,False,False,0.0405627340005594,4.926399924443104e-05,0.0
1755016054,3,214.0,208,0.97196261682243,safe,0.0,False,False,0.0002237230000901,1.3814002159051595e-05,0.0
1755016055,3,2402.0,2201,0.9163197335553706,safe,0.0,False,False,0.0055748709964973,3.300800017314032e-05,0.0
1755016056,3,414.0,408,0.9855072463768116,safe,0.0,False,False,0.0011655579983198,2.7466998290037736e-05,0.0
1755016057,3,2600.0,2300,0.8846153846153846,safe,0.0,False,False,0.0001363150004181,2.621199746499769e-05,0.0
1755016058,3,64.0,62,0.96875,safe,0.0,False,False,9.145500007434748e-05,2.532800135668367e-05,0.0
1755016059,3,2404.0,2202,0.9159733777038268,safe,0.0,False,False,0.0024110909980663,2.9327002266654745e-05,0.0
1755016060,3,310.0,255,0.8225806451612904,safe,0.0,False,False,0.0002272630008519,8.060400068643503e-05,0.0
1755016061,3,34.0,28,0.8235294117647058,safe,0.0,False,False,9.124799908022396e-05,2.409200169495307e-05,0.0
1755016062,3,414.0,408,0.9855072463768116,safe,0.0,False,False,0.000766315999499,2.044600114459172e-05,0.0
1755016063,3,52.0,46,0.8846153846153846,safe,0.0,False,False,0.0001625879995117,2.358799974899739e-05,0.0
1755016064,3,114.0,108,0.9473684210526316,safe,0.0,False,False,0.0001320789997407,1.4937999367248269e-05,0.0
1755016065,3,2202.0,2101,0.9541326067211626,safe,0.0,False,False,0.0076145380007801,3.2027000997914e-05,0.0
1755016066,3,17.0,16,0.9411764705882352,safe,0.0,False,False,5.441299799713306e-05,2.223800038336776e-05,0.0
1755016067,3,2102.0,2051,0.9757373929590866,safe,0.0,False,False,0.0095507619989803,3.7534999137278646e-05,0.0
1755016068,3,2104.0,2052,0.9752851711026616,safe,0.0,False,False,0.0038147300001583,3.764700159081258e-05,0.0
1755016069,3,2300.0,2150,0.9347826086956522,safe,0.0,False,False,0.0001534459988761,2.637400029925629e-05,0.0
1755016070,3,414.0,408,0.9855072463768116,safe,0.0,False,False,0.0009452060003241,2.6321002223994583e-05,0.0
1755016071,3,2500.0,2250,0.9,safe,0.0,False,False,0.0002019300009123,3.041899981326424e-05,0.0
1755016072,3,106.0,103,0.9716981132075472,safe,0.0,False,False,0.0004696089999924,2.4754997866693884e-05,0.0
1755016073,3,34.0,28,0.8235294117647058,safe,0.0,False,False,4.937300036544912e-05,1.735600017127581e-05,0.0
