seeds,num_tasks,final_e2e_max,let,R,exceed,false_percentage,run_time_our,run_time_G,finalpercent
1755016037,5,2306,2153,0.9336513443191674,safe,0.029,5.346300167730078e-05,0.1108442459990328,0.0357
1755016038,5,256,229,0.89453125,safe,0.029,3.214100070181303e-05,0.0016349219986295,0.0357
1755016039,5,2550,2285,0.8960784313725491,safe,0.029,3.921299867215566e-05,0.0041099109985225,0.0357
1755016040,5,2058,2030,0.9863945578231292,safe,0.029,4.077700214111246e-05,0.0737168640007439,0.0357
1755016041,5,4002,3009,0.7518740629685158,safe,0.029,4.368999725556933e-05,0.1263773259997833,0.0357
1755016042,5,100,86,0.86,safe,0.029,2.6199999410891905e-05,0.000103381997178,0.0357
1755016043,5,94,68,0.723404255319149,safe,0.029,3.558399839675985e-05,0.000121951001347,0.0357
1755016044,5,2460,2230,0.9065040650406504,safe,0.029,3.9463000575779006e-05,0.008776222999586,0.0357
1755016045,5,144,122,0.8472222222222222,safe,0.029,3.10969990096055e-05,0.0002343950000067,0.0357
1755016046,5,210,205,0.9761904761904762,safe,0.029,3.132900019409135e-05,0.003819191999355,0.0357
1755016047,5,2250,2125,0.9444444444444444,safe,0.029,3.431000004638918e-05,0.0038762450021749,0.0357
1755016048,5,0,355,,,0.029,2.952499926323071e-05,0.0001617030029592,0.0357
1755016049,5,2052,2026,0.9873294346978556,safe,0.029,3.868099884130061e-05,0.0765810080010851,0.0357
1755016050,5,28,22,0.7857142857142857,safe,0.029,3.401399953872897e-05,7.656500019947998e-05,0.0357
1755016051,5,2342,2181,0.9312553373185312,safe,0.029,0.0001004110017674,0.019218692999857,0.0357
1755016052,5,562,491,0.8736654804270463,safe,0.029,4.4320000597508624e-05,0.0027022410031349,0.0357
1755016053,5,350,275,0.7857142857142857,safe,0.029,4.359100057627074e-05,0.0002613409997138,0.0357
1755016054,5,2028,2015,0.9935897435897436,safe,0.029,2.5400000595254824e-05,0.1916144909991999,0.0357
1755016055,5,2210,2130,0.9638009049773756,safe,0.029,6.028899952070788e-05,0.0026038289979624,0.0357
