seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,adjust,inserted,finalpercent
1755016037,10,0.2,655.6,578.2360032975878,0.8819951240048624,safe,0.2,False,False,0.22
1755016038,10,0.2,0.0,1080.736788080976,,,0.2,False,False,0.22
1755016039,10,0.2,3481.2,3278.967641923664,0.9419072853968932,safe,0.2,False,False,0.22
1755016040,10,0.2,0.0,858.081516153281,,,0.2,False,False,0.22
1755016041,10,0.2,3850.8,3730.721637256128,0.9688172943949644,safe,0.2,False,True,0.22
1755016042,10,0.2,4787.8,4708.981963650993,0.9835377341683011,safe,0.2,False,False,0.22
1755016043,10,0.2,3412.3000000000006,3190.3317708638915,0.934950552666498,safe,0.2,False,False,0.22
1755016044,10,0.2,4587.799999999999,4368.409091095491,0.9521794958575988,safe,0.2,False,False,0.22
1755016045,10,0.2,2690.5999999999995,2546.9951076841207,0.9466271863837512,safe,0.2,False,False,0.22
1755016046,10,0.2,1239.0,1171.7181064342983,0.94569661536263,safe,0.2,False,True,0.22
1755016047,10,0.2,5326.0,4918.878700952002,0.9235596509485546,safe,0.1,False,False,0.22
1755016048,10,0.2,1162.2,1125.838946503347,0.9687136005019332,safe,0.1,False,False,0.22
1755016049,10,0.2,6035.4,5768.0226153812255,0.9556984815225544,safe,0.1,False,True,0.22
1755016050,10,0.2,3978.2,3836.5517559005903,0.9643938856519508,safe,0.1,False,False,0.22
1755016051,10,0.2,713.4,700.129008148398,0.9813975443627672,safe,0.1,False,True,0.22
1755016052,10,0.2,3987.4,3965.7980652975375,0.9945824510451768,safe,0.1,False,False,0.22
1755016053,10,0.2,6176.0,6069.660944887743,0.982781888744777,safe,0.1,False,False,0.22
1755016054,10,0.2,3377.0,3126.063984226659,0.9256926219208348,safe,0.1,False,False,0.22
1755016055,10,0.2,0.0,317.92037323379304,,,0.1,False,False,0.22
1755016056,10,0.2,1452.5,1349.6897870343037,0.9292184420201748,safe,0.1,False,False,0.22
1755016057,10,0.2,3842.2,3729.118694583489,0.9705686051177684,safe,0.1,True,False,0.22
1755016058,10,0.2,3302.2000000000003,2921.3610404123137,0.8846711405766803,safe,0.1,False,False,0.22
1755016059,10,0.2,1028.1999999999998,993.1507579647296,0.9659120384796048,safe,0.1,False,False,0.22
1755016060,10,0.2,1150.4,1111.9725164094998,0.9665964155159072,safe,0.1,False,False,0.22
1755016061,10,0.2,0.0,6606.371130275133,,,0.1,False,False,0.22
1755016062,10,0.2,958.4,931.117076993344,0.9715328432735224,safe,0.1,False,True,0.22
1755016063,10,0.2,5959.599999999999,5696.473194206193,0.955848243876467,safe,0.1,False,False,0.22
1755016064,10,0.2,3324.2000000000003,2904.114443266853,0.8736280739025488,safe,0.1,False,False,0.22
1755016065,10,0.2,5476.6,5234.096052177541,0.955719981772914,safe,0.1,False,True,0.22
1755016066,10,0.2,2615.8,2438.85718057895,0.9323561360115264,safe,0.1,False,False,0.22
1755016067,10,0.2,2340.8,2305.384488347944,0.9848703384945074,safe,0.3,False,True,0.22
1755016068,10,0.2,389.4,318.15009347543287,0.8170264341947427,safe,0.3,False,False,0.22
1755016069,10,0.2,5759.0,5546.5758133705385,0.963114397181896,safe,0.3,False,False,0.22
1755016070,10,0.2,0.0,3434.093617541541,,,0.3,False,False,0.22
1755016071,10,0.2,0.0,1186.6172883640866,,,0.3,False,False,0.22
1755016072,10,0.2,3703.0,3637.76325189896,0.9823827307315582,safe,0.3,False,False,0.22
1755016073,10,0.2,2532.7,2413.7332919511528,0.9530277142777088,safe,0.3,False,True,0.22
1755016074,10,0.2,3000.800000000001,2833.881422330649,0.9443753073615864,safe,0.3,False,False,0.22
