seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,finalpercent
1755016037,8,0.2,541.2,496.793640188243,0.91794833737665,safe,0.4,0.52
1755016038,8,0.2,3203.2,2963.1592516029177,0.92506220392199,safe,0.4,0.52
1755016039,8,0.2,3851.400000000001,3737.623024087709,0.9704582811672918,safe,0.4,0.52
1755016040,8,0.2,2721.4,2596.841450389445,0.9542299736861344,safe,0.4,0.52
1755016041,8,0.2,0.0,2982.9072055226,,,0.4,0.52
1755016042,8,0.2,2673.0,2513.7352687126377,0.9404172348345072,safe,0.4,0.52
1755016043,8,0.2,0.0,337.49523407434754,,,0.4,0.52
1755016044,8,0.2,2694.999999999999,2273.9486288581134,0.8437657249937344,safe,0.4,0.52
1755016045,8,0.2,0.0,3477.015940794081,,,0.4,0.52
1755016046,8,0.2,0.0,6094.802623233409,,,0.4,0.52
1755016047,8,0.2,0.0,2250.8617687731203,,,0.5,0.52
1755016048,8,0.2,2481.6000000000004,2323.852793966076,0.9364332664273352,safe,0.5,0.52
1755016049,8,0.2,0.0,70.07495157309904,,,0.5,0.52
1755016050,8,0.2,0.0,526.7576003625832,,,0.5,0.52
1755016051,8,0.2,0.0,6410.517579121923,,,0.5,0.52
1755016052,8,0.2,2785.2,2638.728487729328,0.9474107739944448,safe,0.5,0.52
1755016053,8,0.2,948.2,829.963509939791,0.8753042711872928,safe,0.5,0.52
1755016054,8,0.2,0.0,3129.7035826578503,,,0.5,0.52
1755016055,8,0.2,2745.6,2579.2602379578293,0.9394158792095824,safe,0.5,0.52
1755016056,8,0.2,4079.4,3930.982097576474,0.9636177127951352,safe,0.5,0.52
1755016057,8,0.2,0.0,4452.017118063413,,,0.4,0.52
1755016058,8,0.2,4818.599999999999,4467.804830612441,0.9271997739203174,safe,0.4,0.52
1755016059,8,0.2,836.8,817.0981283091096,0.9764556982661444,safe,0.4,0.52
1755016060,8,0.2,0.0,6270.154833551103,,,0.4,0.52
1755016061,8,0.2,0.0,581.3255699015372,,,0.4,0.52
1755016062,8,0.2,807.4,652.9268029384893,0.8086782300451937,safe,0.4,0.52
1755016063,8,0.2,2705.9999999999995,2536.7918001092985,0.9374692535511082,safe,0.4,0.52
1755016064,8,0.2,3157.0,2945.7902035524457,0.9330979422085668,safe,0.4,0.52
1755016065,8,0.2,853.8000000000001,814.1599462042168,0.9535722021600104,safe,0.4,0.52
1755016066,8,0.2,0.0,877.1179809870082,,,0.4,0.52
1755016067,8,0.2,624.8,572.1359843691071,0.915710602383334,safe,0.6,0.52
1755016068,8,0.2,0.0,797.7263137105692,,,0.6,0.52
1755016069,8,0.2,2844.6,2679.841823105533,0.9420803709152544,safe,0.6,0.52
1755016070,8,0.2,0.0,8055.851234058107,,,0.6,0.52
1755016071,8,0.2,0.0,845.9321464796312,,,0.6,0.52
1755016072,8,0.2,0.0,3275.0665623099194,,,0.6,0.52
1755016073,8,0.2,0.0,666.4430541002585,,,0.6,0.52
1755016074,8,0.2,2751.6,2522.9472151644777,0.9169018807837178,safe,0.6,0.52
1755016075,8,0.2,0.0,4535.91376201278,,,0.6,0.52
1755016076,8,0.2,3995.0,3858.429899837613,0.9658147433886388,safe,0.6,0.52
1755016077,8,0.2,0.0,772.1295788819361,,,0.5,0.52
1755016078,8,0.2,3590.0,3473.8987955319008,0.9676598316244848,safe,0.5,0.52
1755016079,8,0.2,0.0,490.74457249553177,,,0.5,0.52
1755016080,8,0.2,5159.2,5146.697611191077,0.9975766807239644,safe,0.5,0.52
1755016081,8,0.2,0.0,4525.237450865032,,,0.5,0.52
1755016082,8,0.2,3150.4,2869.745137699556,0.910914530757858,safe,0.5,0.52
1755016083,8,0.2,3359.4,2998.647710865801,0.8926140712227781,safe,0.5,0.52
1755016084,8,0.2,2600.4,2441.6183595085035,0.938939532190626,safe,0.5,0.52
1755016085,8,0.2,0.0,910.0836773002544,,,0.5,0.52
1755016086,8,0.2,0.0,480.49198492759024,,,0.5,0.52
1755016087,8,0.2,2899.6,2678.4993406579742,0.923747875795963,safe,0.6,0.52
1755016088,8,0.2,0.0,768.7763314411859,,,0.6,0.52
1755016089,8,0.2,0.0,2852.7735755628364,,,0.6,0.52
1755016090,8,0.2,0.0,2364.574086487588,,,0.6,0.52
1755016091,8,0.2,2842.4,2693.8955731887027,0.947753860536414,safe,0.6,0.52
1755016092,8,0.2,0.0,2595.190916414371,,,0.6,0.52
1755016093,8,0.2,3830.0,3767.106612272572,0.9835787499406192,safe,0.6,0.52
1755016094,8,0.2,3225.2,2928.869159916634,0.9081201661653956,safe,0.6,0.52
1755016095,8,0.2,0.0,4327.676629787851,,,0.6,0.52
1755016096,8,0.2,0.0,4255.816460294456,,,0.6,0.52
1755016097,8,0.2,0.0,1301.404855948953,,,0.6,0.52
1755016098,8,0.2,0.0,2929.5321426735422,,,0.6,0.52
1755016099,8,0.2,0.0,2434.7150887244243,,,0.6,0.52
1755016100,8,0.2,0.0,2852.751903514385,,,0.6,0.52
1755016101,8,0.2,2763.2,2595.783435731769,0.9394120714142188,safe,0.6,0.52
1755016102,8,0.2,0.0,1024.4074427111964,,,0.6,0.52
1755016103,8,0.2,5304.2,5251.286208286474,0.9900241710882836,safe,0.6,0.52
1755016104,8,0.2,0.0,1299.033625594835,,,0.6,0.52
1755016105,8,0.2,2833.6,2670.4002265368035,0.9424055006129318,safe,0.6,0.52
1755016106,8,0.2,3104.2000000000003,2897.0760267670103,0.9332762150528348,safe,0.6,0.52
1755016107,8,0.2,3533.2000000000003,3155.650165469542,0.893142240877828,safe,0.4,0.52
1755016108,8,0.2,2708.2,2544.972981760693,0.9397285952886394,safe,0.4,0.52
1755016109,8,0.2,2917.2,2644.6986067968105,0.9065880319473504,safe,0.4,0.52
1755016110,8,0.2,0.0,1414.465089360761,,,0.4,0.52
1755016111,8,0.2,2453.0,2287.2751235749447,0.9324399199245595,safe,0.4,0.52
1755016112,8,0.2,0.0,3170.80695433011,,,0.4,0.52
1755016113,8,0.2,0.0,1214.0037048463346,,,0.4,0.52
1755016114,8,0.2,4536.4,4323.054462166127,0.9529702985111824,safe,0.4,0.52
1755016115,8,0.2,0.0,4539.665697831544,,,0.4,0.52
1755016116,8,0.2,2719.2,2495.576581765937,0.9177613201551696,safe,0.4,0.52
1755016117,8,0.2,0.0,733.9701818701797,,,0.6,0.52
1755016118,8,0.2,0.0,1288.6221866658598,,,0.6,0.52
1755016119,8,0.2,3040.4,2718.364874247469,0.8940813295117317,safe,0.6,0.52
1755016120,8,0.2,3985.6,3724.557826500246,0.9345036698364728,safe,0.6,0.52
1755016121,8,0.2,2512.4,2354.2654050547408,0.9370583525930348,safe,0.6,0.52
1755016122,8,0.2,0.0,4120.305866352311,,,0.6,0.52
1755016123,8,0.2,0.0,587.0271857932025,,,0.6,0.52
1755016124,8,0.2,3416.6000000000004,3017.907770989066,0.8833073145785476,safe,0.6,0.52
1755016125,8,0.2,0.0,788.5886461712296,,,0.6,0.52
1755016126,8,0.2,0.0,912.112113146482,,,0.6,0.52
1755016127,8,0.2,3311.0,2953.117079310984,0.8919109270042235,safe,0.6,0.52
1755016128,8,0.2,0.0,2713.324748734642,,,0.6,0.52
1755016129,8,0.2,0.0,452.9672827636741,,,0.6,0.52
1755016130,8,0.2,0.0,6354.708066016442,,,0.6,0.52
1755016131,8,0.2,0.0,2984.8284448042177,,,0.6,0.52
1755016132,8,0.2,0.0,3233.7753661267925,,,0.6,0.52
1755016133,8,0.2,3355.0,3071.014082464506,0.9153544210028334,safe,0.6,0.52
1755016134,8,0.2,2950.2000000000003,2747.2693387485715,0.9312146087548544,safe,0.6,0.52
1755016135,8,0.2,0.0,584.0273828823556,,,0.6,0.52
1755016136,8,0.2,2481.6,2402.9967218563543,0.9683255649002072,safe,0.6,0.52
