seeds,num_tasks,final_e2e_max,mrt,R,exceed,false_percentage,run_time_our,run_time_G
1755016037,3,178.82301134132823,127.82301134132823,0.7148018053299986,safe,0.142,7.154999912017956e-05,0.000393619997339556
1755016038,3,348.28479893993864,263.2715270357617,0.7559087500719853,safe,0.142,2.8526999813038856e-05,0.0004025899979751557
1755016039,3,1485.556241851282,1302.300858707105,0.8766419082755114,safe,0.142,2.8227001166669652e-05,0.000474904001748655
1755016040,3,42.139877272625895,28.591003438581772,0.6784785644630844,safe,0.142,1.7851998563855886e-05,2.678500095498748e-05
1755016041,3,2214.847176553002,2213.847176553002,0.9995485015803409,safe,0.142,4.323499888414517e-05,0.005821582999487873
1755016042,3,155.76353222569406,142.2447141055647,0.9132093505651808,safe,0.142,2.3215001419885084e-05,0.0004275680003047455
1755016043,3,43.363529012797414,28.363529012797336,0.6540871939741507,safe,0.142,2.169900108128786e-05,2.723600118770264e-05
1755016044,3,1288.2835975102046,1149.7626610966124,0.8924763641473787,safe,0.142,3.099899913650006e-05,0.0012826809979742393
1755016045,3,196.50858253216214,162.64006749481237,0.8276486726384759,safe,0.142,1.610599792911671e-05,0.0002068230023724027
1755016046,3,132.78653710216304,123.58770787434075,0.9307246846813626,safe,0.142,1.5333000192185864e-05,0.0005071659979876131
1755016047,3,1291.7189358324588,1286.457491548527,0.9959267886085909,safe,0.142,2.9479997465386987e-05,0.0034584069981065113
1755016048,3,0,131.05017721086907,,,0.142,1.981599780265242e-05,2.474999928381294e-05
1755016049,3,19.736043332740902,15.729350553939064,0.796986016333123,safe,0.142,2.6621000870363787e-05,3.2930998713709414e-05
1755016050,3,10.315867012371996,9.08148378760109,0.8803413010956337,safe,0.142,1.7197002307511866e-05,3.1393003155244514e-05
1755016051,3,0,126.69269986763135,,,0.142,2.1374002244556323e-05,0.00036938400080543943
1755016052,3,308.8053331221823,278.1416597511457,0.9007022545206363,safe,0.142,4.1839000914478675e-05,0.0034311239978706
1755016053,3,114.9477024989076,103.94770249890718,0.9043043074296768,safe,0.142,4.610399992088787e-05,0.001308348000748083
1755016054,3,0,3.000000000000001,,,0.142,4.491199797485024e-05,2.311999924131669e-05
1755016055,3,79.16138545883581,78.1613854588356,0.9873675783438604,safe,0.142,4.1264000174123794e-05,0.00043219200233579613
1755016056,3,1123.3535393925406,1068.3535393925386,0.9510394563498294,safe,0.142,6.641300205956213e-05,0.0027917369989154395
1755016057,3,1136.0099122841937,1128.452871402966,0.9933477333256426,safe,0.142,4.3316002120263875e-05,0.08025226499739802
1755016058,3,281.24704326238066,271.6438169797593,0.9658548364767614,safe,0.142,4.1317998693557456e-05,0.0015515269988100044
